"Company: ","Colgate-Palmolive Company (CL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","98.7","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Household Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","81215","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","88287","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","9004.4","9084.299999999999","9294.299999999999","9903.4","10584.2","11396.9","12237.7","13789.7","15330","15327","15564","16734","17085","17420","17277","16034","15195","15454","15544","15693","16471","17421","17967","19457","19752"
"cogs","4257","4234.9","4224.2","4456.1","4747.2","5191.9","5536.1","6042.3","6704","6319","6360","7144","7153","7219","7168","6635","6072","6174","6313","6368","6454","7046","7719","8131","8099"
"gross_profit","4747.4","4849.4","5070.1","5447.3","5837","6205","6701.6","7747.4","8626","9008","9204","9590","9932","10201","10109","9399","9123","9280","9231","9325","10017","10375","10248","11326","11653"
"sga","2954.6","2920.1","3034","3296.3","3624.6","3920.8","4355.2","4973","5422","5282","5414","5758","5930","6223","5982","5464","5143","5400","5389","5575","6019","6407","6565","7151","7309"
"rnd","","","","","229.2","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","52.3","94.5","23","-74.3","-207","-11.6","32.8","65.7","103","111","7","22","37","27","14","39","22","170","157","133","123","58","66","90","121"
"total_opex","3006.9","3014.6","3057","3222","3646.8","3909.2","4388","5038.7","5525","5393","5421","5780","5967","6250","5996","5503","5165","5570","5546","5708","6142","6465","6631","7241","7430"
"operating_income","1740.5","1834.8","2013.1","2225.3","2190.2","2295.8","2313.6","2708.7","3101","3615","3783","3810","3965","3951","4113","3896","3958","3710","3685","3617","3875","3910","3617","4085","4223"
"net_interest_income_normal","","","","","","","","","-96","-77","-59","-52","-15","9","-24","-26","-99","-102","-143","-145","-164","-100","-153","-232","-236"
"other_nonoperating_income","-173.3","-166.1","-142.8","-183.4","-187.8","-216.8","-311.8","-212.2","","","-294","31","-76","-395","-556","-1107","-121","-121","-78","-171","-64","-723","-804","-461","-189"
"pretax_income","1567.2","1668.7","1870.3","2041.9","2002.4","2079","2001.8","2496.5","3005","3538","3430","3789","3874","3565","3533","2763","3738","3487","3464","3301","3647","3087","2660","3392","3798"
"income_tax","-503.4","-522.1","-582","-620.6","-675.3","-727.6","-648.4","-759.1","-968","-1141","-1117","-1235","-1243","-1155","-1194","-1215","-1152","-1313","-906","-774","-787","-749","-693","-937","-1028"
"net_income_continuing","1063.8","1146.6","1288.3","1421.3","1327.1","1351.4","1353.4","1737.4","2037","2397","2313","2554","2631","2410","2339","1548","2586","2174","2558","2527","2860","2338","1967","2455","2770"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-32.6","-40.1","-41.3","-45.2","-47.9","-55.3","-57.5","-67.09999999999999","-80","-106","-110","-123","-159","-169","-159","-164","-145","-150","-158","-160","-165","-172","-182","-155","-159"
"other_income_statement_items","32.6","40.1","41.3","45.2","47.9","55.3","57.5","67.09999999999999","","","","","","","","","","","","","","","","",""
"net_income","1063.8","1146.6","1288.3","1421.3","1327.1","1351.4","1353.4","1737.4","1957","2291","2203","2431","2472","2241","2180","1384","2441","2024","2400","2367","2695","2166","1785","2300","2611"
"preferred_dividends","20.7","21.7","21.9","25.7","25.9","28.2","28.7","28","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1043.1","1124.9","1266.4","1395.6","1301.2","1323.2","1324.7","1709.4","1957","2291","2203","2431","2472","2241","2180","1384","2441","2024","2400","2367","2695","2166","1785","2300","2611"
"eps_basic","0.91","1.01","1.17","1.3","1.23","1.27","1.29","1.68","1.91","2.27","2.23","2.49","2.6","2.41","2.38","1.53","2.74","2.3","2.76","2.76","3.15","2.56","2.13","2.78","3.17"
"eps_diluted","0.85","0.95","1.1","1.23","1.17","1.22","1.23","1.6","1.83","2.19","2.16","2.47","2.57","2.38","2.36","1.52","2.72","2.28","2.75","2.75","3.14","2.55","2.13","2.77","3.16"
"shares_basic","1152.597","1113.762","1087.039","1073.538","1062.204","1041.89","1030.895","1020.537","1012.6","999","975.6","976.7","952.1","930.8","915.1","902.2","891.8","881.8","870.6","859.1","856.8","845","836.4","827.4","827.4"
"shares_diluted","1227.176","1190.37","1156.53","1134.634","1116.91","1089.053","1076.992","1068.375","1070","1049.2","1021.8","984.1","960.2","939.9","924.3","909.7","898.4","887.8","873","861.1","859.3","848.3","838.8","829.2","829.2"
"cash_and_equiv","206.6","172.7","167.9","265.3","319.6","340.7","489.5","428.7","555","600","490","878","884","962","1089","970","1315","1535","726","883","888","832","775","966","966"
"st_investments","5.9","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","1195.4","1124.9","1145.4","1222.4","1319.9","1309.4","1523.2","1680.7","1592","1626","1610","1675","1668","1636","1552","1427","1411","1480","1400","1440","1264","1297","1504","1586","1586"
"inventories","686.6","677","671.7","718.3","845.5","855.8","1008.4","1171","1197","1209","1222","1327","1365","1425","1382","1180","1171","1221","1250","1400","1673","1692","2074","1934","1934"
