"Company: ","Columbia Sportswear Company (COLM:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","81.61","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Textiles, Apparel & Luxury Goods","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","4949","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","4161","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","614.825","779.581","816.319","951.7859999999999","1095.307","1155.791","1287.672","1356.039","1317.835","1244.023","1483.524","1693.985","1669.563","1684.996","2100.59","2326.18","2377.045","2466.105","2802.326","3042.478","2501.554","3126.402","3464.152","3487.203","3436.592"
"cogs","334.689","422.43","437.782","511.101","597.373","652.0359999999999","746.617","776.288","750.024","719.9450000000001","854.12","958.677","953.169","941.341","1145.639","1252.68","1266.697","1306.143","1415.978","1526.808","1277.665","1513.947","1753.074","1757.271","1716.601"
"gross_profit","280.136","357.151","378.537","440.685","497.934","503.755","541.0549999999999","579.751","567.811","524.078","629.404","735.308","716.394","743.655","954.951","1073.5","1110.348","1159.962","1386.348","1515.67","1223.889","1612.455","1711.078","1729.932","1719.991"
"sga","183.743","208.97","214.862","252.307","290.538","322.197","366.768","385.769","430.35","444.715","534.068","614.658","596.635","625.6559999999999","763.063","831.971","864.0839999999999","910.894","1051.152","1136.186","1098.948","1180.323","1304.394","1416.313","1418.185"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","-1.811","-4.032","-4.408","-5.486","-5.157","-5.987","","-7.991","-15.756","-13.769","-13.795","-6.956","-8.192","-10.244","-13.901","-15.786","-15.487","-12.108","-18.372","-22.02","-21.665","-21.732"
"total_opex","183.743","208.97","214.862","250.496","286.506","317.789","361.282","380.612","424.363","444.715","526.077","598.902","582.866","611.861","756.107","823.779","853.84","896.9930000000001","1035.366","1120.699","1086.84","1161.951","1282.374","1394.648","1396.453"
"operating_income","96.393","148.181","163.675","190.189","211.428","185.966","179.773","199.139","143.448","79.363","103.327","136.406","133.528","131.794","198.844","249.721","256.508","262.969","350.982","394.971","137.049","450.504","428.704","335.284","323.538"
"net_interest_income_normal","","","","","","","","8.888","7.537","2.088","1.564","1.274","0.379","0.503","-0.049","0.432","0.962","4.086","9.875999999999999","8.302","0.435","1.38","2.713","13.687","19.601"
"other_nonoperating_income","-4.238","-2.568","0.354","0.48","3.493","4.889","5.562","","-24.742","8.398999999999999","","","","-0.871","-0.274","-2.834","-0.572","-0.321","-0.141","2.156","2.039","-0.373","-34.007","-22.779","-23.358"
"pretax_income","92.155","145.613","164.029","190.669","214.921","190.855","185.335","208.027","126.243","89.84999999999999","104.891","137.68","133.907","131.426","198.521","247.319","256.898","266.734","360.717","405.429","139.523","451.511","397.41","326.192","319.781"
"income_tax","-33.544","-56.789","-61.511","-70.548","-76.297","-60.119","-62.317","-63.575","-31.196","-22.829","-27.854","-34.201","-34.048","-37.823","-56.662","-67.468","-58.459","-154.419","-85.76900000000001","-74.94","-31.51","-97.40300000000001","-85.97","-74.792","-72.283"
