"Company: ","Commerce Bancshares Inc (CBSH:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","53.94","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7007","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","5109","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","813.101","751.789","652.553","617.41","610.09","697.566","832.306","936.101","849.849","789.5119999999999","729.478","697.971","677.9690000000001","650.285","648.292","662.4160000000001","713.052","777.407","889.201","924.6849999999999","872.648","848.29","998.979","1381.291","1431.155"
"total_interest_expense","331.455","283.014","152.588","115.018","112.759","195.864","319.107","398.029","257.11","154.01","83.54600000000001","51.901","38.063","30.913","28.088","28.096","33.003","43.728","65.376","103.392","42.801","12.866","56.794","383.162","435.65"
"net_interest_income","481.646","468.775","499.965","502.392","497.331","501.702","513.199","538.072","592.739","635.502","645.932","646.0700000000001","639.9059999999999","619.372","620.204","634.3200000000001","680.049","733.679","823.825","821.293","829.847","835.424","942.1849999999999","998.129","995.505"
"total_noninterest_revenue","255.636","274.999","280.572","301.667","326.931","341.199","361.621","371.581","375.712","389.064","408.395","403.729","404.458","413.961","450.63","454.459","446.503","486.314","500.853","528.329","516.899","590.452","567.0410000000001","588.03","599.313"
"revenue","737.282","743.774","780.537","804.059","824.2619999999999","842.901","874.8200000000001","909.653","968.451","1024.566","1054.327","1049.799","1044.364","1033.333","1070.834","1088.779","1126.552","1219.993","1324.678","1349.622","1346.746","1425.876","1509.226","1586.159","1594.818"
"credit_losses_provision","35.159","36.423","34.108","40.676","30.351","28.785","25.649","42.732","108.9","160.697","100","51.515","27.287","20.353","29.531","28.727","36.318","45.244","42.694","50.438","137.19","-66.32599999999999","28.071","35.451","28.782"
"net_interest_income_after_credit_losses_provision","446.487","432.352","465.857","461.716","466.98","472.917","487.55","495.34","483.839","474.805","545.932","594.5549999999999","612.619","599.019","590.673","605.593","643.731","688.4349999999999","781.131","770.855","692.657","901.75","914.114","962.678","966.723"
"total_noninterest_expense","434.202","437.99","452.927","472.144","482.769","496.522","525.425","566.524","585.086","621.737","619.35","598.949","618.4690000000001","628.668","656.87","676.487","689.229","744.343","737.821","767.398","768.378","805.901","848.777","930.982","952.572"
"pretax_income","267.921","269.361","293.502","291.239","311.142","317.594","323.746","300.397","274.465","242.132","318.124","381.035","398.608","384.312","384.433","383.565","401.005","430.406","544.163","531.7859999999999","441.178","686.301","632.378","619.726","613.4640000000001"
"income_tax","-89.34699999999999","-87.387","-94.004","-84.715","-90.801","-94.34699999999999","-103.904","-93.73699999999999","-85.077","-73.75700000000001","-96.249","-121.412","-127.169","-123.195","-121.649","-116.59","-124.151","-110.506","-105.949","-109.074","-87.29300000000001","-145.711","-132.358","-134.549","-133.388"
"net_income_continuing","178.574","181.974","199.498","206.524","220.341","223.247","219.842","206.66","189.388","168.375","221.875","259.623","271.439","261.117","262.784","266.975","276.854","319.9","438.214","422.712","353.885","540.59","500.02","485.177","480.076"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","178.574","181.974","199.498","206.524","220.341","223.247","219.842","206.66","188.655","169.075","221.71","256.343","269.329","260.961","261.754","263.73","275.391","319.383","433.542","421.231","354.057","530.765","488.399","477.06","470.271"
"preferred_dividends","","","","","","","","","","","","","","","4.05","9","9","9","9","9","11.966","","","",""
"net_income_available_to_shareholders","178.574","181.974","199.498","206.524","220.341","223.247","219.842","206.66","188.655","169.075","221.71","256.343","269.329","260.961","257.704","254.73","266.391","310.383","424.542","412.231","342.091","530.765","488.399","477.06","470.271"
"eps_basic","0.89","0.93","1.03","1.12","1.25","1.33","1.37","1.31","1.2","1.05","1.34","1.58","1.7","1.67","1.69","1.74","1.87","2.16","2.97","2.95","2.51","3.92","3.68","3.64","3.61"
"eps_diluted","0.88","0.91","1.02","1.11","1.23","1.31","1.35","1.29","1.19","1.05","1.34","1.57","1.7","1.67","1.68","1.73","1.86","2.16","2.96","2.95","2.51","3.91","3.67","3.64","3.59"
"shares_basic","199.667","196.387","192.934","183.882","176.759","167.531","161.036","157.953","156.799","160.689","164.01","161.401","156.692","154.069","150.453","144.752","141.035","141.455","141.427","138.304","134.7","134.125","131.539","129.922","129.922"
"shares_diluted","202.353","199.065","195.407","185.752","179.755","169.866","163.227","159.761","158.054","161.319","164.774","161.99","157.17","154.718","151.073","145.202","141.412","141.953","141.866","138.648","134.961","134.44","131.838","130.072","130.072"
"cash_and_equiv","616.724","824.218","710.4059999999999","567.123","585.8150000000001","545.273","626.5","673.081","1129.881","441.244","450.54","505.681","752.23","1225.669","1068.232","488.214","766.965","469.07","1197.768","887.465","2184.926","4276.756","841.636","2682.157","2682.157"
"loans_gross","7906.665","7638.482","7875.944","8142.679","8305.359","8899.183000000001","9960.118","10841.264","11644.544","10490.327","9474.733","9208.554","9840.210999999999","10956.836","11469.238","12444.299","13427.192","14005.072","14160.992","14751.626","16374.73","15184.974","16308.095","17209.656","17209.656"
"allowance_for_loan_losses","-128.445","-129.973","-130.618","-135.221","-132.394","-128.447","-131.73","-133.586","-172.619","-194.48","-197.538","-184.532","-172.532","-161.532","-156.532","-151.532","-155.932","-159.532","-159.932","-160.682","-220.834","-150.044","-150.136","-162.395","-162.395"
"loans_net","7778.22","7508.509","7745.326","8007.458","8172.965","8770.736000000001","9828.388000000001","10707.678","11471.925","10295.847","9277.195","9024.022000000001","9667.679","10795.304","11312.706","12292.767","13271.26","13845.54","14001.06","14590.944","16153.896","15034.93","16157.959","17047.261","17047.261"
"total_investments","1940.903","3732.257","4275.248","5039.194","4837.368","3770.181","3496.323","3297.015","3780.116","6473.388","7409.534","9358.387000000001","9669.735000000001","9042.996999999999","9599.206","9854.855","9724.057000000001","8850.054","8655.168","8698.118","12583.316","14652.87","12472.27","9902.958000000001","9902.958000000001"
"ppe_net","257.629","313.383","335.23","336.366","336.446","374.192","386.095","406.249","411.168","402.633","383.397","360.146","357.612","349.654","357.871","352.581","337.705","335.11","333.119","370.637","371.083","388.738","418.909","469.059","469.059"
"intangible_assets","58.182","50.81","47.191","50.706","49.021","48.522","117.276","21.413","17.186","14.328","10.932","7.709","5.295","9.269","7.451","6.67","6.71","7.619","8.795","9.535","11.208","15.571","15.235","14.178","14.178"
"goodwill","","","","","","","","124.57","125.59","125.59","125.59","125.59","125.59","138.92","138.92","138.92","138.92","138.92","138.92","138.92","138.92","138.92","138.92","146.54","146.54"
"other_lt_assets","463.459","478.969","195.014","286.317","268.753","376.641","775.7670000000001","974.825","596.581","367.159","845.151","1267.832","1581.448","1510.223","1509.894","1470.955","1395.807","1187.102","1129.012","1370.17","1479.625","2181.303","1831.002","1438.908","1438.908"
"total_assets","11115.117","12908.146","13308.415","14287.164","14250.368","13885.545","15230.349","16204.831","17532.447","18120.189","18502.339","20649.367","22159.589","23072.036","23994.28","24604.962","25641.424","24833.415","25463.842","26065.789","32922.974","36689.088","31875.931","31701.061","31701.061"
"deposits_liability","9081.737999999999","10031.885","9913.311","10206.208","10434.309","10851.813","11744.854","12551.552","12894.733","14210.451","15085.021","16799.883","18348.653","19047.348","19475.778","19978.853","21101.095","20425.446","20323.659","20520.415","26946.745","29813.073","26187.44","25363.898","25363.898"
"st_debt","","","","","","","21.302","","","","","","","","","","","","","","","","","",""
"lt_debt","224.684","392.586","338.457","400.977","389.542","269.39","32.632","583.639","1747.781","736.062","112.273","111.817","103.71","107.31","104.058","103.818","102.049","1.758","8.702","2.418","0.802","12.56","9.672000000000001","1.404","1.404"
"other_lt_liabilities","664.9400000000001","1211.192","1634.195","2229.025","1999.637","1426.504","1989.447","1541.954","1310.466","1287.771","1281.581","1567.306","1535.652","1702.981","2080.198","2154.873","1937.148","1688.027","2194.332","2404.484","2575.455","3415.131","3197.242","3371.529","3371.529"
"total_liabilities","9971.361999999999","11635.663","11885.963","12836.21","12823.488","12547.707","13788.235","14677.145","15952.98","16234.284","16478.875","18479.006","19988.015","20857.639","21660.034","22237.544","23140.292","22115.231","22526.693","22927.317","29523.002","33240.764","29394.354","28736.831","28736.831"
"common_stock","313","328","336","343","347","347","352","360","380","416","434","446","459","481","484","490","510","535","559","564","589","611","629","655","655"
