"Company: ","Consolidated Edison Inc (ED:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","89.39","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Multi-Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","31564","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","53324","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","9431.391","9389","8498","9808","9730","11343","11962","13120","13583","13032","13325","12886","12188","12354","12919","12554","12075","12033","12337","12574","12246","13676","15670","14663","14540"
"cogs","4784.571","4634","4086","5277","5374","6451","6611","7225","7584","6242","8642","7970","7069","7191","7807","7060","6152","5764","6100","5808","5097","6008","7985","7258","6895"
"gross_profit","4646.82","4755","4412","4531","4356","4892","5351","5895","5999","6790","4683","4916","5119","5163","5112","5494","5923","6269","6237","6766","7149","7668","7685","7405","7645"
"sga","","","","","","","","","","","","","","","","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","3312.894","3162","2924","3088","3126","3399","3723","4048","4340","4891","2563","2677","2780","2919","2948","3067","3247","3496","3704","4090","4495","4842","5061","5074","5158"
"total_opex","3312.894","3162","2924","3088","3126","3399","3723","4048","4340","4891","2563","2677","2780","2919","2948","3067","3247","3496","3704","4090","4495","4842","5061","5074","5158"
"operating_income","1333.926","1593","1488","1443","1230","1493","1628","1847","1659","1899","2120","2239","2339","2244","2164","2427","2676","2773","2533","2676","2654","2826","2624","2331","2487"
"net_interest_income_normal","","","","","","","","","-544","-611","-609","-594","-604","-719","-591","-653","-696","-729","-819","-991","-1019","-905","-852","-1023","-1049"
"other_nonoperating_income","-430.33","-454","-399","-419","-409","-400","-499","-485","342","31","40","17","6","13","87","24","-37","-47","69","51","-401","-538","326","1695","796"
"pretax_income","903.596","1139","1089","1024","821","1093","1129","1362","1457","1319","1551","1662","1741","1538","1660","1798","1943","1997","1783","1736","1234","1383","2098","3003","2234"
"income_tax","-307.168","-443","-388","-390","-272","-348","-389","-437","-524","-440","-548","-600","-600","-476","-568","-605","-698","-472","-401","-296","-90","-190","-498","-487","-428"
"net_income_continuing","596.428","696","701","634","549","745","740","925","933","879","1003","1062","1141","1062","1092","1193","1245","1525","1382","1440","1144","1193","1600","2516","1806"
"net_income_discontinued","","","-21","-109","-12","-26","-3","4","274","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","-97","-43","153","60","3",""
"other_income_statement_items","","","-22","3","","","","","","","","","","","","","","","","","","","","",""
"net_income","596.428","696","658","528","537","719","737","929","1207","879","1003","1062","1141","1062","1092","1193","1245","1525","1382","1343","1101","1346","1660","2519","1806"
"preferred_dividends","13.593","14","12","11","12","11","","","11","11","11","11","3","","","","","","","","","","","",""
"net_income_available_to_shareholders","582.835","682","646","517","525","708","737","929","1196","868","992","1051","1138","1062","1092","1193","1245","1525","1382","1343","1101","1346","1660","2519","1806"
"eps_basic","2.75","3.22","3.03","2.39","2.28","2.95","2.96","3.49","4.38","3.16","3.49","3.59","3.88","3.62","3.73","4.07","4.15","4.97","4.43","4.09","3.29","3.86","4.68","7.25","5.24"
"eps_diluted","2.74","3.21","3.02","2.38","2.27","2.94","2.95","3.47","4.37","3.14","3.47","3.57","3.86","3.61","3.71","4.05","4.12","4.94","4.42","4.08","3.28","3.85","4.66","7.21","5.22"
"shares_basic","212","212","213.201","216.318","230.263","243.9","249.3","266.3","272.9","275.2","284.3","292.6","292.9","292.9","292.9","293","300.4","307.1","311.7","328.5","334.8","348.4","354.5","347.7","347.7"
"shares_diluted","212.714","212.461","213.201","221","236","244.7","250.3","267.3","273.6","276.3","285.9","294.4","294.5","294.4","294","294.4","301.9","308.8","312.9","329.5","335.7","349.4","355.8","349.3","349.3"
"cash_and_equiv","94.828","359","118","49","26","81","94","211","74","260","338","648","394","674","699","944","776","797","895","981","1272","992","1282","1189","1189"
"st_investments","","","","","","","","","","","","","70","327","8","","","","","","","","","",""
"receivables","1078.759","734","737","859","833","1141","947","1119","1445","2122","2099","1900","1966","2005","2058","1882","1827","1937","2115","2115","2741","3106","3232","3788","3788"
"inventories","242.929","221","115","283","307","425","466","405","516","355","348","356","330","363","372","350","339","334","358","352","356","437","492","469","469"
"other_current_assets","599.471","184","736","401","547","1515","1430","815","1334","477","884","734","691","522","579","660","464","469","496","824","932","1016","7966","1091","1091"
"total_current_assets","2015.987","1498","1706","1592","1713","3162","2937","2550","3369","3214","3669","3638","3451","3891","3716","3836","3406","3537","3864","4272","5301","5551","12972","6537","6537"
"equity_and_other_investments","","","","","","","","","356","385","403","455","467","461","816","884","1921","2001","1766","2065","1816","853","841","999","999"
"ppe_gross","17277.513","16768","18047","19361","20600","21600","23191","24734","25993","27921","29722","31203","33580","35598","37532","40348","43897","46864","51793","55459","59102","62208","60426","64322","64322"
