"Company: ","Constellation Energy Corp (CEG:US)","","","","","",""
"Exchange: ","NASDAQ","","","","","",""
"Last Close Price: ","222.37","","","","","",""
"Industry: ","Electric Utilities","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","68122","","","","","",""
"Enterprise Value: ","75912","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","20437","18924","17603","19649","24440","24918","23514"
"cogs","17157","15574","14753","16718","22303","21686","19427"
"gross_profit","3280","3350","2850","2931","2137","3232","4087"
"sga","","","","","","","-39"
"rnd","","","","","","",""
"special_charges","","","","","","",""
"other_opex","2353","2054","2425","2569","2484","773","975"
"total_opex","2353","2054","2425","2569","2484","773","936"
"operating_income","927","1296","425","362","-347","2459","3151"
"net_interest_income_normal","-432","-429","-267","-297","-251","-431","-417"
"other_nonoperating_income","-130","1050","678","87","56","419","523"
"pretax_income","365","1917","836","152","-542","2447","3257"
"income_tax","108","-516","-249","-225","388","-859","-894"
"net_income_continuing","473","1401","587","-73","-154","1588","2363"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","-73","-92","10","-122","7","46","52"
"other_income_statement_items","-30","-184","-8","-10","-13","-11","-5"
"net_income","370","1125","589","-205","-160","1623","2410"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","370","1125","589","-205","-160","1623","2410"
"eps_basic","1.13","3.45","1.81","-0.63","-0.49","5.02","7.52"
"eps_diluted","1.13","3.45","1.81","-0.63","-0.49","5.01","7.49"
"shares_basic","326.3","326.3","326.3","326","328","323","323"
"shares_diluted","326.3","326.3","326.3","326","329","324","324"
"cash_and_equiv","","303","226","504","422","368","368"
"st_investments","","","","","","",""
"receivables","","3749","1803","2421","3316","2851","2851"
"inventories","","1262","1211","1288","1505","1500","1500"
"other_current_assets","","1762","3707","3768","4117","3580","3580"
"total_current_assets","","7076","6947","7981","9360","8299","8299"
"equity_and_other_investments","","235","184","174","202","563","563"
"ppe_gross","","36210","35584","35485","36548","39539","39539"
"accumulated_depreciation","","-12017","-13370","-15873","-16726","-17423","-17423"
"ppe_net","","24193","22214","19612","19822","22116","22116"
"intangible_assets","","","","","","",""
"goodwill","","47","","","47","425","425"
"other_lt_assets","","17444","18749","20319","17478","19355","19355"
"total_assets","","48995","48094","48086","46909","50758","50758"
"accounts_payable","","1692","1253","1757","2828","",""
"tax_payable","","","","","","",""
"current_accrued_liabilities","","786","788","737","906","2612","2612"
"st_debt","","3502","1322","3302","1302","1765","1765"
"current_deferred_revenue","","17","","","","",""
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","","1292","1856","2200","2803","1942","1942"
"total_current_liabilities","","7289","5219","7996","7839","6319","6319"
"lt_debt","","4792","5890","4894","4466","7496","7496"
"noncurrent_capital_leases","","","","","","",""
"pension_liabilities","","878","858","847","1214","1802","1802"
"noncurrent_deferred_revenue","","3763","3656","3703","3031","3209","3209"
"other_lt_liabilities","","16443","17795","19032","18987","20646","20646"
"total_liabilities","","33165","33418","36472","35537","39472","39472"
"common_stock","","","","","13274","12355","12355"
"preferred_stock","","","","","","",""
"retained_earnings","","3950","2805","","-496","761","761"
"aoci","","-32","-30","-31","-1760","-2191","-2191"
"apic","","","","","","",""
"treasury_stock","","","","","","",""
"other_equity","","9566","9624","11250","","",""
"minority_interest_liability","","2346","2277","395","354","361","361"
"total_equity","","15830","14676","11614","11372","11286","11286"
"total_liabilities_and_equity","","48995","48094","48086","46909","50758","50758"
"cfo_net_income","443","1217","579","-83","-167","1577","2358"
"cfo_da","3415","3063","3636","3995","1849","1883","1952"
"cfo_receivables","-359","-186","1125","-616","-868","396","347"
"cfo_inventory","-12","-47","-77","-68","-228","60","6"
"cfo_prepaid_expenses","","","","","","",""
"cfo_other_working_capital","33","-465","-4495","-2924","-4150","-8811","-9312"
"cfo_change_in_working_capital","-338","-698","-3447","-3608","-5246","-8355","-8959"
"cfo_deferred_tax","-451","361","78","-205","-643","251","293"
"cfo_stock_comp","","","","","","",""
"cfo_other_noncash_items","792","-1070","-262","-1437","1854","-657","-734"
"cf_cfo","3861","2873","584","-1338","-2353","-5301","-5090"
"cfi_ppe_net","-2242","-1845","-1747","-1329","-1689","-2422","-2500"
"cfi_acquisitions_net","","","","","","",""
"cfi_investment_net","-235","-36","-123","-141","-221","-228","-243"
"cfi_intangibles_net","","","","","","",""
"cfi_other","-54","14","3828","4752","5014","5681","6385"
"cf_cfi","-2531","-1867","1958","3282","3104","3031","3642"
"cff_common_stock_net","","","","","","-992","-1260"
"cff_pfd_net","","","","","","",""
"cff_debt_net","-126","-451","-1209","1289","-2329","3512","3376"
"cff_dividend_paid","-1001","-899","-1734","-1832","-185","-366","-385"
"cff_other","146","-110","279","-1152","1715","42","26"
"cf_cff","-981","-1460","-2664","-1695","-799","2196","1757"
"ebitda","4342","4359","4061","4357","1502","4342","5103"
"capex","-2242","-1845","-1747","-1329","-1689","-2422","-2500"
"fcf","1619","1028","-1163","-2667","-4042","-7723","-7590"
"book_value","","15830","14676","11614","11372","11286","11560"
"tangible_book_value","","15783","14676","11614","11325","10861","11135"
"roa","","0.05","0.01","","","0.03","0.05"
"roe","","0.14","0.04","-0.02","-0.01","0.14","0.21"
"roic","","0.09","0.02","-0.01","-0.01","0.08","0.12"
"roce","","0.06","0.01","0.01","-0.01","0.06","0.07000000000000001"
"rotce","","0.06","0.01","0.01","-0.01","0.06","0.07000000000000001"
"gross_margin","0.16","0.18","0.16","0.15","0.09","0.13","0.17"
"ebitda_margin","0.21","0.23","0.23","0.22","0.06","0.17","0.22"
"operating_margin","0.05","0.07000000000000001","0.02","0.02","-0.01","0.1","0.13"
"pretax_margin","0.02","0.1","0.05","0.01","-0.02","0.1","0.14"
"net_income_margin","0.02","0.06","0.03","-0.01","-0.01","0.07000000000000001","0.1"
