"Company: ","Copart Inc (CPRT:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","55.27","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Commercial Services & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","52830","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","49740","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-07","2001-07","2002-07","2003-07","2004-07","2005-07","2006-07","2007-07","2008-07","2009-07","2010-07","2011-07","2012-07","2013-07","2014-07","2015-07","2016-07","2017-07","2018-07","2019-07","2020-07","2021-07","2022-07","2023-07","TTM"
"revenue","190.042","253.889","316.456","347.423","391.014","447.731","528.571","560.6799999999999","784.848","743.082","772.879","872.246","924.191","1046.386","1163.489","1146.079","1268.449","1447.981","1805.695","2041.957","2205.583","2692.511","3500.921","3869.518","4165.415"
"cogs","116.697","152.052","186.953","224.403","227.625","245.666","298.023","293.898","462.589","430.822","424.885","499.351","514.575","625.4640000000001","694.9160000000001","662.703","723.8630000000001","815.953","1043.329","1143.615","1197.781","1349.42","1894.7","2132.527","2254.161"
"gross_profit","73.345","101.837","129.503","123.02","163.389","202.065","230.548","266.782","322.259","312.26","347.994","372.895","409.616","420.922","468.573","483.376","544.586","632.028","762.366","898.342","1007.802","1343.091","1606.221","1736.991","1911.254"
"sga","15.65","19.37","23.256","32.266","38.928","45.629","58.986","63.637","84.342","86.935","108.924","107.605","114.492","137.93","164.535","138.975","138.116","151.364","176.89","181.867","191.703","206.665","231.224","250.422","308.158"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","11.479","14.35","16.307","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","27.129","33.72","39.563","32.266","38.928","45.629","58.986","63.637","84.342","86.935","108.924","107.605","114.492","137.93","164.535","138.975","138.116","151.364","176.89","181.867","191.703","206.665","231.224","250.422","308.158"
"operating_income","46.216","68.117","89.94","90.754","124.461","156.436","171.562","203.145","237.917","225.325","239.07","265.29","295.124","282.992","304.038","344.401","406.47","480.664","585.476","716.475","816.099","1136.426","1374.997","1486.569","1603.096"
