"Company: ","Corning Incorporated (GLW:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","39.77","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electronic Equipment, Instruments & Components","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","34179","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","39864","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","6920","6047","3164","3090","3854","4579","5174","5860","5948","5395","6632","7890","8012","7819","9715","9111","9390","10116","11290","11503","11303","14082","14189","12588","12385"
"cogs","4009","4227","2562","2241","2439","2595","2891","3111","3210","3302","3583","4314","4693","4495","5663","5458","5627","6096","6829","7468","7772","9019","9683","8657","8464"
"gross_profit","2911","1820","602","849","1415","1984","2283","2749","2738","2093","3049","3576","3319","3324","4052","3653","3763","4020","4461","4035","3531","5063","4506","3931","3921"
"sga","1041","1090","716","599","653","756","857","912","901","881","1015","1028","1205","1126","1202","1508","1462","1473","1799","1585","1747","1827","1898","1843","1873"
"rnd","531","622","483","344","355","443","517","565","627","563","603","668","769","710","815","769","736","864","993","1031","1154","995","1047","1076","1080"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","245","439","43","450","1898","178","57","195","11","10","-257","-204","-64","31","33","54","64","75","94","113","121","129","123","122","121"
"total_opex","1817","2151","1242","1393","2906","1377","1431","1672","1539","1454","1361","1492","1910","1867","2050","2331","2262","2412","2886","2729","3022","2951","3068","3041","3074"
"operating_income","1094","-331","-640","-544","-1491","607","852","1077","1199","639","1688","2084","1409","1457","2002","1322","1501","1608","1575","1306","509","2112","1438","890","847"
"net_interest_income_normal","","","","","","","","63","26","-63","-98","-70","-97","-112","-97","-119","-127","-110","-153","-200","-261","-289","-277","-291","-293"
"other_nonoperating_income","-473","-5830","-2080","-215","-113","-48","109","151","1657","1358","2255","1217","663","1128","1663","283","2318","159","81","110","375","603","636","217","330"
"pretax_income","621","-6161","-2720","-759","-1604","559","961","1291","2882","1934","3845","3231","1975","2473","3568","1486","3692","1657","1503","1216","623","2426","1797","816","884"
"income_tax","-383","468","726","254","-1084","-578","-55","-80","2375","74","-287","-414","-339","-512","-1096","-147","3","-2154","-437","-256","-111","-491","-411","-168","-202"
"net_income_continuing","238","-5693","-1994","-505","-2688","-19","906","1211","5257","2008","3558","2817","1636","1961","2472","1339","3695","-497","1066","960","512","1935","1386","648","682"
"net_income_discontinued","59","34","478","","20","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-24","13","98","73","-17","-7","-11","-3","1","","","","","","","","","","","","","-29","-70","-67","-68"
"other_income_statement_items","149","148","116","209","454","611","960","942","-1","","","","","","","","","","","","","","","",""
"net_income","422","-5498","-1302","-223","-2231","585","1855","2150","5257","2008","3558","2817","1636","1961","2472","1339","3695","-497","1066","960","512","1906","1316","581","614"
"preferred_dividends","1","1","128","","","","","","","","","","","","94","98","98","98","98","98","98","24","","",""
"net_income_available_to_shareholders","421","-5499","-1430","-223","-2231","585","1855","2150","5257","2008","3558","2817","1636","1961","2378","1241","3597","-595","968","862","414","1882","1316","581","614"
"eps_basic","0.49","-5.89","-1.39","-0.22","-1.61","0.4","1.2","1.37","3.37","1.3","2.28","1.8","1.1","1.35","1.82","1.02","3.53","-0.66","1.19","1.11","0.54","1.3","1.56","0.6899999999999999","0.72"
"eps_diluted","0.49","-5.89","-1.39","-0.22","-1.61","0.38","1.16","1.34","3.32","1.28","2.25","1.78","1.09","1.34","1.73","1","3.23","-0.66","1.13","1.07","0.54","1.28","1.54","0.68","0.71"
"shares_basic","859.184","933.616","1028.777","1013.636","1386","1462.5","1545.833","1566","1560","1550","1558","1562","1494","1452","1305","1219","1020","895","816","776","761","828","843","848","848"
"shares_diluted","2619","933.616","1028.777","1013.636","1386","1539.474","1599.138","1566","1584","1568","1581","1583","1506","1462","1427","1343","1144","895","941","899","772","844","857","859","859"
"cash_and_equiv","1079","1037","1426","833","1009","1342","1157","2216","1873","2541","4598","4661","4988","4704","5309","4500","5291","4317","2355","2434","2672","2148","1671","1779","1779"
"st_investments","715","1182","664","433","872","1092","2010","1300","943","1042","1752","1164","1156","531","759","100","","","","","","","","",""
"receivables","1302","593","828","642","585","629","746","856","512","753","973","1082","1302","1253","1501","1372","1481","1807","1940","1836","2133","2004","1721","1572","1572"
"inventories","1040","725","559","467","535","570","639","631","798","579","738","975","1051","1270","1322","1385","1471","1712","2037","2320","2438","2481","2904","2666","2666"
"other_current_assets","498","570","348","319","282","227","246","291","493","606","798","795","1198","1133","1347","912","805","991","702","873","761","1026","1157","1195","1195"
"total_current_assets","4634","4107","3825","2694","3283","3860","4798","5294","4619","5521","8859","8677","9695","8891","10238","8269","9048","8827","7034","7463","8004","7659","7453","7212","7212"
"equity_and_other_investments","","","","","","","","3036","3056","3992","4372","4726","4915","5537","1801","1975","336","340","376","334","435","318","360","414","414"
"ppe_gross","7341","8164","7080","7035","7473","8307","9280","10445","13269","13498","15363","17875","18277","17666","21098","21836","22430","24826","26827","28836","30085","30514","30360","30066","30066"
"accumulated_depreciation","-2662","-3067","-3375","-3415","-3532","-3632","-4087","-4459","-5070","-5503","-6420","-7204","-7652","-7865","-8332","-9188","-9884","-10809","-11932","-12995","-13663","-13969","-14147","-14553","-14553"
"ppe_net","4679","5097","3705","3620","3941","4675","5193","5986","8199","7995","8943","10671","10625","9801","12766","12648","12546","14017","14895","15841","16422","16545","16213","15513","15513"
"intangible_assets","7340","2289","1928","1901","398","338","","31","28","167","179","262","522","540","497","706","796","869","1292","1185","1308","1148","1029","905","905"
"goodwill","","","","","","","316","277","277","509","537","664","974","1002","1150","1380","1577","1694","1936","1935","2460","2421","2394","2380","2380"
"other_lt_assets","873","1300","1948","2537","2088","2334","2758","591","3077","3111","2943","2848","2644","2707","3611","3549","3596","1747","1972","2140","2146","2063","2050","2076","2076"
"total_assets","17526","12793","11406","10752","9710","11207","13065","15215","19256","21295","25833","27848","29375","28478","30063","28527","27899","27494","27505","28898","30775","30154","29499","28500","28500"
"accounts_payable","855","441","339","333","682","690","631","609","846","550","798","977","779","771","997","934","1079","1439","1456","1587","1174","1612","1804","1466","1466"
"tax_payable","","","","","","","","","","","","288","282","139","106","53","150","148","169","182","173","196","127","69","69"
"current_accrued_liabilities","966","1076","1137","1074","1176","1662","1144","1880","1128","915","1131","373","460","445","562","491","487","620","642","565","572","824","727","609","609"
"st_debt","128","477","204","146","478","18","20","23","78","74","57","27","76","21","36","572","256","379","4","2","146","55","224","320","320"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","54","104","363","371","276","329","329"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","2","","524","","","","","432","359","370","623","764","779","623","986","1010","1233","1654","1906","1414","1414"
"total_current_liabilities","1949","1994","1680","1553","2338","2370","2319","2512","2052","1539","1986","2097","1956","1746","2324","2814","2751","3209","3311","3521","3767","4806","5175","4319","4319"
"lt_debt","3966","4461","3963","2668","2214","1789","1696","1514","1527","1930","2262","2364","3382","3272","3227","3890","3646","4749","5994","7458","7653","6989","6687","7206","7206"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","721","796","691","795","846","846"
"pension_liabilities","","","","","","","","744","784","858","913","897","930","766","814","1390","1429","1462","1493","1651","1614","1329","1075","1119","1119"
"noncurrent_deferred_revenue","61","","","","","","","","","","","","","","","","382","833","1269","1252","2333","2094","2105","1980","1980"
"other_lt_liabilities","778","805","1013","1031","1313","1518","1759","903","1402","1373","1246","1361","1574","1483","2046","1570","1731","1471","1552","1298","1164","1700","1387","1162","1162"
