"Company: ","Credit Acceptance Corporation (CACC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","490.18","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Finance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","5939","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","11542","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","123.611","149.23","154.334","145.788","164.35","198.465","214.399","232.601","307.261","378.5","440.5","523.4","608.5","678.9","722","823.6","965.2","1107.2","1280","1479.4","1665.2","1850.9","1823","1879.8","1932.9"
"cogs","","","","","46.96","52.979","64.571","92.104","114.833","118.591","132.5","150.6","180.4","193.1","196.9","225.6","250.2","283","350.4","419.6","416.4","421.1","475","617.4","655.9"
"gross_profit","123.611","149.23","154.334","145.788","117.39","145.486","149.828","140.497","192.428","259.909","308","372.8","428.1","485.8","525.1","598","715","824.2","929.6","1059.8","1248.8","1429.8","1348","1262.4","1277"
"sga","52.925","59.822","66.333","28.528","32.639","35.109","53.109","44.695","44.312","45.199","46.1","49.2","61.7","68.90000000000001","71.09999999999999","83.7","97.59999999999999","113.9","123.4","135.3","139.1","165.6","164.3","178.9","186.4"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","34.686","48.129","39.421","71.003","7.796","6.636","11.006","19.947","46.029","-12.164","10","29","24","21.9","12.8","41.5","90.2","129.3","56.9","76.40000000000001","556.9","8.4","481.4","736.2","784.8"
"total_opex","87.611","107.951","105.754","99.53100000000001","40.435","41.745","64.11499999999999","64.642","90.34099999999999","33.035","56.1","78.2","85.7","90.8","83.90000000000001","125.2","187.8","243.2","180.3","211.7","696","174","645.7","915.1","971.2"
"operating_income","36","41.279","48.58","46.257","76.955","103.741","85.71299999999999","75.855","102.087","226.874","251.9","294.6","342.4","395","441.2","472.8","527.2","581","749.3","848.1","552.8","1255.8","702.3","347.3","305.8"
"net_interest_income_normal","","","","","0.247","0.763","1.799","3.02","2.019","0.394","0.108","","","","","","1.7","2.2","5","8.5","2.9","1.2","6.6","19.7","21.4"
"other_nonoperating_income","-0.011","-0.042","","-2.767","9.124000000000001","3.852","3.128","4.306","2.906","1.77","1.492","1.8","0.7","3.2","-20.3","1.7","2.3","0.6","0.8","-0.7","-6.2","3.9","2.8","0.6",""
"pretax_income","35.989","41.237","48.58","43.49","86.32599999999999","108.356","90.64","83.181","107.012","229.038","253.5","296.4","343.1","398.2","420.9","474.5","531.2","583.8","755.1","855.9","549.5","1260.9","711.7","367.6","327.2"
"income_tax","-12.339","-19.174","-18.879","-15.309","-30.073","-40.159","-31.793","-29.567","-39.944","-82.992","-83.40000000000001","-108.4","-123.4","-145.1","-154.7","-174.8","-198.4","-113.6","-181.1","-199.8","-128.5","-302.6","-175.9","-81.5","-76.3"
"net_income_continuing","23.65","22.063","29.701","28.181","56.253","68.197","58.847","53.614","67.068","146.046","170.1","188","219.7","253.1","266.2","299.7","332.8","470.2","574","656.1","421","958.3","535.8","286.1","250.9"
"net_income_discontinued","","","","","1.072","4.404","-0.207","1.302","0.109","0.209","-0.03","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
