"Company: ","DT Midstream Inc (DTM:US)","","","","","",""
"Exchange: ","NYSE","","","","","",""
"Last Close Price: ","70.48","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","6863","","","","","",""
"Enterprise Value: ","9889","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","485","504","754","840","920","922","942"
"cogs","","","","","","",""
"gross_profit","485","504","754","840","920","922","942"
"sga","","","","","","",""
"rnd","","","","","","",""
"special_charges","","","","","","",""
"other_opex","212","242","342","421","465","455","461"
"total_opex","212","242","342","421","465","455","461"
"operating_income","273","262","412","419","455","467","481"
"net_interest_income_normal","-60","-67","-104","-108","-147","-149","-150"
"other_nonoperating_income","118","97","132","111","174","182","177"
"pretax_income","331","292","440","422","482","500","508"
"income_tax","-72","-72","-116","-104","-100","-104","-96"
"net_income_continuing","259","220","324","318","382","396","412"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","-28","-16","-12","-11","-12","-12","-12"
"other_income_statement_items","","","","","","",""
"net_income","231","204","312","307","370","384","400"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","231","204","312","307","370","384","400"
"eps_basic","2.39","2.11","3.22","3.17","3.83","3.97","4.12"
"eps_diluted","2.39","2.11","3.22","3.16","3.81","3.94","4.1"
"shares_basic","96.864","96.864","96.864","96.7","96.7","96.90000000000001","96.90000000000001"
"shares_diluted","96.864","96.864","96.864","96.90000000000001","97.2","97.5","97.5"
"cash_and_equiv","","46","42","132","61","56","56"
"st_investments","","","","","","",""
"receivables","","227","400","178","161","169","169"
"inventories","","","","","","",""
"other_current_assets","","27","41","50","40","47","47"
"total_current_assets","","300","483","360","262","272","272"
"equity_and_other_investments","","1684","1691","1691","2200","1762","1762"
"ppe_gross","","3571","4026","4145","4565","5320","5320"
"accumulated_depreciation","","-460","-511","-619","-728","-848","-848"
"ppe_net","","3111","3515","3526","3837","4472","4472"
"intangible_assets","","2195","2140","2082","2025","1968","1968"
