"Company: ","Danaher Corporation (DHR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","254.14","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","190178","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","199564","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3777.777","3782.444","4577.232","5293.876","6889.301","7871.498","9466.056","11025.917","12697.456","11184.938","12550","16090.5","18260.4","18283.1","12866.9","14433.7","16882.4","15518.8","17049","17911","22284","24802","26643","23890","22519"
"cogs","2166.01","2338.027","2791.175","3154.809","3996.636","4467.303","5268.996","5985.022","6757.262","5904.718","6145.5","7913.9","8846.1","8941.1","6017.4","6662.6","7547.8","6947.5","7544","7927","9809","9563","10455","9856","9368"
"gross_profit","1611.767","1444.417","1786.057","2139.067","2892.665","3404.195","4197.06","5040.895","5940.194","5280.22","6404.5","8176.6","9414.299999999999","9342","6849.5","7771.1","9334.6","8571.299999999999","9505","9984","12475","15239","16188","14034","13151"
"sga","909.897","872.6799999999999","1091.208","1315.572","1795.673","1777.717","2273.227","2713.097","3345.274","3190.211","3603.7","4607.7","5181.2","5117.1","4035.1","4747.5","5624.3","5042.6","5391","5589","6896","6807","7124","7252","6912"
"rnd","","","","","","374.307","440.002","601.424","725.443","632.651","774","1018.5","1137.9","1104.4","769.4","861.4","975.1","956.4","1059","1126","1348","1498","1528","1503","1442"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","149.721","","","-22.5","-8.141","4.596","-16.379","-14.335","","-85.11799999999999","","","","","","","","","","","","547","","",""
"total_opex","1059.618","872.6799999999999","1091.208","1293.072","1787.532","2156.62","2696.85","3300.186","4070.717","3737.744","4377.7","5626.2","6319.1","6221.5","4804.5","5608.9","6599.4","5999","6450","6715","8244","8852","8652","8755","8354"
"operating_income","552.149","571.737","694.849","845.995","1105.133","1247.575","1500.21","1740.709","1869.477","1542.476","2026.8","2550.4","3095.2","3120.5","2045","2162.2","2735.2","2572.3","3055","3269","4231","6387","7536","5279","4797"
"net_interest_income_normal","","","","","","","","-103.61","-120.17","-117.622","-111","-136.5","-154.3","-135.5","-81.40000000000001","-135.2","-184.2","-132.6","-128","31","-204","-220","-163","17","32"
"other_nonoperating_income","-29.225","-95.473","-37.381","-48.96","-47.416","-29.833","-71.367","","","","313.8","33.9","69.90000000000001","431.3","122.6","12.4","60.3","103.5","35","5","468","344","-227","-252","-312"
"pretax_income","522.924","476.264","657.468","797.035","1057.717","1217.742","1428.843","1637.099","1749.307","1424.854","2229.6","2447.8","3010.8","3416.3","2086.2","2039.4","2611.3","2543.2","2962","3305","4495","6511","7146","5044","4517"
"income_tax","-198.711","-178.599","-223.327","-260.201","-311.717","-332.133","-319.637","-423.101","-431.676","-273.15","-511.4","-512.5","-711.5","-825.7","-447.5","-292.7","-457.9","-371","-556","-873","-849","-1064","-818","-823","-658"
"net_income_continuing","324.213","297.665","434.141","536.8339999999999","746","885.609","1109.206","1213.998","1317.631","1151.704","1718.2","1935.3","2299.3","2590.6","1638.7","1746.7","2153.4","2172.2","2406","2432","3646","5447","6328","4221","3859"
"net_income_discontinued","","","30","","","12.191","12.823","155.906","","","74.8","237","92.90000000000001","104.4","959.7","1610.7","400.3","319.9","245","576","","986","881","543","-42"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","5.6843418860808E-14","","-173.75","","-1.1368683772162E-13","","-2.2737367544323E-13","","","-2.2737367544323E-13","2.2737367544323E-13","","-4.5474735088646E-13","-4.5474735088646E-13","4.5474735088646E-13","","-4.5474735088646E-13","","","","","","","","585"
"net_income","324.213","297.665","290.391","536.8339999999999","746","897.8","1122.029","1369.904","1317.631","1151.704","1793","2172.3","2392.2","2695","2598.4","3357.4","2553.7","2492.1","2651","3008","3646","6433","7209","4764","4402"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","68","136","164","106","21",""
"net_income_available_to_shareholders","324.213","297.665","290.391","536.8339999999999","746","897.8","1122.029","1369.904","1317.631","1151.704","1793","2172.3","2392.2","2695","2598.4","3357.4","2553.7","2492.1","2651","2940","3510","6269","7103","4743","4402"
"eps_basic","0.57","0.52","0.48","0.88","1.21","1.46","1.82","2.2","2.07","1.8","2.74","3.21","3.45","3.87","3.7","4.81","3.69","3.58","3.78","4.11","4.97","8.77","9.800000000000001","6.44","5.96"
