"Company: ","Darling Ingredients Inc (DAR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","36.22","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Food Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","5865","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","10082","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","229.273","242.964","261.059","323.267","320.229","308.867","406.99","645.313","807.492","597.806","724.909","1797.249","1772.552","1802.268","3956.443","3391.255","3391.928","3662.251","3387.726","3363.905","3571.923","4741.369","6532.204","6788.08","6417.207"
"cogs","177.638","185.019","193.632","245.175","237.925","241.707","321.416","483.453","614.708","440.111","531.699","1268.221","1303.727","1339.819","3123.171","2654.025","2635.333","2875.68","2646.374","2589.085","2688.815","3499.385","5002.609","5143.06","4892.753"
"gross_profit","51.635","57.945","67.42700000000001","78.092","82.304","67.16","85.574","161.86","192.784","157.695","193.21","529.028","468.825","462.449","833.272","737.23","756.595","786.571","741.352","774.8200000000001","883.1079999999999","1241.984","1529.595","1645.02","1524.454"
"sga","26.479","28.334","30.169","35.808","36.509","35.24","45.649","57.999","59.761","61.062","68.042","136.135","151.713","170.825","374.58","316.383","311.552","343.502","309.264","358.523","378.496","391.538","436.608","542.534","546.211"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","26.859","24.898","16.415","15.124","15.224","15.787","20.686","23.214","24.433","25.226","31.908","78.90900000000001","85.371","98.78700000000001","269.517","269.904","289.908","302.1","321.192","325.51","350.178","316.387","394.721","502.015","513.518"
"total_opex","53.338","53.232","46.584","50.932","51.733","51.027","66.33499999999999","81.21299999999999","84.194","86.288","99.95","215.044","237.084","269.612","644.097","586.287","601.46","645.602","630.456","684.033","728.674","707.925","831.329","1044.549","1059.729"
"operating_income","-1.703","4.713","20.843","27.16","30.571","16.133","19.239","80.64700000000001","108.59","71.407","93.26000000000001","313.984","231.741","192.837","189.175","150.943","155.135","140.969","110.896","90.78700000000001","154.434","534.059","698.266","600.471","464.725"
"net_interest_income_normal","","","","","","","","","-3.018","-3.105","-8.737","-37.163","-24.054","-38.108","-135.416","-105.53","-94.187","-88.926","-86.429","-78.67400000000001","-72.68600000000001","-62.077","-125.566","-259.223","-271.8"
"other_nonoperating_income","-14.158","-15.818","-4.402","1.551","-7.058","-5.254","-11.866","-5.615","-15.656","-1.423","-14.18","-4.527","-0.902","8.949","27.693","53.367","61.591","12.157","93.508","368.321","271.871","349.414","321.018","378.709","395.698"
"pretax_income","-15.861","-11.105","16.441","28.711","23.513","10.879","7.373","75.032","89.916","66.879","70.343","272.294","206.785","163.678","81.452","98.78","122.539","64.2","117.975","380.434","353.619","821.396","893.718","719.957","588.623"
"income_tax","","","-7.151","-10.632","-9.244999999999999","-3.184","-2.266","-29.499","-35.354","-25.089","-26.1","-102.876","-76.015","-54.711","-13.141","-13.501","-15.315","69.154","-12.031","-59.467","-53.289","-164.106","-146.626","-59.568","-36.501"
"net_income_continuing","-15.861","-11.105","9.289999999999999","18.079","14.268","7.695","5.107","45.533","54.562","41.79","44.243","169.418","130.77","108.967","68.31100000000001","85.279","107.224","133.354","105.944","320.967","300.33","657.29","747.092","660.389","552.122"
"net_income_discontinued","-3.328","-0.74","-0.327","0.112","-0.376","0.046","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","-4.096","-6.748","-4.911","-4.886","-4.448","-8.367000000000001","-3.511","-6.376","-9.401999999999999","-12.663","-9.039999999999999"
"other_income_statement_items","","","","","-3.5527136788005E-15","","","","","-7.105427357601E-15","","2.8421709430404E-14","2.8421709430404E-14","","1.4210854715202E-14","1.4210854715202E-14","","","1.4210854715202E-14","","","","1.1368683772162E-13","",""
"net_income","-19.189","-11.845","8.962999999999999","18.191","13.892","7.741","5.107","45.533","54.562","41.79","44.243","169.418","130.77","108.967","64.215","78.53100000000001","102.313","128.468","101.496","312.6","296.819","650.914","737.6900000000001","647.726","543.082"
"preferred_dividends","","","0.994","0.901","","","","","","","","","","","","","","","","","","","","",""
