"Company: ","Deckers Outdoor Corporation (DECK:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","975.3200000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Textiles, Apparel & Luxury Goods","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","24884","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","23382","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","2020-03","2021-03","2022-03","2023-03","2024-03","TTM"
"revenue","91.461","99.107","121.055","214.787","264.76","304.423","448.929","689.4450000000001","813.177","1000.989","1377.283","1414.398","1556.618","","1817.057","1875.197","1790.147","1903.339","2020.437","2132.689","2545.641","3150.339","3627.286","4287.763","4287.763"
"cogs","52.903","57.577","69.70999999999999","124.354","153.598","163.692","241.458","384.127","442.087","498.051","698.288","782.244","820.135","","938.949","1028.529","954.912","971.697","980.187","1029.016","1171.551","1542.788","1801.916","1902.275","1902.275"
"gross_profit","38.558","41.53","51.345","90.43300000000001","111.162","140.731","207.471","305.318","371.09","502.938","678.995","632.154","736.4829999999999","","878.1079999999999","846.668","835.235","931.6420000000001","1040.25","1103.673","1374.09","1607.551","1825.37","2385.488","2385.488"
"sga","34.04","34.954","31.907","47.971","59.254","73.989","101.918","152.574","188.843","253.85","394.157","445.206","528.586","","653.689","684.5410000000001","837.154","709.058","712.9299999999999","765.538","869.885","1042.844","1172.619","1457.974","1457.974"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","3.228","","","","15.3","","","","","","","","","","","","","","","","","","",""
"total_opex","34.04","38.182","31.907","47.971","59.254","89.289","101.918","152.574","188.843","253.85","394.157","445.206","528.586","","653.689","684.5410000000001","837.154","709.058","712.9299999999999","765.538","869.885","1042.844","1172.619","1457.974","1457.974"
"operating_income","4.518","3.348","19.438","42.462","51.908","51.442","105.553","152.744","182.247","249.088","284.838","186.948","207.897","","224.419","162.127","-1.919","222.584","327.32","338.135","504.205","564.707","652.751","927.514","927.514"
"net_interest_income_normal","","","","","","","","3.332","1.885","-0.332","-0.06900000000000001","-3.623","-3.019","","-4.013","-5.394","-6.541","-1.528","1.367","2.215","-3.391","-0.182","12.121","49.644","49.644"
"other_nonoperating_income","-1.707","-0.504","-4.554","-2.239","-0.374","1.91","4.486","-35.574","-0.909","1.353","0.493","0.793","0.679","","0.733","0.152","1.474","-0.36","0.247","0.516","0.7","0.113","1.21","1.783","1.783"
"pretax_income","2.811","2.844","14.884","40.223","51.534","53.352","110.039","120.502","183.223","250.109","285.262","184.118","205.557","","221.139","156.885","-6.986","220.696","328.934","340.866","501.514","564.638","666.082","978.941","978.941"
"income_tax","-1.185","-1.224","-5.73","-14.684","-20.387","-22.743","-43.602","-46.631","-66.304","-89.732","-83.404","-55.104","-59.868","","-59.359","-34.62","12.696","-106.302","-64.626","-64.724","-118.939","-112.689","-149.26","-219.378","-219.378"
"net_income_continuing","1.626","1.62","9.154","25.539","31.147","30.609","66.437","73.871","116.919","160.377","201.858","129.014","145.689","","161.78","122.265","5.71","114.394","264.308","276.142","382.575","451.949","516.822","759.563","759.563"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","0.077","-0.133","-2.142","-2.806","-0.148","","","","","","","","","","","","",""
