"Company: ","Delta Air Lines Inc (DAL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","48.81","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Passenger Airlines","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","31878","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","43967","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-06","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","14883","13879","13866","14308","15235","16480","17532","19154","22697","28063","31755","35115","36670","37773","40362","40704","39450","41138","44438","47007","17095","29899","50582","58048","59037"
"cogs","4090","","","","","","","9184","13815","15048","25620","29324","30489","30342","32858","27707","27967","30671","34209","34708","23416","30078","42767","46571","46592"
"gross_profit","10793","13879","13866","14308","15235","16480","17532","9970","8882","13015","6135","5791","6181","7431","7504","12997","11483","10467","10229","12299","-6321","-179","7815","11477","12445"
"sga","","9076","8863","8776","2580","7104","6164","5122","6421","9838","1822","1946","1962","2109","2785","3162","2866","2892","3242","3854","643","610","2162","3961","4002"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-913","6405","6312","6317","15963","11377","11310","1810","1266","1536","1646","1628","1592","1520","1797","2033","1621","1609","1723","1827","-2714","-3126","1700","2239","2215"
"total_opex","-913","15481","15175","15093","18543","18481","17474","6932","7687","11374","3468","3574","3554","3629","4582","5195","4487","4501","4965","5681","-2071","-2516","3862","6200","6217"
"operating_income","11706","-1602","-1309","-785","-3308","-2001","58","3038","1195","1641","2667","2217","2627","3802","2922","7802","6996","5966","5264","6618","-4250","2337","3953","5277","6228"
"net_interest_income_normal","","","","","","","","-524","-593","-881","-1185","-1094","-1005","-852","-650","-481","-388","-396","-311","-301","-929","-1279","-1029","-834","-811"
"other_nonoperating_income","-9613","-262","-693","-404","-684","-1858","-7026","-695","-9643","-2341","-874","-354","-597","-423","-1200","-164","-255","-70","198","-119","-10408","-660","-1010","1165","818"
"pretax_income","2093","-1864","-2002","-1189","-3992","-3859","-6968","1819","-9041","-1581","608","769","1025","2527","1072","7157","6353","5500","5151","6198","-15587","398","1914","5608","6235"
"income_tax","-831","648","730","416","-1206","41","765","-207","119","344","-15","85","-16","8013","-413","-2631","-2158","-2295","-1216","-1431","3202","-118","-596","-999","-1226"
"net_income_continuing","1262","-1216","-1272","-773","-5198","-3818","-6203","1612","-8922","-1237","593","854","1009","10540","659","4526","4195","3205","3935","4767","-12385","280","1318","4609","5009"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-54","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","1208","-1216","-1272","-773","-5198","-3818","-6203","1612","-8922","-1237","593","854","1009","10540","659","4526","4195","3205","3935","4767","-12385","280","1318","4609","5009"
"preferred_dividends","12","14","-15","17","19","18","2","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1196","-1230","-1257","-790","-5217","-3836","-6205","1612","-8922","-1237","593","854","1009","10540","659","4526","4195","3205","3935","4767","-12385","280","1318","4609","5009"
"eps_basic","8.66","-9.99","-10.44","-6.4","-41.07","-23.75","-31.58","2.72","-19.08","-1.5","0.71","1.02","1.2","12.41","0.79","5.68","5.59","4.45","5.69","7.32","-19.49","0.44","2.07","7.21","7.84"
"eps_diluted","8.15","-9.99","-10.44","-6.4","-41.07","-23.75","-31.58","2.11","-19.08","-1.5","0.7","1.01","1.19","12.29","0.78","5.63","5.55","4.43","5.67","7.3","-19.49","0.44","2.06","7.17","7.78"
