"Company: ","Devon Energy Corporation (DVN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","47.37","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","30108","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","34627","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2587","2864","4316","7352","9086","10027","9767","11362","13858","7631","9940","11445","9501","10397","19566","13145","10304","6501","8896","6220","4828","12206","19169","15258","15031"
"cogs","441","550","775","1078","2598","2586","2661","3055","3462","2692","3287","4388","4471","4794","10669","12922","9432","5358","6702","5506","4436","8527","10800","9891","10084"
"gross_profit","2146","2314","3541","6274","6488","7441","7106","8307","10396","4939","6653","7057","5030","5603","8897","223","872","1143","2194","714","392","3679","8369","5367","4947"
"sga","124","161","1027","1481","277","291","397","513","645","648","563","585","692","617","847","1193","865","645","574","475","338","391","395","408","416"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","806","981","1322","1997","2480","2259","2572","3198","13556","2513","2161","1840","2179","2380","2425","526","290","346","128","79","187","42","54","49","48"
"total_opex","930","1142","2349","3478","2757","2550","2969","3711","14201","3161","2724","2425","2871","2997","3272","1719","1155","991","702","554","525","433","449","457","464"
"operating_income","1216","1172","1192","2796","3731","4891","4137","4596","-3805","1778","3929","4632","2159","2606","5625","-1496","-283","152","1492","160","-133","3246","7920","4910","4483"
"net_interest_income_normal","","","","","","","","","-275","-235","-331","-331","-370","-417","-478","-519","-638","-321","-268","-250","-270","-359","-309","-308","-312"
"other_nonoperating_income","-178","-1144","-1326","-551","-455","-513","-567","-372","-80","-6069","-30","-11","-2106","-2040","-1088","-17843","-396","209","-280","-19","-2687","11","164","21","-4"
"pretax_income","1038","28","-134","2245","3276","4378","3570","4224","-4160","-4526","3568","4290","-317","149","4059","-19858","-1317","40","944","-109","-3090","2898","7775","4623","4167"
"income_tax","-377","-5","193","-514","-1095","-1481","-936","-1078","1121","1773","-1235","-2156","132","-169","-2368","6213","-141","-7","-230","30","547","-65","-1738","-841","-779"
"net_income_continuing","661","23","59","1731","2181","2897","2634","3146","-3039","-2753","2333","2134","-185","-20","1691","-13645","-1458","33","714","-79","-2543","2833","6037","3782","3388"
"net_income_discontinued","69","31","45","","5","33","212","460","891","274","2217","2570","-21","","","","","1045","2510","-274","-128","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","-84","749","402","-180","-160","-2","-9","-20","-22","-35","-40"
"other_income_statement_items","","49","","16","","","","","","","","","","","","","","","","","","","","",""
"net_income","730","103","104","1747","2186","2930","2846","3606","-2148","-2479","4550","4704","-206","-20","1607","-12896","-1056","898","3064","-355","-2680","2813","6015","3747","3348"
"preferred_dividends","10","10","10","10","10","10","10","10","5","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","720","93","94","1737","2176","2920","2836","3596","-2153","-2479","4550","4704","-206","-20","1607","-12896","-1056","898","3064","-355","-2680","2813","6015","3747","3348"
"eps_basic","2.83","0.37","0.31","4.16","4.51","6.38","6.42","8.08","-4.85","-5.58","10.35","11.29","-0.52","-0.06","3.93","-31.72","-2.09","1.71","6.14","-0.89","-7.12","4.2","9.15","5.86","5.27"
"eps_diluted","2.75","0.36","0.31","4.04","4.38","6.26","6.34","8","-4.85","-5.58","10.31","11.25","-0.52","-0.06","3.91","-31.72","-2.09","1.7","6.1","-0.89","-7.12","4.19","9.119999999999999","5.84","5.24"
"shares_basic","254","256","310","417","482","458","442","445","439","444","440","412","400","402","405","407","507","520","494","401","377","663","651","639","639"
"shares_diluted","264","260","312","433","499","470","448","450","439","444","441","414","400","402","407","407","507","520","497","401","377","665","653","642","642"
"cash_and_equiv","228","183","292","1273","1152","1593","692","1364","195","646","2866","5555","4637","6066","1480","2310","1959","2642","2414","1464","2047","2099","1454","875","875"
"st_investments","","","","","967","680","574","372","282","","145","1503","2343","","","","","","","","","","","",""
"receivables","615","557","695","957","1320","1565","1324","1809","1300","1208","1202","1414","1245","1609","2481","1105","1356","989","812","879","775","1543","1767","1573","1573"
"inventories","47","20","26","72","","","","145","","","","102","","","","","","","","","","114","201","249","249"
"other_current_assets","44","594","51","62","433","368","622","224","907","1138","1342","731","746","330","2537","606","457","1160","1211","1508","438","493","469","460","460"
"total_current_assets","934","1354","1064","2364","3872","4206","3212","3914","2684","2992","5555","9305","8971","8005","6498","4021","3772","4791","4437","3851","3260","4249","3891","3157","3157"
"equity_and_other_investments","","","","","","","","","1128","","","","","","","","","","","","12","402","440","666","666"
"ppe_gross","9710","14899","18786","28546","32114","33824","39585","48473","53391","60475","63875","70776","78348","82981","88185","91154","58697","51707","45369","30219","29941","41506","46786","50494","50494"
"accumulated_depreciation","-4800","-6137","-7934","-10212","-12768","-14913","-16429","-20394","-31360","-41708","-44223","-46002","-51032","-54534","-51889","-72086","-38164","-37123","-36907","-21383","-24325","-26263","-28456","-30899","-30899"
"ppe_net","4910","8762","10852","18334","19346","18911","23156","28079","22031","18767","19652","24774","27316","28447","36296","19068","20533","14584","8462","8836","5616","15243","18330","19595","19595"
"intangible_assets","289","2206","3555","5477","5637","","","","","","","","","","533","690","1624","","","","","","","",""
"goodwill","","","","","","5705","5706","6172","5511","5930","6080","6013","6079","5858","6303","5032","2383","841","753","753","753","753","753","753","753"
"other_lt_assets","727","862","754","987","1170","1451","2989","3291","554","1997","1640","1025","960","567","1007","640","363","10025","5914","277","271","378","307","319","319"
"total_assets","6860","13184","16225","27162","30025","30273","35063","41456","31908","29686","32927","41117","43326","42877","50637","29451","28675","30241","19566","13717","9912","21025","23721","24490","24490"
"accounts_payable","457","594","637","1174","1202","1594","1154","1360","1612","1137","1411","1471","1451","1229","1400","906","642","633","530","428","242","500","859","760","760"
"tax_payable","","","","","","","","","","","","","","","","","32","144","","","","","","",""
"current_accrued_liabilities","69","174","233","272","297","298","456","391","","","","","","","","149","130","96","","","","","","",""
"st_debt","","","","338","933","662","2205","1004","180","1432","1811","3811","3189","4066","1432","976","","115","162","","","","251","483","483"
"current_deferred_revenue","","","","56","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","57","","","","","","","","","","","","19","730","","","","","","","","","",""
"other_current_liabilities","103","94","172","231","668","380","830","902","1205","1233","1361","1456","1363","1341","2373","1264","1812","2327","1534","1499","1198","2587","1995","1706","1706"
"total_current_liabilities","629","919","1042","2071","3100","2934","4645","3657","3135","3802","4583","6738","6003","6655","5935","3295","2616","3315","2226","1927","1440","3087","3105","2949","2949"
"lt_debt","2049","6589","7562","7903","6339","5957","5568","6924","5661","5847","3819","5969","8455","7956","9830","12056","10154","6749","4292","4294","4298","6482","6189","5672","5672"
"noncurrent_capital_leases","","","","","","","","","1249","","","","","","","","","","","244","246","252","257","295","295"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","627","2149","2627","4370","5089","5405","5290","6042","3614","1899","2756","4763","4693","4793","6244","888","1063","489","529","341","","287","1463","1838","1838"
"other_lt_liabilities","277","268","341","1762","1823","1115","2118","2827","1189","2568","2516","2217","2897","2974","2287","2223","2120","5584","3333","991","909","1518","1411","1519","1519"
"total_liabilities","3582","9925","11572","16106","16351","15411","17621","19450","14848","14116","13674","19687","22048","22378","24296","18462","15953","16137","10380","7797","6893","11626","12425","12273","12273"
"common_stock","13","13","16","24","48","44","44","44","44","45","43","40","41","41","41","42","52","53","45","38","38","66","65","64","64"
"preferred_stock","2","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","",""
"retained_earnings","-215","-147","-84","1614","3693","6477","9114","12813","10376","7613","11882","16308","15778","15410","16631","1781","-69","702","3650","3148","208","1692","4297","6195","6195"
"aoci","-86","-28","-270","537","845","1414","1444","2405","383","1385","1760","1575","1771","1268","779","230","1054","1166","1027","-119","-127","-132","-116","-124","-124"
"apic","3564","3610","5178","9066","9087","6928","6840","6743","6257","6527","5601","3507","3688","3780","4088","4996","7237","7333","4486","2735","2766","7636","6921","5939","5939"
"treasury_stock","","-190","-188","-186","","-2","-1","","","","-33","","","","","","","","-22","","","","","-13","-13"
"other_equity","","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","","","","4802","3940","4448","4850","","118","134","137","129","156","156"
