"Company: ","DexCom Inc (DXCM:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","110.31","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","43971","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","43510","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","","","","","","2.17","4.627","9.837999999999999","29.693","48.6","76.3","99.90000000000001","160","259.2","402","573.3","718.5","1031.6","1476","1926.7","2448.5","2909.8","3622.3","3801.8"
"cogs","","","","","","10.959","12.736","15.367","26.032","30.2","40.4","53.3","59.9","82.90000000000001","123.6","194.9","226.4","367.7","544.5","646.6","768","1026.7","1333.4","1413.6"
"gross_profit","","","","","","-8.789","-8.109","-5.529","3.661","18.4","35.9","46.6","100.1","176.3","278.4","378.4","492.1","663.9","931.5","1280.1","1680.5","1883.1","2288.9","2388.2"
"sga","1.112","1.685","1.25","1.597","5.66","21.111","22.436","27.669","35.2","40.5","51.1","64","84.2","128.4","198","286.2","349.2","432.8","515.7","620.7","810.5","1007.7","1185.4","1210.1"
"rnd","2.902","5.039","8.935","12.47","26.77","19.42","16.131","19.629","14.294","23.2","29.6","38.3","44.8","69.40000000000001","137.5","156.1","185.4","417.4","273.5","359.9","604.2","484.2","505.8","528.3"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","-0.001","","","","","","","","","","","","","","","","","","","-1.8"
"total_opex","4.014","6.724","10.185","14.067","32.429","40.531","38.567","47.298","49.494","63.7","80.7","102.3","129","197.8","335.5","442.3","534.6","850.2","789.2","980.6","1414.7","1491.9","1691.2","1736.6"
"operating_income","-4.014","-6.724","-10.185","-14.067","-32.429","-49.32","-46.676","-52.827","-45.833","-45.3","-44.8","-55.7","-28.9","-21.5","-57.1","-63.9","-42.5","-186.3","142.3","299.5","265.8","391.2","597.7","651.6"
"net_interest_income_normal","","","","","","","","-6.063","-7.691","-1.4","0.1","-0.1","-0.9","-0.8","-0.4","-0.7","-6.1","-20.3","-33.9","-68.59999999999999","-17.1","5.2","114.7","128.4"
"other_nonoperating_income","4.014","6.724","10.185","14.067","32.429","49.32","46.676","58.89","","-8.5","","","","","","-0.3","","80.09999999999999","-4.2","-5.9","8.1","-5.6","-2","-1.6"
"pretax_income","","","","","","","","","-53.524","-55.2","-44.7","-55.8","-29.8","-22.3","-57.5","-64.90000000000001","-48.6","-126.5","104.2","225","256.8","390.8","710.4","778.4"
"income_tax","","","","","","","","","","","","1.3","","-0.1","-0.1","-0.7","-1.6","-0.6","-3.1","268.6","-39.9","-49.6","-168.9","-139.1"
"net_income_continuing","","","","","","","","","-53.524","-55.2","-44.7","-54.5","-29.8","-22.4","-57.6","-65.59999999999999","-50.2","-127.1","101.1","493.6","216.9","341.2","541.5","639.3"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-3.965","-6.273","-9.914999999999999","-13.946","-30.767","-46.599","-45.878","-58.856","","","","","","3.5527136788005E-15","","1.4210854715202E-14","","","-1.4210854715202E-14","","","","",""
"net_income","-3.965","-6.273","-9.914999999999999","-13.946","-30.767","-46.599","-45.878","-58.856","-53.524","-55.2","-44.7","-54.5","-29.8","-22.4","-57.6","-65.59999999999999","-50.2","-127.1","101.1","493.6","216.9","341.2","541.5","639.3"
"preferred_dividends","","","3.235","3.235","0.122","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-3.965","-6.273","-13.15","-17.181","-30.889","-46.599","-45.878","-58.856","-53.524","-55.2","-44.7","-54.5","-29.8","-22.4","-57.6","-65.59999999999999","-50.2","-127.1","101.1","493.6","216.9","341.2","541.5","639.3"
"eps_basic","-0.59","-0.98","-1.52","-1.88","-0.41","-0.43","-0.41","-0.5","-0.3","-0.24","-0.17","-0.2","-0.11","-0.08","-0.18","-0.2","-0.15","-0.36","0.28","1.31","0.5600000000000001","0.88","1.4","1.66"
"eps_diluted","-0.59","-0.98","-1.52","-1.88","-0.41","-0.43","-0.41","-0.5","-0.3","-0.24","-0.17","-0.2","-0.11","-0.08","-0.18","-0.2","-0.15","-0.36","0.28","1.27","0.53","0.82","1.3","1.55"
"shares_basic","6.908","7.586","8.68","9.144","75.777","108.944","113.252","117.948","177.388","227.6","262.4","274.8","284.4","300.8","319.2","334.4","345.2","352.8","364.4","377.6","386.9","389.4","386","386"
"shares_diluted","6.908","7.586","8.68","9.144","75.777","108.944","113.252","117.948","177.388","227.6","262.4","274.8","284.4","300.8","319.2","334.4","345.2","352.8","369.2","390","428.8","427.5","425.5","425.5"
"cash_and_equiv","13.897","7.777","20.016","27.229","37.247","18.167","23.115","12.7","3.577","4.889","2.6","8.1","43.2","71.8","86.09999999999999","94.5","441.5","1137","446.2","817.6","1052.6","642.3","566.3","566.3"
"st_investments","","","","","13.278","36.341","41.208","14.368","24.439","42.224","79.40000000000001","40.6","11.4","11.8","29.1","29.2","107.1","248.6","1087.1","1890.1","1678.6","1813.9","2157.8","2157.8"
"receivables","","","","","","0.12","0.215","1.118","3.49","6.671","12.5","19.5","26.1","42.4","74.09999999999999","101.7","134.3","226.7","286.3","428.5","516.6","752.2","987.5","987.5"
