"Company: ","Diamondback Energy Inc (FANG:US)","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","",""
"Last Close Price: ","197.88","","","","","","","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","",""
"Market Cap.: ","35317","","","","","","","","","","","","","","",""
"Enterprise Value: ","41050","","","","","","","","","","","","","","",""
"period_end_date","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","12.716","27.253","49.366","74.962","208.002","495.718","446.733","527.107","1205","2164","3951","2806","6747","9566","8339","8655"
"cogs","0.705","14.998","30.499","47.181","101.571","261.315","339.403","306.505","551","1059","2371","2176","2477","2865","3541","3761"
"gross_profit","12.011","12.255","18.867","27.781","106.431","234.403","107.33","220.602","654","1105","1580","630","4270","6701","4798","4894"
"sga","5.063","3.036","3.655","10.376","11.036","21.266","31.968","42.619","48","65","104","88","146","144","150","156"
"rnd","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","",""
"other_opex","5.61","0.038","0.065","0.098","0.201","0.467","0.833","1.064","1","-7","-9","-3","45","35","67","59"
"total_opex","10.673","3.074","3.72","10.474","11.237","21.733","32.801","43.683","49","58","95","85","191","179","217","215"
"operating_income","1.338","9.180999999999999","15.147","17.307","95.194","212.67","74.529","176.919","605","1047","1485","545","4079","6522","4581","4679"
"net_interest_income_normal","0.024","-0.802","-2.517","-3.607","-8.058999999999999","-34.514","-41.51","-40.684","-41","-87","-172","-197","-199","-159","-175","-175"
"other_nonoperating_income","-1.362","-0.148","-13.016","4.682","-0.794","126.8","-782.119","-300.951","-67","153","-951","-6124","-973","-627","-158","-177"
"pretax_income","","8.231","-0.386","18.382","86.34099999999999","304.956","-749.1","-164.716","497","1113","362","-5776","2907","5736","4248","4327"
"income_tax","","","","-54.903","-31.754","-108.985","201.31","-0.192","20","-168","-47","1104","-631","-1174","-912","-928"
"net_income_continuing","","8.231","-0.386","-36.521","54.587","195.971","-547.79","-164.908","517","945","315","-4672","2276","4562","3336","3399"
"net_income_discontinued","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","-2.216","-2.838","-0.126","-35","-99","-75","155","-94","-176","-193","-200"
"other_income_statement_items","-2.706","","","","1.4210854715202E-14","","-1.1368683772162E-13","2.8421709430404E-14","","","","","","","",""
"net_income","-2.706","8.231","-0.386","-36.521","54.587","193.755","-550.628","-165.034","482","846","240","-4517","2182","4386","3143","3199"
"preferred_dividends","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-2.706","8.231","-0.386","-36.521","54.587","193.755","-550.628","-165.034","482","846","240","-4517","2182","4386","3143","3199"
"eps_basic","-0.12","0.36","-0.02","-0.99","1.3","3.67","-8.74","-2.2","4.95","8.09","1.47","-28.59","12.24","24.61","17.34","17.74"
"eps_diluted","-0.12","0.36","-0.02","-0.99","1.29","3.64","-8.74","-2.2","4.94","8.06","1.47","-28.59","12.24","24.61","17.34","17.74"
"shares_basic","22.612","22.612","22.612","36.987","42.015","52.826","63.019","75.077","97.458","104.622","163.493","157.976","176.643","176.539","179.999","179.999"
"shares_diluted","22.612","22.612","22.612","36.987","42.255","53.297","63.019","75.077","97.688","104.929","163.843","157.976","176.643","176.539","179.999","179.999"
"cash_and_equiv","2.43","4.09","6.959","26.358","15.555","30.183","20.115","1666.574","112.446","215","123","104","654","157","582","582"
"st_investments","","","","","","","","","","","","","","","",""
"receivables","1.956","12.188","17.51","14.812","39.273","97.994","78.904","120.122","231.613","392","634","437","671","1006","847","847"
"inventories","0.307","8.433999999999999","6.007","6.195","5.631","2.827","1.728","1.983","9.108000000000001","37","37","33","62","67","63","63"
"other_current_assets","-8.8817841970013E-16","0.325","0.336","2.91","1.509","120.707","7.998","3.4869999999999","5.434","281","75","28","59","162","129","129"
"total_current_assets","4.693","25.037","30.812","50.275","61.968","251.711","108.745","1792.166","358.601","925","869","602","1446","1392","1621","1621"
"equity_and_other_investments","","","10.31","","","","","","","1","479","533","613","566","529","529"
"ppe_gross","192.012","251.687","340.848","700.079","1658.573","3173.951","4011.168","5226.913","9504.989","23146","26838","28528","34164","38603","43103","43103"
"accumulated_depreciation","-96.715","-104.846","-119.699","-145.837","-212.236","-382.144","-1413.543","-1836.056","-2161.372","-2774","-5003","-12314","-13545","-14844","-16429","-16429"
"ppe_net","95.29600000000001","146.842","221.149","554.242","1446.337","2791.807","2597.625","3390.857","7343.617","20372","21835","16214","20619","23759","26674","26674"
"intangible_assets","","","","","","","","","","","","","","","",""
"goodwill","","","","","","","","","","","","","","","",""
"other_lt_assets","0.083999999999989","0.63799999999998","1.307","2.1840000000001","13.309","51.963","44.349","166.657","68.767","298","348","270","220","492","177","177"
"total_assets","100.073","172.517","263.578","606.701","1521.614","3095.481","2750.719","5349.68","7770.985","21596","23531","17619","22898","26209","29001","29001"
"accounts_payable","3.675","13.427","8.77","12.141","2.679","26.23","20.008","47.648","94.59","128","179","71","36","127","261","261"
"tax_payable","","","","","0.447","9.952","0.518","0.776","3.306","49","68","57","87","142","158","158"
"current_accrued_liabilities","2.647","6.084","18.813","35.289","104.374","148.704","89.419","99.759","281.449","640","567","241","396","569","620","620"
"st_debt","7.65","","","0.145","","","","","","","","191","45","10","",""
"current_deferred_revenue","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","39.953","","","","","","","","","",""
"other_current_liabilities","","0.499","14.715","26.92","9.282","30.039","17.376","47.302","170.233","143","330","561","788","737","909","909"
"total_current_liabilities","13.972","20.01","42.298","79.232","121.32","266.729","141.421","209.342","577.428","1019","1263","1236","1438","1716","2108","2108"
"lt_debt","","44.767","85","0.193","460","673.5","487.807","1105.912","1477.347","4464","5371","5624","6642","6238","6641","6641"
"noncurrent_capital_leases","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","62.695","91.764","161.592","","","108.048","1785","1886","783","1338","2069","2449","2449"
"other_lt_liabilities","1.898","2.102","7.243","2.513","2.989","8.4469999999999","12.518","16.134","26.425","161","105","172","235","496","373","373"
"total_liabilities","15.87","66.879","134.541","144.633","676.073","1110.268","641.746","1331.388","2189.248","7429","8625","7815","9653","10519","11571","11571"
"common_stock","","","","","","1","1","1","1","2","2","2","2","2","2","2"
"preferred_stock","","","","","","","","","","","","","","","",""
"retained_earnings","","","","-52.074","2.513","196.268","-354.36","-519.394","-37.133","762","890","-3864","-1998","801","2489","2489"
"aoci","","","","-52.074","","","-354.36","-519.394","","","","","","-7","-8","-8"
"apic","","","","513.772","842.557","1554.174","2229.664","4215.955","5291.011","12936","12357","12656","14084","14213","14142","14142"
"treasury_stock","","","","","","","","","","","","","","","",""
"other_equity","84.202","105.638","129.037","52.444","0.471","-0.43100000000004","354.028","519.295","-0.018000000000939","","","","","","",""
"minority_interest_liability","","","","","","234.202","233.001","320.83","326.877","467","1657","1010","1157","681","805","805"
"total_equity","84.202","105.638","129.037","462.068","845.5410000000001","1985.213","2108.973","4018.292","5581.737","14167","14906","9804","13245","15690","17430","17430"
"total_liabilities_and_equity","100.072","172.517","263.578","606.701","1521.614","3095.481","2750.719","5349.68","7770.985","21596","23531","17619","22898","26209","29001","29001"
"cfo_net_income","-2.706","8.231","-0.386","-36.521","54.587","195.971","-547.79","-164.908","517","945","315","-4672","2276","4562","3336","3399"
"cfo_da","3.216","8.145","16.104","26.273","66.59699999999999","170.005","217.697","178.015","327","623","1454","1311","1275","1344","1746","1812"
"cfo_receivables","-0.956","-8.615","-5.68","1.06","-20.505","-42.141","11.147","-33.736","-97","13","-187","155","-44","-330","212","70"
"cfo_inventory","0.083","-4.897","-0.872","-0.639","0.554","0.915","0.224","-0.255","-2","-14.774","-10","","","","",""
"cfo_prepaid_expenses","","-0.326","-0.202","-0.606","-0.271","-4.601","-1.31","-0.709","-11","25","29","2","20","21","-89",""
"cfo_other_working_capital","-1.044","2.31","8.189","3.735","26.415","30.56","-12.269","18.984","62","-17.226","1","-60","60","110","173","38"
"cfo_change_in_working_capital","-1.917","-11.528","1.435","3.55","6.193","-15.267","-2.208","-15.716","-48","6","-167","97","36","-199","296","108"
"cfo_deferred_tax","","","","54.903","31.563","108.985","-201.545","","-20","168","47","-1042","606","720","378","333"
"cfo_stock_comp","","","0.54","3.48","1.75","9.82","18.53","26.45","26","27","48","37","51","55","54","57"
"cfo_other_noncash_items","4.109","0.344","13.305","-1.993","-4.913","-113.125","931.817","308.239","87","-204","1042","6387","-300","-157","110","120"
"cf_cfo","2.702","5.192","30.998","49.692","155.777","356.389","416.501","332.08","889","1565","2739","2118","3944","6325","5920","5829"
"cfi_ppe_net","-26.63","-55.045","-87.184","-176.441","-939.923","-1447.576","-902.087","-1191.167","-3302","-3476","-3697","-2044","-2274","-3613","-4714","-3939"
"cfi_acquisitions_net","","","6","","","-34.477","-2.702","-2.345","","","-485","-102","-114","","",""
"cfi_investment_net","","-0.191","0.076000000000001","-6.637","-0.289","","","","","-0.008","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","",""
"cfi_other","-5.52","","","","0.07200000000000299","0.05600000000004","9.739000000000001","-116.73","170","-26.992","294","45","849","283","1391","1144"
"cf_cfi","-32.15","-55.236","-81.108","-183.078","-940.14","-1481.997","-895.05","-1310.242","-3132","-3503","-3888","-2101","-1539","-3330","-3323","-2795"
"cff_common_stock_net","","","","237.164","322.68","928.432","650.688","2051.503","370","305","513","-137","-525","-1251","-935","-611"
"cff_pfd_net","","","","","","","","","","","","","","","",""
"cff_debt_net","7.65","37.116","40.233","-85.05","460","213.5","-178","625","370","1913","851","410","-680","-257","377","-345"
"cff_dividend_paid","","-5.579","","","","","","","","-37","-112","-236","-312","-1572","-1444","-1450"
"cff_other","16.199","20.196","12.717","0.67100000000002","-9.1200000000001","-1.6959999999999","-4.207","-51.882","-51","-140","-190","-74","-324","-423","-174","218"
"cf_cff","23.849","51.733","52.95","152.785","773.5599999999999","1140.236","468.481","2624.621","689","2041","1062","-37","-1841","-3503","-2176","-2188"
"ebitda","4.554","17.326","31.251","43.58","161.791","382.675","292.226","354.934","932","1670","2939","1856","5354","7866","6327","6491"
"capex","-26.63","-55.045","-87.184","-176.441","-939.923","-1447.576","-902.087","-1191.167","-3302","-3476","-3697","-2044","-2274","-3613","-4714","-3939"
"fcf","-23.928","-49.853","-56.186","-126.749","-784.146","-1091.187","-485.586","-859.087","-2413","-1911","-958","74","1670","2712","1206","1890"
"book_value","84.202","105.638","129.037","462.068","845.5410000000001","1985.213","2108.973","4018.292","5581.737","14167","14906","9804","13245","15690","17430","18019"
"tangible_book_value","84.202","105.638","129.037","462.068","845.5410000000001","1985.213","2108.973","4018.292","5581.737","14167","14906","9804","13245","15690","17430","18019"
"roa","","0.06","","-0.08","0.05","0.08","-0.19","-0.04","0.07000000000000001","0.06","0.01","-0.22","0.11","0.18","0.11","0.11"
"roe","","0.09","","-0.12","0.08","0.14","-0.27","-0.05","0.1","0.09","0.02","-0.37","0.19","0.3","0.19","0.19"
"roic","","0.07000000000000001","","-0.11","0.06","0.09","-0.19","-0.04","0.08","0.06","0.01","-0.23","0.12","0.2","0.13","0.13"
