"Company: ","Dollar Tree Inc (DLTR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","105.41","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Consumer Staples Distribution & Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","23074","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","25883","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","1688.105","1987.271","2329.188","2799.872","3126.009","3393.924","3969.4","4242.6","4644.9","5231.2","5882.4","6630.5","7394.5","7840.3","8602.200000000001","15498.4","20719.2","22245.5","22823.3","23610.8","25509.3","26321.2","28331.7","30603.8","30912.8"
"cogs","1063.416","1271.314","1477.214","1781.459","2013.47","2221.561","2612.2","2781.5","3052.7","3374.4","3794.8","4252.2","4741.8","5050.5","5568.2","10841.7","14324.5","15223.6","15875.8","16570.1","17721","18583.9","19396.3","21272","21461.6"
"gross_profit","624.689","715.957","851.974","1018.413","1112.539","1172.363","1357.2","1461.1","1592.2","1856.8","2087.6","2378.3","2652.7","2789.8","3034","4656.7","6394.7","7021.9","6947.5","7040.7","7788.3","7737.3","8935.4","9331.799999999999","9451.200000000001"
"sga","375.316","458.329","598.053","724.816","818.9880000000001","889.124","1046.4","1130.8","1226.4","1344","1457.6","1596.2","1732.6","1819.5","1993.8","3607","4689.9","5004.3","5160","5465.5","5900.4","5925.9","6699.1","9144.6","9263.1"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","41.971","53.763","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","417.287","512.092","598.053","724.816","818.9880000000001","889.124","1046.4","1130.8","1226.4","1344","1457.6","1596.2","1732.6","1819.5","1993.8","3607","4689.9","5004.3","5160","5465.5","5900.4","5925.9","6699.1","9144.6","9263.1"
"operating_income","207.402","203.865","253.921","293.597","293.551","283.239","310.8","330.3","365.8","512.8","630","782.1","920.1","970.3","1040.2","1049.7","1704.8","2017.6","1787.5","1575.2","1887.9","1811.4","2236.3","187.2","188.1"
"net_interest_income_normal","","","","","","","","","-6.7","-5.2","-5.6","-2.9","-2.8","-15.4","-80.09999999999999","-599.4","-375.5","-301.8","-370","-162.1","-147.3","-178.9","-125.3","-106.8","-105.3"
"other_nonoperating_income","-7.917","-3.614","-2.462","-4.845","-5.381","-8.021000000000001","-7.9","-10.5","","","5.5","0.3","61.6","-0.6","-5.9","-2.1","0.1","-11.8","-2726.5","-314.4","-0.8","-0.3","-0.4","-1069.1","-1069.1"
"pretax_income","199.485","200.251","251.459","288.752","288.17","275.218","302.9","319.8","359.1","507.6","629.9","779.5","978.9","954.3","954.2","448.2","1329.4","1704","-1309","1098.7","1739.8","1632.2","2110.6","-988.7","-986.3"
"income_tax","-77.476","-77.17","-96.812","-111.169","-107.92","-101.3","-110.9","-118.5","-129.6","-187.1","-232.6","-291.2","-359.6","-357.6","-355","-165.8","-433.2","10.3","-281.8","-271.7","-397.9","-304.3","-495.2","-9.699999999999999","-11"
"net_income_continuing","122.009","123.081","154.647","177.583","180.25","173.918","192","201.3","229.5","320.5","397.3","488.3","619.3","596.7","599.2","282.4","896.2","1714.3","-1590.8","827","1341.9","1327.9","1615.4","-998.4","-997.3"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","-0.38700000000001","","","-2.8421709430404E-14","","","2.8421709430404E-14","","-2.8421709430404E-14","","5.6843418860808E-14","","","1.1368683772162E-13","","","","","","","","","2.2737367544323E-13","1.1368683772162E-13",""
"net_income","121.622","123.081","154.647","177.583","180.25","173.918","192","201.3","229.5","320.5","397.3","488.3","619.3","596.7","599.2","282.4","896.2","1714.3","-1590.8","827","1341.9","1327.9","1615.4","-998.4","-997.3"
"preferred_dividends","1.413","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","120.209","123.081","154.647","177.583","180.25","173.918","192","201.3","229.5","320.5","397.3","488.3","619.3","596.7","599.2","282.4","896.2","1714.3","-1590.8","827","1341.9","1327.9","1615.4","-998.4","-997.3"
"eps_basic","0.39","0.37","0.45","0.52","0.53","0.54","0.62","0.7","0.85","1.2","1.56","2.03","2.7","2.74","2.91","1.27","3.8","7.24","-6.69","3.49","5.68","5.83","7.24","-4.55","-4.59"
"eps_diluted","0.36","0.36","0.45","0.51","0.53","0.53","0.62","0.7","0.84","1.19","1.55","2.01","2.68","2.72","2.9","1.26","3.78","7.21","-6.69","3.47","5.65","5.8","7.21","-4.55","-4.59"
"shares_basic","310.885","335.675","338.335","343.709","339.885","325.005","309.6","287.7","270.9","268.2","254.1","240.6","229.3","218.1","206","222.5","235.7","236.8","237.9","237.2","236.4","227.9","223.2","219.5","219.5"
"shares_diluted","333.914","338.755","343.66","345.941","341.958","326.277","311.4","289.2","272.4","270","256","242.4","230.7","219.1","207","223.5","236.8","237.7","237.9","238.3","237.3","229","224.1","219.5","219.5"
"cash_and_equiv","181.553","236.653","292.192","84.19","106.532","65.8","85","40.6","364.4","571.6","311.2","288.3","399.9","267.7","864.1","736.1","866.4","1097.8","422.1","539.2","1416.7","984.9","642.8","684.9","684.9"
"st_investments","","","43.78","84.495","211.275","274","","40.5","","27.8","174.8","","","","","4","4","","","","","","","",""
"receivables","","","","","","","","","","","","","","","11","154.7","137.9","90.40000000000001","100.9","","","","","",""
"inventories","258.687","296.473","357.665","525.643","615.4829999999999","576.5","605","641.2","675.8","679.8","803.1","867.4","971.7","1035.3","1035.7","2885.5","2865.8","3169.3","3536","3522","3427","4367.3","5449.3","5112.8","5112.8"
"other_current_assets","37.661","27.653","22.503","28.241","36.597","27.4","277.9","66.5","33","26.4","44.2","53.7","101.9","75.5","83.8","155.6","63.9","218.8","234.3","208.2","207.1","257","275","335","335"
