"Company: ","Dominion Energy Inc (D:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","49.19","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Multi-Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","41826","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","76625","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","9246","10558","10218","12078","13991","17809","16297","15674","15895","14798","14927","13765","12835","13120","12436","11683","11737","12586","11199","14401","14172","11419","13938","14393","14770"
"cogs","3599","4090","3456","4917","6665","9115","6654","6716","7600","6896","9984","9338","8300","8033","7881","6201","6170","6208","6199","8323","6870","6007","7561","7435","7822"
"gross_profit","5647","6468","6762","7161","7326","8694","9643","8958","8295","7902","4943","4427","4535","5087","4555","5482","5567","6378","5000","6078","7302","5412","6377","6958","6948"
"sga","","","","","","","","","","","","","","","","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4132","4683","3877","4600","4590","6307","6325","7026","4811","5333","1559","1547","1677","1771","1834","1946","2155","2573","2240","3166","3203","2807","3117","3264","3439"
"total_opex","4132","4683","3877","4600","4590","6307","6325","7026","4811","5333","1559","1547","1677","1771","1834","1946","2155","2573","2240","3166","3203","2807","3117","3264","3439"
"operating_income","1515","1785","2885","2561","2736","2387","3318","1932","3484","2569","3384","2880","2858","3316","2721","3536","3412","3805","2760","2912","4099","2605","3260","3694","3509"
"net_interest_income_normal","","","","","","","","","-829","-889","-826","-796","-816","-877","-1193","-904","-1010","-1205","-1279","-1486","-1377","-1255","-1002","-1674","-1804"
"other_nonoperating_income","-917","-871","-842","-1015","-772","-781","-861","2556","-42","194","2637","178","223","265","250","196","465","490","1138","-557","-1311","530","-1718","712","1031"
"pretax_income","598","914","2043","1546","1964","1606","2457","4488","2613","1874","5195","2262","2265","2704","1778","2828","2867","3090","2619","869","1411","1880","540","2732","2736"
"income_tax","-183","-370","-681","-597","-700","-573","-927","-1783","-953","-596","-2112","-778","-811","-892","-452","-905","-655","30","-522","-209","-83","181","-113","-575","-580"
"net_income_continuing","415","544","1362","949","1264","1033","1530","2705","1660","1278","3083","1484","1454","1812","1326","1923","2212","3120","2097","660","1328","2061","427","2157","2156"
"net_income_discontinued","","","","-642","-15","6","-150","-8","190","26","-258","-58","-1125","-92","","","","","452","716","-1878","1358","894","-163","-485"
"income_allocated_to_minority_interest","-68","-98","-119","-126","-16","","-6","-6","-16","-17","-17","-18","-27","-23","-16","-24","-89","-121","-102","-18","149","-20","","",""
"other_income_statement_items","89","98","119","137","16","-6","6","-152","","","","","","","","","","","","","","","","",""
"net_income","436","544","1362","318","1249","1033","1380","2539","1834","1287","2808","1408","302","1697","1310","1899","2123","2999","2447","1358","-401","3399","1321","1994","1671"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","17","65","68","93","81","20"
