"Company: ","DoorDash Inc. Class A Common Stock (DASH:US)","","","","","",""
"Exchange: ","NASDAQ","","","","","",""
"Last Close Price: ","112.08","","","","","",""
"Industry: ","Hotels, Restaurants & Leisure","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","45266","","","","","",""
"Enterprise Value: ","40776","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","291","885","2886","4888","6583","8635","9113"
"cogs","228","523","1368","2338","3588","4589","4850"
"gross_profit","63","362","1518","2550","2995","4046","4263"
"sga","213","839","1513","2416","2829","3111","3153"
"rnd","51","107","321","430","829","1003","1051"
"special_charges","","","","","","",""
"other_opex","9","32","120","156","369","509","528"
"total_opex","273","978","1954","3002","4027","4623","4732"
"operating_income","-210","-616","-436","-452","-1032","-577","-469"
"net_interest_income_normal","6","18","-25","-11","30","152","170"
"other_nonoperating_income","","-68","3","","-397","-109","-108"
"pretax_income","-204","-666","-458","-463","-1399","-534","-407"
"income_tax","","-1","-3","-5","31","-31","-21"
"net_income_continuing","-204","-667","-461","-468","-1368","-565","-428"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","","","","","3","7","8"
"other_income_statement_items","","","","","","",""
"net_income","-204","-667","-461","-468","-1365","-558","-420"
"preferred_dividends","","1","","","","",""
"net_income_available_to_shareholders","-204","-668","-461","-468","-1365","-558","-420"
"eps_basic","-0.73","-2.36","-1.48","-1.39","-3.68","-1.42","-1.08"
"eps_diluted","-0.73","-2.36","-1.48","-1.39","-3.68","-1.42","-1.08"
"shares_basic","283.145","283.145","311.95","336.847","371.413","392.948","392.948"
"shares_diluted","283.145","283.145","311.95","336.847","371.413","392.948","392.948"
"cash_and_equiv","215","257","4345","2504","1977","2656","2656"
"st_investments","255","508","514","1253","1544","1422","1422"
"receivables","19","58","291","349","400","533","533"
"inventories","","","","","","",""
"other_current_assets","80","175","367","459","799","986","986"
"total_current_assets","569","998","5517","4565","4720","5597","5597"
"equity_and_other_investments","86","","","1059","521","629","629"
"ppe_gross","35","306","517","985","1541","1956","1956"
"accumulated_depreciation","-14","-39","-104","-247","-468","-808","-808"
"ppe_net","21","267","413","738","1073","1148","1148"
"intangible_assets","","103","74","61","765","659","659"
"goodwill","","306","316","316","2370","2432","2432"
"other_lt_assets","7","58","33","70","340","374","374"
"total_assets","683","1732","6353","6809","9789","10839","10839"
"accounts_payable","35","20","80","161","157","216","216"
"tax_payable","16","51","149","167","194","245","245"
"current_accrued_liabilities","24","64","201","319","344","443","443"
"st_debt","","","364","","","",""
"current_deferred_revenue","8","27","108","183","251","308","308"
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","27","203","485","904","1543","2130","2130"
"total_current_liabilities","110","382","1402","1760","2544","3410","3410"
"lt_debt","","","","","","",""
"noncurrent_capital_leases","","167","238","373","456","454","454"
"pension_liabilities","","","","","","",""
"noncurrent_deferred_revenue","","","","","","",""
"other_lt_liabilities","24","1","13","9","21","162","162"
"total_liabilities","134","550","1653","2142","3021","4026","4026"
"common_stock","","","","","","",""
"preferred_stock","985","2264","","","","",""
"retained_earnings","-485","-1152","-1613","-2081","-3846","-5154","-5154"
"aoci","-1","","","-4","-33","73","73"
"apic","50","70","6313","6752","10633","11887","11887"
"treasury_stock","","","","","","",""
"other_equity","","","","","","",""
"minority_interest_liability","","","","","14","7","7"
"total_equity","549","1182","4700","4667","6768","6813","6813"
"total_liabilities_and_equity","683","1732","6353","6809","9789","10839","10839"
"cfo_net_income","-204","-667","-461","-468","-1368","-565","-428"
"cfo_da","9","32","120","156","369","509","528"
"cfo_receivables","-17","-40","-248","-94","-33","-141","-176"
"cfo_inventory","","","","","","",""
"cfo_prepaid_expenses","-30","-88","-96","85","-165","-105","-52"
"cfo_other_working_capital","59","188","536","444","346","776","727"
"cfo_change_in_working_capital","12","60","192","435","148","530","499"
"cfo_deferred_tax","","","","","","",""
"cfo_stock_comp","24","18","322","486","889","1088","1110"
"cfo_other_noncash_items","","90","79","83","329","111","120"
"cf_cfo","-159","-467","252","692","367","1673","1829"
"cfi_ppe_net","-13","-78","-106","-129","-176","-123","-101"
"cfi_acquisitions_net","","-315","-28","","71","",""
"cfi_investment_net","-341","-162","-6","-1809","-24","-16","-85"
"cfi_intangibles_net","","","","","","",""
"cfi_other","-3","-15","-52","-109","-171","-203","-218"
"cf_cfi","-357","-570","-192","-2047","-300","-342","-404"
"cff_common_stock_net","-60","","3289","","-400","-750","-358"
"cff_pfd_net","725","1111","382","","","",""
"cff_debt_net","","","333","-333","","",""
"cff_dividend_paid","","","","","","",""
"cff_other","1","-2","-8","-150","25","-2","3"
"cf_cff","666","1109","3996","-483","-375","-752","-355"
"ebitda","-201","-584","-316","-296","-663","-68","59"
"capex","-13","-78","-106","-129","-176","-123","-101"
"fcf","-172","-545","146","563","191","1550","1728"
"book_value","-436","-1082","4700","4667","6768","6813","7010"
"tangible_book_value","-436","-1491","4310","4290","3633","3722","4003"
"roa","","-0.55","-0.11","-0.07000000000000001","-0.16","-0.05","-0.04"
"roe","","-0.77","-0.16","-0.1","-0.24","-0.08","-0.06"
"roic","","-0.7","-0.14","-0.09","-0.22","-0.08","-0.06"
"roce","","-0.64","-0.13","-0.09","-0.17","-0.08","-0.06"
"rotce","","-0.8100000000000001","-0.15","-0.09","-0.24","-0.14","-0.11"
"gross_margin","0.22","0.41","0.53","0.52","0.45","0.47","0.47"
"ebitda_margin","-0.6899999999999999","-0.66","-0.11","-0.06","-0.1","-0.01","0.01"
"operating_margin","-0.72","-0.7","-0.15","-0.09","-0.16","-0.07000000000000001","-0.05"
"pretax_margin","-0.7","-0.75","-0.16","-0.09","-0.21","-0.06","-0.04"
"net_income_margin","-0.7","-0.75","-0.16","-0.1","-0.21","-0.06","-0.05"
"fcf_margin","-0.59","-0.62","0.05","0.12","0.03","0.18","0.19"
"assets_to_equity","1.24","1.47","1.35","1.46","1.45","1.59","1.63"
"equity_to_assets","0.8","0.68","0.74","0.6899999999999999","0.6899999999999999","0.63","0.61"
"debt_to_equity","","0.14","0.13","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001"
"debt_to_assets","","0.1","0.09","0.05","0.05","0.04","0.04"
"revenue_per_share","1.03","3.13","9.25","14.51","17.72","21.97","22.95"
