"Company: ","Dow Inc (DOW:US)","","","","","","","",""
"Exchange: ","NYSE","","","","","","","",""
"Last Close Price: ","53.16","","","","","","","",""
"Industry: ","Chemicals","","","","","","","",""
"Currency: ","USD","","","","","","","",""
"Country: ","US","","","","","","","",""
"Market Cap.: ","38409","","","","","","","",""
"Enterprise Value: ","50856","","","","","","","",""
"period_end_date","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","48158","43730","49604","42951","38542","54968","56902","44622","43536"
"cogs","37668","36350","41074","36657","33346","44191","48338","39742","38601"
"gross_profit","10490","7380","8530","6294","5196","10777","8564","4880","4935"
"sga","4066","1795","1782","1590","1471","1645","1675","1627","1641"
"rnd","1593","803","800","765","768","857","851","829","819"
"special_charges","","","","","","","","",""
"other_opex","544","400","469","419","401","388","336","324","324"
"total_opex","6203","2998","3051","2774","2640","2890","2862","2780","2784"
"operating_income","4287","4382","5479","3520","2556","7887","5702","2100","2151"
"net_interest_income_normal","-751","-848","-981","-852","-789","-676","-489","-517","-542"
"other_nonoperating_income","877","-3297","-749","-3915","304","934","877","-927","-384"
"pretax_income","4413","237","3749","-1247","2071","8145","6090","656","1225"
"income_tax","-9","-1524","-809","-470","-777","-1740","-1450","4","46"
"net_income_continuing","4404","-1287","2940","-1717","1294","6405","4640","660","1271"
"net_income_discontinued","","1882","1835","445","","","","",""
"income_allocated_to_minority_interest","-86","-130","-134","-87","-69","-94","-58","-71","-73"
"other_income_statement_items","","","","","","","","",""
"net_income","4318","465","4641","-1359","1225","6311","4582","589","1198"
"preferred_dividends","340","","","","","","","",""
"net_income_available_to_shareholders","3978","465","4641","-1359","1225","6311","4582","589","1198"
"eps_basic","5.3","0.6","6.19","-1.84","1.64","8.44","6.32","0.82","1.69"
"eps_diluted","5.3","0.6","6.19","-1.84","1.64","8.380000000000001","6.28","0.82","1.68"
"shares_basic","750","750","750","742.5","740.5","743.6","721","705.7","705.7"
"shares_diluted","750","750","750","742.5","742.3","749","725.6","709","709"
"cash_and_equiv","","6188","2724","2367","5104","2988","3886","2987","2987"
"st_investments","","4","100","","","","","",""
"receivables","","12049","9035","7555","7390","9554","7755","6614","6614"
"inventories","","8376","6899","6214","5701","7372","6988","6076","6076"
"other_current_assets","","627","20612","679","889","934","1848","1937","1937"
"total_current_assets","","27244","39370","16815","19084","20848","20477","17614","17614"
"equity_and_other_investments","","6252","5966","3992","4102","5238","4382","4007","4007"
"ppe_gross","","60426","53984","56982","58181","59016","59282","61523","61523"
"accumulated_depreciation","","-36614","-32566","-33914","-36086","-37049","-37613","-39137","-39137"
"ppe_net","","23812","21418","23068","22095","21967","21669","22386","22386"
"intangible_assets","","5549","4225","3759","3352","2881","2442","2072","2072"
"goodwill","","13938","9846","8796","8908","8764","8644","8641","8641"
