"Company: ","Dupont De Nemours Inc (DD:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","80.45999999999999","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","33899","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","39657","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","23008","27805","27609","32632","40161","46307","49124","53513","57361","44875","53674","59985","56786","57080","58167","48778","48158","11672","22594","15436","14338","12566","13017","12068","11981"
"cogs","17072","23652","23780","28177","34244","38276","41526","46400","51913","39148","45780","51029","47792","47594","47464","37745","37668","9558","15302","10026","9508","7971","8402","7835","7770"
"gross_profit","5936","4153","3829","4455","5917","8031","7598","7113","5448","5727","7894","8956","8994","9486","10703","11033","10490","2114","7292","5410","4830","4595","4615","4233","4211"
"sga","1582","1735","1598","1392","1436","1545","1663","1864","1966","2487","2609","2788","2861","3024","3106","2948","2953","1615","3028","2057","1701","1572","1439","1417","1454"
"rnd","892","1072","1066","981","1022","1073","1164","1305","1310","1492","1660","1646","1708","1747","1647","1598","1593","657","1070","689","625","557","536","508","506"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1315","178","65","63","81","55","50","72","92","399","509","496","478","461","436","419","544","505","1044","701","696","566","590","600","602"
"total_opex","3789","2985","2729","2436","2539","2673","2877","3241","3368","4378","4778","4930","5047","5232","5189","4965","5090","2777","5142","3447","3022","2695","2565","2525","2562"
"operating_income","2147","1168","1100","2019","3378","5358","4721","3872","2080","1349","3116","4026","3947","4254","5514","6068","5400","-663","2150","1963","1808","1900","2050","1708","1649"
"net_interest_income_normal","","","","","","","","-454","-562","-1532","-1436","-1301","-1228","-1060","-932","-875","-751","6","-16","-611","-660","-513","-442","-241","-268"
"other_nonoperating_income","189","-1781","-1722","-268","418","1041","251","811","-241","652","1122","876","-1054","3610","683","4737","-236","-868","-1534","-1478","-3394","57","-160","-963","-966"
"pretax_income","2336","-613","-622","1751","3796","6399","4972","4229","1277","469","2802","3601","1665","6804","5265","9930","4413","-1525","600","-126","-2246","1444","1448","504","415"
"income_tax","-823","228","280","82","-877","-1782","-1155","-1244","-651","97","-481","-817","-565","-1988","-1426","-2147","-9","1758","-195","2","-160","-237","-387","29","28"
"net_income_continuing","1513","-385","-342","1833","2919","4617","3817","2985","626","566","2321","2784","1100","4816","3839","7783","4404","233","405","-124","-2406","1207","1061","533","443"
"net_income_discontinued","","","","","","","","","28","110","","","","","","","","1058","3595","724","-517","5308","4856","-71","-49"
"income_allocated_to_minority_interest","-65","-32","-63","-94","-122","-82","-93","-98","-75","-28","-11","-42","82","-29","-67","-98","-86","-132","-155","-102","-28","-48","-49","-39","-39"
"other_income_statement_items","65","32","67","-9","","-20","","","","","","","","","","","","","","","","","","",""
"net_income","1513","-385","-338","1730","2797","4515","3724","2887","579","648","2310","2742","1182","4787","3772","7685","4318","1159","3845","498","-2951","6467","5868","423","355"
"preferred_dividends","1","","","","","","","","","312","340","340","340","340","340","340","340","","","","","","","",""
"net_income_available_to_shareholders","1512","-385","-338","1730","2797","4515","3724","2887","579","336","1970","2402","842","4447","3432","7345","3978","1159","3845","498","-2951","6467","5868","423","355"
