"Company: ","EMCOR Group Inc (EME:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","378.53","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Construction & Engineering","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17921","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","17080","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3460.204","3419.854","3968.051","4500.401","4698.126","4592.99","4901.783","5927.152","6785.242","5547.942","4851.953","5613.459","6195.494","6333.527","6424.965","6718.726","7551.524","7686.999","8130.631","9174.611000000001","8797.061","9903.58","11076.12","12582.873","13124.717"
"cogs","3086.286","3028.031","3485.417","4022.89","4255.067","4107.857","4349.383","5224.33","5898.591","4723.042","4158.43","4879.51","5391.515","5511.881","5517.719","5774.247","6513.662","6539.987","6925.178","7818.743","7401.679","8401.843000000001","9472.526","10493.534","10882.131"
"gross_profit","373.918","391.823","482.634","477.511","443.059","485.133","552.4","702.822","886.651","824.9","693.523","733.949","803.979","821.646","907.246","944.479","1037.862","1147.012","1205.453","1355.868","1395.382","1501.737","1603.594","2089.339","2242.586"
"sga","278.892","303.141","367.095","431.454","395.4","408.713","439.006","502.654","582.317","542.949","472.135","518.121","543.5309999999999","580.649","626.478","656.573","727.067","758.7140000000001","799.157","893.453","903.5839999999999","970.937","1038.717","1211.233","1259.437"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","16.101","","","","-2.839","","","100","","","","","","","","","","","","","","","","",""
