"Company: ","Eastman Chemical Company (EMN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","97.95","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","11836","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","15677","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","5292","5390","5320","5800","6580","6460","6779","6830","6726","4396","5842","7178","8102","9350","9527","9648","9008","9549","10151","9273","8473","10476","10580","9210","9108"
"cogs","4226","4497","4541","4990","5602","5100","5514","5638","5600","3364","4383","5609","6340","6574","7306","7068","6651","7186","7672","7039","6498","7976","8443","7149","7044"
"gross_profit","1066","893","779","810","978","1360","1265","1192","1126","1032","1459","1569","1762","2776","2221","2580","2357","2363","2479","2234","1975","2500","2137","2061","2064"
"sga","346","407","407","414","450","439","423","420","419","367","434","481","644","645","755","771","707","729","721","691","654","383","625","768","760"
"rnd","149","160","159","173","154","150","155","156","158","124","152","159","198","193","227","242","223","227","235","234","226","254","264","239","236"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","45","","1","-7","31","33","122","-16","","","","","","","","","","","","","","","",""
"total_opex","495","612","566","588","597","620","611","698","561","491","586","640","842","838","982","1013","930","956","956","925","880","637","889","1007","996"
"operating_income","571","281","213","222","381","740","654","494","565","541","873","929","920","1938","1239","1567","1427","1407","1523","1309","1095","1863","1248","1054","1068"
"net_interest_income_normal","","","","","","","","","-70","-78","-99","-76","-143","-180","-187","-263","-255","-241","-235","-218","-210","-198","-182","-215","-212"
"other_nonoperating_income","-119","-578","-129","-603","-317","23","-60","-24","-66","-209","-154","28","-128","-79","-62","-175","-123","123","22","-189","-355","-583","-89","248","251"
"pretax_income","452","-297","84","-381","64","763","594","470","429","254","620","881","649","1679","990","1129","1049","1289","1310","902","530","1082","977","1087","1107"
"income_tax","-149","118","-5","108","106","-222","-167","-149","-101","-100","-202","-274","-206","-507","-235","-275","-190","99","-226","-140","-41","-215","-181","-191","-180"
"net_income_continuing","303","-179","79","-273","170","541","427","321","328","154","418","607","443","1172","755","854","859","1388","1084","762","489","867","796","896","927"
"net_income_discontinued","","","","","","16","-18","-21","18","-18","9","40","1","","2","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","-2","-1","-7","-7","-6","-6","-5","-4","-4","-3","-11","-10","-3","-2","-2"
"other_income_statement_items","","4","-18","3","","","","","","","","","","","","","","","","","","","","",""
"net_income","303","-175","61","-270","170","557","409","300","346","136","425","646","437","1165","751","848","854","1384","1080","759","478","857","793","894","925"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","303","-175","61","-270","170","557","409","300","346","136","425","646","437","1165","751","848","854","1384","1080","759","478","857","793","894","925"
"eps_basic","1.98","-1.14","0.4","-1.75","1.1","3.45","2.49","1.82","2.3","0.9399999999999999","2.95","4.63","3","7.57","5.03","5.71","5.8","9.56","7.65","5.52","3.53","6.35","6.42","7.54","7.81"
"eps_diluted","1.97","-1.14","0.4","-1.75","1.09","3.41","2.46","1.79","2.28","0.93","2.88","4.52","2.93","7.44","4.97","5.66","5.75","9.470000000000001","7.56","5.48","3.5","6.25","6.35","7.49","7.76"
"shares_basic","153.418","153.509","154.43","154.286","155.2","161.4","164.257","165.289","150.4","144.681","144.2","139.7","145.5","154","149.5","148.6","147.3","144.8","141.2","137.4","135.5","134.9","123.5","118.6","118.6"
"shares_diluted","153.807","153.509","154.43","154.286","156.6","163.6","166.599","167.598","152","147.027","147.8","143.1","149.1","156.5","151.1","149.8","148.4","146.1","142.9","138.5","136.5","137.1","124.9","119.4","119.4"
"cash_and_equiv","101","66","77","558","325","524","939","888","387","793","516","577","249","237","214","293","181","191","226","204","564","459","493","548","548"
"st_investments","","","","","","","","","","","","200","","","","","","","","","","","","",""
"receivables","737","662","674","701","779","656","754","658","354","379","676","704","997","1088","1200","1038","1211","1386","1483","1375","1515","1580","1277","1154","1154"
"inventories","580","659","713","698","582","671","682","539","637","531","619","779","1260","1264","1509","1479","1404","1509","1583","1662","1379","1504","1894","1683","1683"
"other_current_assets","105","77","83","53","82","73","47","208","45","32","236","42","193","251","250","68","70","57","73","80","83","1103","114","96","96"
"total_current_assets","1523","1464","1547","2010","1768","1924","2422","2293","1423","1735","2047","2302","2699","2840","3173","2878","2866","3143","3365","3321","3541","4646","3778","3481","3481"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","9039","9302","9660","9861","9628","9597","8844","8152","8527","8525","8282","8383","9681","9958","11026","11234","11699","12370","12731","13081","13531","12680","12942","13574","13574"
"accumulated_depreciation","-5114","-5675","-5907","-6442","-6436","-6435","-5775","-5306","-5329","-5415","-5063","-5276","-5500","-5668","-5939","-6104","-6423","-6763","-7131","-7510","-7982","-7684","-7782","-8026","-8026"
"ppe_net","3925","3627","3753","3419","3192","3162","3069","2846","3198","3110","3219","3107","4181","4290","5087","5130","5276","5607","5600","5571","5549","4996","5160","5548","5548"
"intangible_assets","621","614","573","350","314","","","","","","","101","1849","1781","2905","2650","2479","2373","2185","2011","1792","1362","1210","1138","1138"
"goodwill","","","","","","312","314","316","325","315","375","406","2644","2637","4486","4518","4461","4527","4467","4431","4465","3641","3664","3646","3646"
"other_lt_assets","481","387","414","465","565","375","327","554","335","355","345","268","337","297","421","404","375","349","378","674","736","874","855","820","820"
"total_assets","6550","6092","6287","6244","5839","5773","6132","6009","5281","5515","5986","6184","11710","11845","16072","15580","15457","15999","15995","16008","16083","15519","14667","14633","14633"
"accounts_payable","526","906","1244","973","1098","534","581","578","","","","529","723","762","827","699","704","842","914","890","799","1228","1319","1170","1170"
"tax_payable","","","","","","","","","","","","40","76","","","80","106","111","94","89","178","138","157","192","192"
"current_accrued_liabilities","296","","","","","203","185","174","","","","172","230","205","191","227","196","199","197","176","228","311","164","222","222"
"st_debt","106","54","3","504","1","14","14","78","13","","6","153","4","","301","431","283","393","243","171","349","747","1126","541","541"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","330","","","","","300","279","292","819","800","1064","220","331","503","703","619","506","437","403","463","484","547","485","451","451"
"total_current_liabilities","1258","960","1247","1477","1099","1051","1059","1122","832","800","1070","1114","1364","1470","2022","2056","1795","1982","1851","1789","2038","2971","3251","2576","2576"
"lt_debt","1914","2143","2054","2089","2061","1621","1589","1535","1442","1604","1598","1445","4779","4254","7248","6577","6311","6147","5925","5611","5269","4412","4025","4305","4305"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","1246","1221","1274","1411","1856","1297","1498","1297","1018","963","925","1016","1143","811","628","667","667"
"noncurrent_deferred_revenue","607","452","464","316","210","317","269","300","106","258","284","210","182","496","946","928","1206","893","884","915","848","810","671","601","601"
"other_lt_liabilities","959","1155","1251","1319","1285","1172","1186","970","102","119","133","103","501","453","768","701","519","534","532","645","677","727","856","954","954"
"total_liabilities","4738","4710","5016","5201","4655","4161","4103","3927","3728","4002","4359","4283","8682","7970","12482","11559","10849","10519","10117","9976","9975","9731","9431","9103","9103"
"common_stock","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","2266","1956","1882","1476","1509","1923","2186","2349","2563","2571","2880","2760","3038","4012","4545","5146","5721","6802","7573","7965","8080","8557","8973","9490","9490"
"aoci","-117","-251","-295","-121","-103","-200","-172","-28","-335","-385","-432","138","123","171","-277","-390","-281","-209","-245","-214","-273","-182","-205","-319","-319"
"apic","100","118","119","122","210","320","448","573","638","661","793","900","1709","1778","1817","1863","1915","1983","2048","2105","2174","2187","2315","2368","2368"
"treasury_stock","-438","-442","-436","-435","-433","-432","-432","-813","-1314","-1335","-1615","-1930","-1929","-2167","-2577","-2680","-2825","-3175","-3575","-3900","-3960","-4860","-5932","-6083","-6083"
"other_equity","","","","","","","-2","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","","","","","","31","85","79","80","80","76","77","75","74","85","84","83","72","72"
"total_equity","1812","1382","1271","1043","1184","1612","2029","2082","1553","1513","1627","1901","3028","3875","3590","4021","4608","5480","5878","6032","6108","5788","5236","5530","5530"
"total_liabilities_and_equity","6550","6092","6287","6244","5839","5773","6132","6009","5281","5515","5986","6184","11710","11845","16072","15580","15457","15999","15995","16008","16083","15519","14667","14633","14633"
"cfo_net_income","303","-175","61","-270","170","557","409","300","346","136","427","647","444","1172","757","854","859","1388","1084","762","489","867","796","896","927"
"cfo_da","418","435","397","367","322","304","308","327","267","274","280","273","360","433","450","571","580","587","604","611","574","538","477","498","484"
"cfo_receivables","-1","79","70","-46","-133","60","-82","-28","261","2","-358","-73","48","-38","19","114","-29","-53","16","170","-31","-281","93","126","112"
"cfo_inventory","-43","-8","-41","41","18","-110","-99","66","-95","100","-160","-156","38","-6","-61","-26","54","-71","-224","-80","291","-389","-430","201","145"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","131","-234","192","-172","135","-42","78","-54","-42","-118","167","-33","-32","-173","-33","-72","-118","267","135","-116","-95","643","350","-36","75"
"cfo_change_in_working_capital","87","-163","221","-177","20","-92","-103","-16","124","-16","-351","-262","54","-217","-75","16","-93","143","-73","-26","165","-27","13","291","332"
"cfo_deferred_tax","67","-78","95","-140","-136","115","7","-9","-71","185","47","-22","48","331","99","107","177","-394","-51","23","-111","-38","-136","-102","-112"
"cfo_stock_comp","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_noncash_items","-29","378","27","464","118","-115","-12","130","-13","179","172","-11","222","-422","202","76","-138","-67","-21","134","338","279","-175","-209","-271"
"cf_cfo","846","397","801","244","494","769","609","732","653","758","575","625","1128","1297","1433","1624","1385","1657","1543","1504","1455","1619","975","1374","1360"
"cfi_ppe_net","-165","-230","-418","-159","-121","-293","-83","-327","-634","-310","-243","-457","-465","-483","-593","-652","-626","-649","-528","-425","-383","-555","-611","-828","-839"
"cfi_acquisitions_net","","","","","","","","","-38","-68","-190","-156","-2669","","-3509","-41","-26","10","-3","-48","-1","553","997","379","436"
"cfi_investment_net","12","","","","","417","","","337","30","","-200","200","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","-10","-8","-7","-9","-5","-5","-3","","","","","-6","-13","-23","-13","","-2"
"cfi_other","-312","-293","-49","-1","-27","-142","-11","-8","-31","-13","-2","680","-23","31","14","","-3","-4","68","-1","3","-4","19","17","46"
"cf_cfi","-465","-523","-467","-160","-148","-18","-94","-335","-376","-369","-442","-142","-2962","-457","-4091","-693","-655","-643","-463","-480","-394","-29","392","-432","-359"
"cff_common_stock_net","-53","16","-1","","77","100","93","-279","-462","-21","-280","-316","","-238","-410","-103","-145","-350","-400","-325","-60","-1000","-1002","-150","-50"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cff_debt_net","-278","210","-187","529","-519","-505","-50","-22","-182","150","-122","-37","1644","-530","3250","-505","-428","-369","-316","-370","-307","-350","76","-338","-564"
"cff_dividend_paid","-135","-135","-135","-136","-137","-142","-144","-147","-135","-128","-127","-136","-192","-140","-210","-238","-272","-296","-318","-343","-358","-375","-381","-376","-377"
"cff_other","","","","4","","","","","","17","118","66","52","49","9","2","7","9","-6","-5","21","35","-14","-24","-106"
"cf_cff","-466","91","-323","397","-579","-547","-101","-448","-779","18","-411","-423","1504","-859","2639","-844","-838","-1006","-1040","-1043","-704","-1690","-1321","-888","-1097"
"ebitda","989","716","610","589","703","1044","962","821","832","815","1153","1202","1280","2371","1689","2138","2007","1994","2127","1920","1669","2401","1725","1552","1552"
"capex","-165","-230","-418","-159","-121","-293","-83","-327","-634","-310","-243","-457","-465","-483","-593","-652","-626","-649","-528","-425","-383","-555","-611","-828","-839"
"fcf","681","167","383","85","373","476","526","405","19","448","332","168","663","814","840","972","759","1008","1015","1079","1072","1064","364","546","521"
"book_value","1812","1382","1271","1043","1184","1612","2029","2082","1553","1513","1627","1901","3028","3875","3590","4021","4608","5480","5878","6032","6108","5788","5236","5530","5608"
"tangible_book_value","1191","768","698","693","870","1300","1715","1766","1228","1198","1252","1394","-1465","-543","-3801","-3147","-2332","-1420","-774","-410","-149","785","362","746","854"
"roa","0.05","-0.03","0.01","-0.04","0.03","0.1","0.07000000000000001","0.05","0.06","0.03","0.07000000000000001","0.11","0.05","0.1","0.05","0.05","0.06","0.09","0.07000000000000001","0.05","0.03","0.05","0.05","0.06","0.06"
"roe","0.17","-0.11","0.05","-0.23","0.15","0.4","0.22","0.15","0.19","0.09","0.27","0.37","0.18","0.34","0.2","0.22","0.2","0.27","0.19","0.13","0.08","0.14","0.14","0.17","0.17"
"roic","0.08","-0.05","0.02","-0.08","0.05","0.17","0.12","0.08","0.1","0.04","0.13","0.19","0.08","0.14","0.08","0.08","0.08","0.12","0.09","0.06","0.04","0.08","0.07000000000000001","0.09","0.09"
"roce","0.11","0.05","0.04","0.04","0.08","0.16","0.13","0.1","0.12","0.12","0.18","0.18","0.12","0.19","0.1","0.11","0.1","0.1","0.11","0.09","0.08","0.13","0.1","0.08","0.08"
"rotce","0.12","0.06","0.05","0.05","0.08","0.17","0.14","0.1","0.13","0.13","0.2","0.2","0.17","0.33","0.19","0.23","0.21","0.19","0.2","0.17","0.14","0.23","0.16","0.14","0.13"
"gross_margin","0.2","0.17","0.15","0.14","0.15","0.21","0.19","0.17","0.17","0.23","0.25","0.22","0.22","0.3","0.23","0.27","0.26","0.25","0.24","0.24","0.23","0.24","0.2","0.22","0.23"
"ebitda_margin","0.19","0.13","0.11","0.1","0.11","0.16","0.14","0.12","0.12","0.19","0.2","0.17","0.16","0.25","0.18","0.22","0.22","0.21","0.21","0.21","0.2","0.23","0.16","0.17","0.17"
"operating_margin","0.11","0.05","0.04","0.04","0.06","0.11","0.1","0.07000000000000001","0.08","0.12","0.15","0.13","0.11","0.21","0.13","0.16","0.16","0.15","0.15","0.14","0.13","0.18","0.12","0.11","0.12"
"pretax_margin","0.09","-0.06","0.02","-0.07000000000000001","0.01","0.12","0.09","0.07000000000000001","0.06","0.06","0.11","0.12","0.08","0.18","0.1","0.12","0.12","0.13","0.13","0.1","0.06","0.1","0.09","0.12","0.12"
"net_income_margin","0.06","-0.03","0.01","-0.05","0.03","0.09","0.06","0.04","0.05","0.03","0.07000000000000001","0.09","0.05","0.12","0.08","0.09","0.09","0.14","0.11","0.08","0.06","0.08","0.07000000000000001","0.1","0.1"
"fcf_margin","0.13","0.03","0.07000000000000001","0.01","0.06","0.07000000000000001","0.08","0.06","","0.1","0.06","0.02","0.08","0.09","0.09","0.1","0.08","0.11","0.1","0.12","0.13","0.1","0.03","0.06","0.06"
"assets_to_equity","3.61","4.41","4.95","5.99","4.93","3.58","3.02","2.89","3.4","3.65","3.68","3.25","3.87","3.06","4.48","3.87","3.35","2.92","2.72","2.65","2.63","2.68","2.8","2.65","2.63"
"equity_to_assets","0.28","0.23","0.2","0.17","0.2","0.28","0.33","0.35","0.29","0.27","0.27","0.31","0.26","0.33","0.22","0.26","0.3","0.34","0.37","0.38","0.38","0.37","0.36","0.38","0.38"
"debt_to_equity","1.11","1.59","1.62","2.49","1.74","1.01","0.79","0.77","0.9399999999999999","1.06","0.99","0.84","1.58","1.1","2.1","1.74","1.43","1.19","1.05","0.96","0.92","0.89","0.98","0.88","0.91"
"debt_to_assets","0.31","0.36","0.33","0.42","0.35","0.28","0.26","0.27","0.28","0.29","0.27","0.26","0.41","0.36","0.47","0.45","0.43","0.41","0.39","0.36","0.35","0.33","0.35","0.33","0.34"
"revenue_per_share","34.41","35.11","34.45","37.59","42.02","39.49","40.69","40.75","44.25","29.9","39.53","50.16","54.34","59.74","63.05","64.41","60.7","65.36","71.04000000000001","66.95","62.07","76.41","84.70999999999999","77.14","76.56"
"ebitda_per_share","6.43","4.66","3.95","3.82","4.49","6.38","5.77","4.9","5.47","5.54","7.8","8.4","8.58","15.15","11.18","14.27","13.52","13.65","14.88","13.86","12.23","17.51","13.81","13","13.04"
"operating_income_per_share","3.71","1.83","1.38","1.44","2.43","4.52","3.93","2.95","3.72","3.68","5.91","6.49","6.17","12.38","8.199999999999999","10.46","9.619999999999999","9.630000000000001","10.66","9.449999999999999","8.02","13.59","9.99","8.83","8.98"
"pretax_income_per_share","2.94","-1.93","0.54","-2.47","0.41","4.66","3.57","2.8","2.82","1.73","4.19","6.16","4.35","10.73","6.55","7.54","7.07","8.82","9.17","6.51","3.88","7.89","7.82","9.1","9.300000000000001"
"fcf_per_share","4.43","1.09","2.48","0.55","2.38","2.91","3.16","2.42","0.13","3.05","2.25","1.17","4.45","5.2","5.56","6.49","5.11","6.9","7.1","7.79","7.85","7.76","2.91","4.57","4.36"
"book_value_per_share","11.78","9","8.23","6.76","7.56","9.85","12.18","12.42","10.22","10.29","11.01","13.28","20.31","24.76","23.76","26.84","31.05","37.51","41.13","43.55","44.75","42.22","41.92","46.31","47.45"
"tangible_book_per_share","7.74","5","4.52","4.49","5.56","7.95","10.29","10.54","8.08","8.15","8.470000000000001","9.74","-9.83","-3.47","-25.16","-21.01","-15.71","-9.720000000000001","-5.42","-2.96","-1.09","5.73","2.9","6.25","7.23"
"payout_ratio","0.45","-0.77","2.23","-0.5","0.8100000000000001","0.26","0.36","0.49","0.39","0.95","0.31","0.22","0.37","0.17","0.29","0.29","0.33","0.22","0.3","0.46","0.76","0.45","0.48","0.42","0.41"
"revenue_growth","0.15","0.02","-0.01","0.09","0.13","-0.02","0.05","0.01","-0.02","-0.35","0.33","0.23","0.13","0.15","0.02","0.01","-0.07000000000000001","0.06","0.06","-0.09","-0.09","0.24","0.01","-0.13",""
"gross_profit_growth","0.3","-0.16","-0.13","0.04","0.21","0.39","-0.07000000000000001","-0.06","-0.06","-0.08","0.41","0.08","0.12","0.58","-0.2","0.16","-0.09","","0.05","-0.1","-0.12","0.27","-0.15","-0.04",""
