"Company: ","Electronic Arts Inc (EA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","140.63","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Entertainment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","37529","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","36149","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-03","2002-03","2003-03","2004-03","2005-03","2006-03","2007-03","2008-03","2009-03","2010-03","2011-03","2012-03","2013-03","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","2020-03","2021-03","2022-03","2023-03","2024-03","TTM"
"revenue","1322.273","1724.675","2482","2957","3129","2951","3091","3665","4212","3654","3589","4143","3797","3575","4515","4396","4845","5150","4950","5537","5629","6991","7426","7562","7562"
"cogs","582.574","807.611","1073","1103","1197","1181","1212","1805","2127","1866","1499","1598","1388","1347","1429","1354","1298","1277","1322","1369","1494","1859","1792","1710","1710"
"gross_profit","739.699","917.064","1409","1854","1932","1770","1879","1860","2085","1788","2090","2545","2409","2228","3086","3042","3547","3873","3628","4168","4135","5132","5634","5852","5852"
"sga","289.377","348.168","463","555","612","646","754","927","1023","1050","1077","1260","1142","1090","1033","1028","1112","1110","1162","1137","1281","1634","1705","1710","1710"
"rnd","388.928","387.736","401","511","633","758","1041","1145","1359","1229","1124","1180","1153","1125","1094","1109","1205","1320","1433","1559","1778","2186","2328","2420","2420"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","22.042","25.418","74","3","3","7","27","34","58","53","57","43","30","16","14","7","6","9","23","22","30","183","158","142","142"
"total_opex","700.347","761.322","938","1069","1248","1411","1822","2106","2440","2332","2258","2483","2325","2231","2141","2144","2323","2439","2618","2718","3089","4003","4191","4272","4272"
"operating_income","39.352","155.742","471","785","684","359","57","-246","-355","-544","-168","62","84","-3","945","898","1224","1434","1010","1450","1046","1129","1443","1580","1580"
"net_interest_income_normal","","","","","","","","","48","6","8","-11","-23","-25","-21","-23","-22","6","43","56","-21","-54","-9","68","68"
"other_nonoperating_income","-54.597","-7.455","-10","12","41","30","81","-261","-548","-168","-119","-33","78","35","1","2","8","9","26","2","-8","6","-108","-59","-59"
"pretax_income","-15.245","148.287","461","797","725","389","138","-507","-855","-706","-279","18","139","7","925","877","1210","1449","1079","1508","1017","1081","1326","1589","1589"
"income_tax","4.163","-45.969","-143","-220","-221","-147","-66","53","-233","29","3","58","-41","1","-50","279","-243","-406","-60","1531","-180","-292","-524","-316","-316"
"net_income_continuing","-11.082","102.318","318","577","504","242","72","-454","-1088","-677","-276","76","98","8","875","1156","967","1043","1019","3039","837","789","802","1273","1273"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-1.815","-0.8090000000000001","-1","","","-6","4","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","1.815","-1.4210854715202E-14","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","-11.082","101.509","317","577","504","236","76","-454","-1088","-677","-276","76","98","8","875","1156","967","1043","1019","3039","837","789","802","1273","1273"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-11.082","101.509","317","577","504","236","76","-454","-1088","-677","-276","76","98","8","875","1156","967","1043","1019","3039","837","789","802","1273","1273"
"eps_basic","-0.04","0.46","1.17","1.95","1.65","0.78","0.25","-1.45","-3.4","-2.08","-0.84","0.23","0.32","0.03","2.81","3.73","3.19","3.39","3.36","10.37","2.9","2.78","2.9","4.71","4.71"
"eps_diluted","-0.04","0.36","1.08","1.87","1.59","0.75","0.24","-1.45","-3.4","-2.08","-0.84","0.23","0.31","0.03","2.69","3.5","3.08","3.34","3.33","10.3","2.87","2.76","2.88","4.68","4.68"
"shares_basic","274.838","273.664","282","295","305","304","308","314","320","325","330","331","310","308","311","310","303","308","303","293","289","284","277","270","270"
"shares_diluted","276.142","286.284","293","308","318","314","317","314","320","325","330","336","313","316","325","330","314","312","306","295","292","286","278","272","272"
"cash_and_equiv","466.492","796.936","950","2150","1270","1242","1371","1553","1621","1273","1579","1293","1292","1782","2068","2493","2565","4258","4708","3768","5260","2732","2424","2900","2900"
"st_investments","10.022","6.869","639","266","1828","1190","1605","1463","899","723","658","556","388","583","953","1341","1967","1073","737","1967","1106","330","343","362","362"
"receivables","174.449","190.495","82","212","296","199","256","306","116","206","335","366","312","327","362","233","359","385","623","461","521","650","684","565","565"
"inventories","15.686","23.78","40","55","62","61","62","168","217","100","77","59","42","56","36","","","","","","","","","",""
"other_current_assets","152.078","134.463","200","246","250","320","303","435","267","283","383","335","291","390","301","287","308","288","313","321","326","439","518","420","420"
"total_current_assets","818.727","1152.543","1911","2929","3706","3012","3597","3925","3120","2585","3032","2609","2325","3138","3720","4354","5199","6004","6381","6517","7213","4151","3969","4247","4247"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","500.023","515.5170000000001","569","629","728","807","1014","1038","1035","1085","1127","1219","1279","1319","1238","1282","1315","1376","1359","1391","1521","1621","1616","1737","1737"
"accumulated_depreciation","-162.824","-206.69","-307","-331","-375","-415","-530","-642","-681","-548","-614","-651","-731","-809","-779","-843","-881","-923","-911","-942","-1030","-1071","-1067","-1159","-1159"
"ppe_net","337.199","308.827","262","298","353","392","484","396","354","537","513","568","548","510","459","439","434","453","448","449","491","550","549","578","578"
"intangible_assets","136.764","110.512","88","110","189","232","210","265","221","204","144","369","253","177","111","57","8","71","87","53","309","962","618","400","400"
"goodwill","","","","","","647","734","1152","807","1093","1110","1718","1721","1723","1713","1710","1707","1883","1892","1885","2868","5387","5380","5379","5379"
"other_lt_assets","86.22799999999999","127.492","99","127","122","103","121","321","176","227","129","227","223","168","144","490","370","173","149","2208","2407","2750","2943","2816","2816"
"total_assets","1378.918","1699.374","2360","3464","4370","4386","5146","6059","4678","4646","4928","5491","5070","5716","6147","7050","7718","8584","8957","11112","13288","13800","13459","13420","13420"
"accounts_payable","73.06100000000001","88.563","106","114","134","163","180","229","152","91","228","215","136","119","68","89","87","48","113","68","96","101","99","110","110"
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","241.928","364.419","465","630","694","654","756","610","616","717","768","539","441","401","417","377","375","431","434","444","561","507","590","475","475"
"st_debt","","","","","","","","","","","","","","","633","163","","","","599","","","","",""
"current_deferred_revenue","16.967","","","","","52","90","460","368","766","1005","1133","1123","1611","1397","1535","1686","1730","1194","1049","1622","2180","2004","1873","1873"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","8.07","5.6843418860808E-14","","","","","","","","","","233","217","259","263","256","267","282","524","435","609","644","526","566","566"
"total_current_liabilities","340.026","452.982","571","744","828","869","1026","1299","1136","1574","2001","2120","1917","2390","2778","2420","2415","2491","2265","2664","2964","3513","3285","3090","3090"
"lt_debt","","","","","","","","","","","","539","559","580","","989","990","992","994","397","1876","1878","1880","1882","1882"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","","","","",""
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
