"Company: ","Element Solutions Inc (ESI:US)","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","",""
"Last Close Price: ","26.71","","","","","","","","","","","","",""
"Industry: ","Chemicals","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","6499","","","","","","","","","","","","",""
"Enterprise Value: ","8132","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","728.773","731.2","","843.2","2542.3","1770.1","1878.6","1961","1835.9","1853.7","2399.8","2549.4","2333.2","2333.8"
"cogs","388.298","376.1","","446.6","1550.4","992.8","1064.8","1123.4","1047.6","1067.7","1439","1596.7","1414.7","1398.1"
"gross_profit","340.475","355.1","","396.6","991.9","777.3","813.8","837.6","788.3","786","960.8","952.7","918.5","935.7"
"sga","260.665","214.6","","360.9","857.5","596.3","567.2","544.8","497","504.7","611.2","578.6","596.8","597"
"rnd","22.966","25.1","","26.2","62.8","45","46.4","44.3","42.2","48.6","49.7","48.8","68.09999999999999","73.7"
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","",""
"total_opex","283.631","239.7","","387.1","920.3","641.3","613.6","589.1","539.2","553.3","660.9","627.4","664.9","670.7"
"operating_income","56.844","115.4","","9.5","71.59999999999999","136","200.2","248.5","249.1","232.7","299.9","325.3","253.6","265"
"net_interest_income_normal","-54.054","-49.1","","-37.9","-213.9","-372.3","-336.9","-311","-90.7","-63.4","-54.2","-51.2","-49.3","-51.5"
"other_nonoperating_income","8.516","4.7","","-2.5","-87","4.5","-123.7","9.300000000000001","-17.5","-88.2","6","-2.1","-75.2","-74.8"
"pretax_income","11.306","71","","-30.9","-229.3","-231.8","-260.4","-53.2","140.9","81.09999999999999","251.7","272","129.1","138.7"
"income_tax","-9.952999999999999","-24.7","","6.7","-75.09999999999999","41.3","68.59999999999999","-23.8","-61.3","-4.3","-48.3","-85.8","-13","-9.6"
"net_income_continuing","1.353","46.3","","-24.2","-304.4","-190.5","-191.8","-77","79.59999999999999","76.8","203.4","186.2","116.1","129.1"
"net_income_discontinued","","","","","","113.8","-103.8","-242.9","13.3","-1.1","0.3","1.8","2.1","2.1"
"income_allocated_to_minority_interest","-0.366","-0.3","","-5.7","-4.2","3","-0.6","-4.5","-0.7","","-0.4","-0.8","-0.1",""
"other_income_statement_items","2.2204460492503E-16","","","","-5.6843418860808E-14","","","","","","2.8421709430404E-14","","","-1.4210854715202E-14"
"net_income","0.987","46","","-29.9","-308.6","-73.7","-296.2","-324.4","92.2","75.7","203.3","187.2","118.1","131.2"
"preferred_dividends","40.847","44.6","","232.7","","-32.9","","","","","","","",""
"net_income_available_to_shareholders","-39.86","1.4","","-262.6","-308.6","-40.8","-296.2","-324.4","92.2","75.7","203.3","187.2","118.1","131.2"
"eps_basic","-0.45","0.02","","-1.94","-1.52","-0.17","-1.04","-1.13","0.36","0.3","0.82","0.76","0.49","0.54"
"eps_diluted","-0.45","0.02","","-1.94","-1.52","-0.65","-1.04","-1.13","0.35","0.3","0.82","0.76","0.49","0.54"
"shares_basic","88.529","88.529","","135.3","203.2","243.3","286.1","288.2","257.6","248.8","247.4","245.1","241.4","241.4"
"shares_diluted","88.529","88.529","88.529","135.3","203.2","272.3","286.1","288.2","260.1","249.9","247.9","245.8","241.8","241.8"
"cash_and_equiv","","143.351","123","397.3","432.2","422.6","258.4","233.6","190.1","291.9","330.1","265.6","289.3","289.3"
"st_investments","","","","","","","","","","","","","",""
"receivables","","138.97","140.5","327.3","1148","1054.8","399.8","382.4","363.9","403.4","492.2","455.8","461.8","461.8"
"inventories","","76.093","89.59999999999999","205.8","484.6","416.4","186.4","188.1","199.6","203.1","274.4","290.7","298.9","298.9"
"other_current_assets","","16.115","30.4","646.1","172.8","177.4","1496","1678.1","79.8","91.5","117.8","176.6","147.5","147.5"
"total_current_assets","","374.529","383.5","1576.5","2237.6","2071.2","2340.6","2482.2","833.4","989.9","1214.5","1188.7","1197.5","1197.5"
"equity_and_other_investments","","","","","","","","","","","","","",""
"ppe_gross","","189.509","140.1","203.8","561.4","580.9","377.2","391","418.1","460.8","545.1","566","621.2","621.2"
"accumulated_depreciation","","-89.11799999999999","-3.9","-25.2","-69.8","-120.4","-89.8","-124.1","-153.3","-220.4","-267","-288.8","-324.3","-324.3"
"ppe_net","","100.391","136.2","178.6","491.6","460.5","287.4","266.9","264.8","240.4","278.1","277.2","296.9","296.9"
"intangible_assets","","251.774","720.3","1341.5","3314.3","3233.3","1161.2","1024.8","944","855.9","956.7","805.5","879.3","879.3"
"goodwill","","476.23","989.8","1405.3","4021.9","4178.9","2252.6","2182.6","2179.6","2252.7","2526.3","2412.8","2336.7","2336.7"
"other_lt_assets","","30.993","30.4","45.4","124.8","110.2","4210.6","3445","102.6","144.5","162.8","219.5","263.7","263.7"
"total_assets","","1233.917","2260.2","4547.3","10190.2","10054.1","10252.4","9401.5","4324.4","4483.4","5138.4","4903.7","4974.1","4974.1"
"accounts_payable","","53.416","56.2","106.7","450.3","383.6","111.2","100.9","96.8","95.59999999999999","138.4","132.2","140.6","140.6"
"tax_payable","","4.443","6.7","16.7","65.09999999999999","82.5","48","29.6","38.3","33.3","50","59.8","68.59999999999999","68.59999999999999"
"current_accrued_liabilities","","43.468","48.8","41.2","269.9","273.4","107.5","98.7","51.7","82.09999999999999","116.2","67.59999999999999","68.8","68.8"
"st_debt","","26.819","8","13.2","54.7","116.1","10.1","25.3","7.8","7.4","12.7","11.5","11.5","11.5"
"current_deferred_revenue","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","",""
"other_current_liabilities","","","","62.9","222.4","227.1","814.9","888","83.09999999999999","79.5","79.2","57.4","64.90000000000001","64.90000000000001"
"total_current_liabilities","","128.146","119.7","240.7","1062.4","1082.7","1091.7","1142.5","293.8","314.3","415.2","344.4","369.4","369.4"
"lt_debt","","693.821","744.3","1392.4","5173.6","5122.9","5437.1","5350.7","1513.2","1508.1","1894.2","1883.8","1921","1921"
"noncurrent_capital_leases","","","","","","","","","","","","","",""
"pension_liabilities","","54.207","25.1","38.8","80.5","73.8","56.3","49.5","50.8","43.3","36.1","36.7","28.1","28.1"
"noncurrent_deferred_revenue","","49.411","169.8","202.3","678.8","663.2","170","133","119.6","112.9","140","121.2","108.9","108.9"
"other_lt_liabilities","","35.895","65.2","120.5","275.7","221.7","637.3","544.7","127.7","186.7","152.1","168.5","202.4","202.4"
"total_liabilities","","961.48","1124.1","1994.7","7271","7164.3","7392.4","7220.4","2105.1","2165.3","2637.6","2554.6","2629.8","2629.8"
"common_stock","","50","","2","2","3","3","3","3","3","3","3","3","3"
"preferred_stock","","525.027","21","","645.9","","","","","","","","",""
"retained_earnings","","-273.086","-194.2","-224.1","-532.7","-573.5","-869.7","-1195.4","-1536.5","-1473.2","-1331.9","-1223.8","-1183.3","-1183.3"
"aoci","","-30.27","1.3","-130.6","-886.1","-674.5","-422","-756.9","-280.5","-194.8","-197.4","-298.1","-345.9","-345.9"
"apic","","2.318","1212","2812.4","3520.4","3981.3","4032","4062.1","4114.2","4122.9","4166.6","4185.9","4196.9","4196.9"
"treasury_stock","","-1.264","","","","","-0.1","-3.5","-78.90000000000001","-137.7","-159.2","-334.2","-341.9","-341.9"
"other_equity","","","","-0.10000000000036","0.29999999999973","-0.19999999999982","-0.10000000000036","-0.09999999999990901","-0.39999999999964","-0.40000000000009","-0.40000000000009","-0.29999999999973","-0.29999999999973","-0.29999999999973"
"minority_interest_liability","","-0.288","96","93","169.4","153.7","116.9","71.90000000000001","-1.6","-1.7","20.1","16.6","15.8","15.8"
"total_equity","","272.437","1136.1","2552.6","2919.2","2889.8","2860","2181.1","2219.3","2318.1","2500.8","2349.1","2344.3","2344.3"
"total_liabilities_and_equity","","1233.917","2260.2","4547.3","10190.2","10054.1","10252.4","9401.5","4324.4","4483.4","5138.4","4903.7","4974.1","4974.1"
"cfo_net_income","1.353","46.3","","-24.2","-304.4","-76.7","-295.6","-319.9","92.90000000000001","75.7","203.4","186.2","116.1","129.1"
"cfo_da","46.745","42.2","","88","327.5","167.4","156","156.7","154.7","161.4","163.9","161.3","166.7","167.9"
"cfo_receivables","-0.401","-4.9","","4.9","66.7","-42.4","-21.5","0.9","21.8","-27.3","-48.7","6.4","-6.8","-9"
"cfo_inventory","1.481","0.8","","11.4","-7.3","7.6","-9.199999999999999","-18.8","-3.8","1.4","-46.5","-31.2","-9.5","-4.3"
"cfo_prepaid_expenses","","","","","-20.3","-4.3","-13","10.5","-2.9","-9.6","-25.1","-26.6","1.9","5.9"
"cfo_other_working_capital","-29.71","-1.3","","-12.5","170.3","21.1","58.4","-22.2","-87.7","29.7","74.5","-47.8","14.1","1.9"
"cfo_change_in_working_capital","-28.63","-5.4","","3.8","209.4","-18","14.7","-29.6","-72.59999999999999","-5.8","-45.8","-99.2","-0.3","-5.5"
"cfo_deferred_tax","-16.01","-8.4","","-43.2","-45.5","-42.4","-134.1","-54.7","-3.1","-53","-46.7","15.1","-69.90000000000001","-74.90000000000001"
"cfo_stock_comp","0.73","0.2","","1.3","0.8","","","15.4","11.8","6","40.1","17.7","9.4","9.1"
"cfo_other_noncash_items","45.558","0.30000000000001","","72.5","133.1","159.5","410","223.4","-12.8","91.7","11.1","14.8","111.6","112.6"
"cf_cfo","49.746","75.2","","98.2","320.9","189.8","151","-8.699999999999999","170.9","276","326","295.9","333.6","338.3"
"cfi_ppe_net","-8.741","-13.4","","-18.5","25.8","9.4","16.9","4.2","4.6","1.7","-46.3","4.8","1.4","-31.9"
"cfi_acquisitions_net","","-5.1","","-1361.8","-4673.4","-1.2","","-3.2","4217.9","-9","-536.5","-22.6","-214.8","-218.7"
"cfi_investment_net","","","","","-34.4","-36.4","-40.5","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","",""
"cfi_other","5.287","0.2","","-602.4","425.5","-42.6","-23.9","-76","-22.800000000001","-32.6","13.9","-57.4","-36.8","-10.9"
"cf_cfi","-3.454","-18.3","","-1982.7","-4256.5","-70.8","-47.5","-75","4199.7","-39.9","-568.9","-75.2","-250.2","-261.5"
"cff_common_stock_net","","","","1512.6","469.5","391.5","1.4","1.4","-507.1","-55.7","-19.6","-151","",""
"cff_pfd_net","","","","","","-460","","","","","","","",""
"cff_debt_net","-36.983","-26.1","","669.7","3625.7","-51.9","20.2","2.5","-3882.9","-7.9","388","-16.4","33","33"
"cff_dividend_paid","","","","","","","","","","-12.4","-61.9","-78.40000000000001","-77.40000000000001","-78"
"cff_other","-0.8149999999999999","-1.1","","-13.4","-94","9.800000000000001","-97.8","38.5","-48.9","-47.6","-16.5","-29.8","-14.3","-16.9"
"cf_cff","-37.798","-27.2","","2168.9","4001.2","-110.6","-76.2","42.4","-4438.9","-123.6","290","-275.6","-58.7","-61.9"
"ebitda","103.589","157.6","","97.5","399.1","303.4","356.2","405.2","403.8","394.1","463.8","486.6","420.3","432.9"
"capex","-8.741","-13.4","","-18.5","25.8","9.4","16.9","4.2","4.6","1.7","-46.3","4.8","1.4","-31.9"
"fcf","41.005","61.8","","79.7","346.7","199.2","167.9","-4.5","175.5","277.7","279.7","300.7","335","306.4"
"book_value","","-252.59","1115.1","2552.6","2273.3","2889.8","2860","2181.1","2219.3","2318.1","2500.8","2349.1","2344.3","2339.3"
"tangible_book_value","","-980.5940000000001","-595","-194.2","-5062.9","-4522.4","-553.8","-1026.3","-904.3","-790.5","-982.2","-869.2","-871.7","-803"
"roa","","0.07000000000000001","","-0.01","-0.04","-0.01","-0.03","-0.03","0.01","0.02","0.04","0.04","0.02","0.03"
"roe","","0.34","","-0.02","-0.11","-0.03","-0.1","-0.13","0.04","0.03","0.08","0.08","0.05","0.06"
"roic","","0.09","","-0.01","-0.05","-0.01","-0.04","-0.04","0.02","0.02","0.05","0.04","0.03","0.03"
"roce","","0.2","","","0.01","0.01","0.02","0.03","0.04","0.06","0.07000000000000001","0.07000000000000001","0.06","0.06"
"rotce","","0.57","","0.01","0.04","0.08","0.05","0.05","0.08","0.23","0.26","0.25","0.18","0.19"
"gross_margin","0.47","0.49","","0.47","0.39","0.44","0.43","0.43","0.43","0.42","0.4","0.37","0.39","0.4"
"ebitda_margin","0.14","0.22","","0.12","0.16","0.17","0.19","0.21","0.22","0.21","0.19","0.19","0.18","0.19"
"operating_margin","0.08","0.16","","0.01","0.03","0.08","0.11","0.13","0.14","0.13","0.12","0.13","0.11","0.11"
"pretax_margin","0.02","0.1","","-0.04","-0.09","-0.13","-0.14","-0.03","0.08","0.04","0.1","0.11","0.06","0.06"
"net_income_margin","","0.06","","-0.04","-0.12","-0.04","-0.16","-0.17","0.05","0.04","0.08","0.07000000000000001","0.05","0.06"
"fcf_margin","0.06","0.08","","0.09","0.14","0.11","0.09","","0.1","0.15","0.12","0.12","0.14","0.13"
"assets_to_equity","","4.53","1.99","1.78","3.49","3.48","3.58","4.31","1.95","1.93","2.05","2.09","2.12","2.1"
"equity_to_assets","","0.22","0.5","0.5600000000000001","0.29","0.29","0.28","0.23","0.51","0.52","0.49","0.48","0.47","0.48"
"debt_to_equity","","2.65","0.66","0.55","1.79","1.81","1.9","2.46","0.6899999999999999","0.65","0.76","0.8100000000000001","0.82","0.83"
"debt_to_assets","","0.58","0.33","0.31","0.51","0.52","0.53","0.57","0.35","0.34","0.37","0.39","0.39","0.39"
"revenue_per_share","8.23","8.26","","6.23","12.51","6.5","6.57","6.8","7.06","7.42","9.68","10.37","9.65","9.65"
"ebitda_per_share","1.17","1.78","","0.72","1.96","1.11","1.25","1.41","1.55","1.58","1.87","1.98","1.74","1.79"
"operating_income_per_share","0.64","1.3","","0.07000000000000001","0.35","0.5","0.7","0.86","0.96","0.93","1.21","1.32","1.05","1.1"
"pretax_income_per_share","0.13","0.8","","-0.23","-1.13","-0.85","-0.91","-0.18","0.54","0.32","1.02","1.11","0.53","0.57"
"fcf_per_share","0.46","0.7","","0.59","1.71","0.73","0.59","-0.02","0.67","1.11","1.13","1.22","1.39","1.27"
"book_value_per_share","","-2.85","12.6","18.87","11.19","10.61","10","7.57","8.529999999999999","9.279999999999999","10.09","9.56","9.699999999999999","9.65"
"tangible_book_per_share","","-11.08","-6.72","-1.44","-24.92","-16.61","-1.94","-3.56","-3.48","-3.16","-3.96","-3.54","-3.61","-3.31"
"payout_ratio","","","","","","","","","","0.17","0.3","0.42","0.65","0.59"
"revenue_growth","","","-1","","2.02","-0.3","0.06","0.04","-0.06","0.01","0.29","0.06","-0.08",""
"gross_profit_growth","","0.04","-1","","1.5","-0.22","0.05","0.03","-0.06","","0.22","-0.01","-0.04",""
"ebitda_growth","","0.52","-1","","3.09","-0.24","0.17","0.14","","-0.02","0.18","0.05","-0.14",""
