"Company: ","Emerson Electric Company (EMR:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","107.87","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electrical Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","62541","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","67837","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-09","2001-09","2002-09","2003-09","2004-09","2005-09","2006-09","2007-09","2008-09","2009-09","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","15544.8","15311","13748","13958","15615","17305","19734","22131","24807","20102","21039","24222","24412","24669","17733","16249","14522","15264","17408","18372","16785","12932","13804","15165","16529"
"cogs","9337.5","9987","8939","9060","10049","11122","12605","14066","15668","12542","12713","14665","14644","14717","9971","9241","8260","8833","9976","10557","9776","7202","7498","7738","8323"
"gross_profit","6207.3","5324","4809","4898","5566","6183","7129","8065","9139","7560","8326","9557","9768","9952","7762","7008","6262","6431","7432","7815","7009","5730","6306","7427","8206"
"sga","2987.9","3051","2904","2935","3281","3595","4076","4569","5149","4416","4817","5328","5436","5648","4164","3735","3464","3607","4269","4457","3986","3494","3614","4186","4729"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","678.5","","","","21","28","47","63","211","","","342","360","298","95","94","84","136","211","238","239","277","336","482","792"
"total_opex","3666.4","3051","2904","2935","3302","3623","4123","4632","5360","4416","4817","5670","5796","5946","4259","3829","3548","3743","4480","4695","4225","3771","3950","4668","5521"
"operating_income","2540.9","2273","1905","1963","2264","2560","3006","3433","3779","3144","3509","3887","3972","4006","3503","3179","2714","2688","2952","3120","2784","1959","2356","2759","2685"
"net_interest_income_normal","","","","","","","","","-188","-220","-261","-223","-224","-218","-196","-175","-188","-165","-159","-174","-156","-155","-194","7","69"
"other_nonoperating_income","-362.6","-659","-315","-549","-412","-411","-333","-340","","-474","-369","-33","-633","-592","-116","803","-210","-188","-126","-87","-293","-42","270","-40","-298"
"pretax_income","2178.3","1614","1590","1414","1852","2149","2673","3093","3591","2450","2879","3631","3115","3196","3191","3807","2316","2335","2667","2859","2335","1762","2432","2726","2456"
"income_tax","-755.9","-565","-514","-401","-595","-727","-834","-964","-1137","-688","-848","-1127","-1091","-1130","-953","-1267","-697","-660","-443","-531","-345","-346","-549","-599","-523"
"net_income_continuing","1422.4","1049","1076","1013","1257","1422","1839","2129","2454","1762","2031","2504","2024","2066","2238","2540","1619","1675","2224","2328","1990","1416","1883","2127","1933"
"net_income_discontinued","","-17","-16","76","","","6","7","-42","9","186","26","","","-54","193","45","-125","","","","911","1347","11073","8806"
"income_allocated_to_minority_interest","","","","","","","","","","-47","-53","-50","-56","-62","-37","-23","-29","-32","-21","-22","-25","-24","1","19",""
"other_income_statement_items","","","-938","","","","","","","","","","","","","","","","","","","","","",""
"net_income","1422.4","1032","122","1089","1257","1422","1845","2136","2412","1724","2164","2480","1968","2004","2147","2710","1635","1518","2203","2306","1965","2303","3231","13219","10739"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1422.4","1032","122","1089","1257","1422","1845","2136","2412","1724","2164","2480","1968","2004","2147","2710","1635","1518","2203","2306","1965","2303","3231","13219","10739"
"eps_basic","1.67","1.22","0.15","1.3","1.5","1.72","2.26","2.69","3.09","2.29","2.87","3.29","2.68","2.78","3.05","4.01","2.53","2.35","3.48","3.74","3.26","3.85","5.44","23","18.8"
"eps_diluted","1.65","1.2","0.15","1.3","1.49","1.7","2.24","2.66","3.06","2.27","2.84","3.27","2.67","2.76","3.03","3.99","2.52","2.35","3.46","3.71","3.24","3.82","5.41","22.88","18.7"
"shares_basic","854.8","850.8","841.379","837.692","838","829.155","816.372","793.8","780.3","753.7","750.7","748.5","730.6","717.7","700.2","673.3","644","642.1","632","616.2","602.9","598.1","592.9","574.2","574.2"
"shares_diluted","862.8","859","841.379","840.927","843.624","836.471","823.6609999999999","803.9","789.4","758.7","757","753.5","734.6","722.9","704.1","676.5","646.8","643.4","635.3","620.6","606.6","601.8","596.3","577.3","577.3"
"cash_and_equiv","280.8","356","381","696","1346","1233","810","1008","1777","1560","1592","2052","2367","3275","3149","3054","3182","3062","1093","1494","3315","2354","1804","8051","8051"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","2705.6","2551","2513","2650","2932","3256","3716","4260","4618","3623","3989","4502","4983","4808","5019","2870","2701","3072","3023","2985","2802","2971","2261","2518","2518"
"inventories","2052.7","1897","1624","1558","1705","1813","2222","2227","2348","1855","2105","2100","2125","1895","2057","1265","1208","1696","1813","1880","1928","2050","1742","2006","2006"
"other_current_assets","443.6","516","443","596","433","535","582","570","588","615","677","691","651","1021","642","2860","2869","422","690","780","761","1057","2699","1244","1244"
"total_current_assets","5482.7","5320","4961","5500","6416","6837","7330","8065","9331","7653","8363","9345","10126","10999","10867","10049","9960","8252","6619","7139","8806","8432","8506","13819","13819"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","3255","3255"
"ppe_gross","6411.6","6664","6649","6864","7119","7356","7889","8434","8691","8894","8307","8731","8934","9092","9411","7105","7327","7873","8370","8671","9055","9427","5390","5524","5524"
"accumulated_depreciation","-3168.2","-3376","-3533","-3902","-4182","-4353","-4669","-5003","-5184","-5394","-5020","-5294","-5425","-5487","-5609","-4176","-4396","-4552","-4808","-5029","-5367","-5689","-3151","-3161","-3161"
"ppe_net","3243.4","3288","3116","2962","2937","3003","3220","3431","3507","3500","3287","3437","3509","3605","3802","2929","2931","3321","3562","3642","3688","3738","2239","2363","2363"
"intangible_assets","","5182","4910","4942","5259","","163","","","1144","2150","1969","1838","1672","1689","938","902","1890","2751","2615","2468","2877","6572","6263","6263"
"goodwill","5320","","","","","5479","6013","6412","6562","7078","8656","8771","8026","7509","7182","3847","3909","5316","6455","6536","6734","7723","13946","14480","14480"
"other_lt_assets","1118.2","1256","1558","1790","1749","1908","1946","1772","1640","388","387","339","319","926","637","4325","4030","810","1003","565","1186","1945","4409","2566","2566"
"total_assets","15164.3","15046","14545","15194","16361","17227","18672","19680","21040","19763","22843","23861","23818","24711","24177","22088","21732","19589","20390","20497","22882","24715","35672","42746","42746"
"accounts_payable","1210.6","1128","1268","1397","1629","1841","2305","2501","2699","1949","2409","2677","2767","2725","2951","1537","1517","1776","1943","1874","1715","2108","1276","1275","1275"
"tax_payable","","","","","","","","","173","52","96","139","128","129","162","87","180","65","","","","","","",""
"current_accrued_liabilities","1390.6","1619","1448","1513","1695","1839","1933","2337","2480","2378","2864","2772","2732","3184","2876","2058","2126","2342","2598","2658","2910","3266","3038","3210","3210"
"st_debt","2352.7","2448","1560","391","902","970","898","404","1221","577","480","877","1506","1587","2465","2552","2584","862","1623","1444","1160","872","2115","547","547"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","264.9","184","124","116","113","281","238","304","","","","","","","","1566","1601","","","","","","1348","",""
"total_current_liabilities","5218.8","5379","4400","3417","4339","4931","5374","5546","6573","4956","5849","6465","7133","7625","8454","7800","8008","5045","6164","5976","5785","6246","7777","5032","5032"
"lt_debt","2247.7","2256","2990","3733","3136","3128","3128","3372","3297","3998","4586","4324","3787","4055","3559","4289","4051","3794","3137","4277","6326","5793","8259","7610","7610"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","373","413","312","404","404"
"pension_liabilities","","","","","","","","","","","","1496","1142","802","797","742","1037","664","625","775","769","676","427","435","435"
"noncurrent_deferred_revenue","","","","","","","724","519","","","","361","592","823","572","270","210","425","484","327","261","711","1714","1959","1959"
"other_lt_liabilities","1295","1297","1414","1584","1648","1768","1116","1280","2057","2103","2456","664","722","688","628","859","808","891","990","869","921","953","867","708","708"
"total_liabilities","8761.5","8932","8804","8734","9123","9827","10342","10717","11927","11057","12891","13310","13376","13993","14010","13960","14114","10819","11400","12224","14435","14792","19356","16148","16148"
"common_stock","238","238","238","238","238","238","238","477","477","477","477","477","477","477","477","477","477","477","477","477","477","477","477","477","477"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","8612.9","8991","8461","8889","9471","10199","11314","12536","14002","14714","15869","17310","18107","18930","19867","21308","21716","21995","23072","24199","24955","26047","28053","40070","40070"
"aoci","-578.6","-741","-647","-386","-88","-65","306","382","141","-496","-426","-562","-731","-189","-575","-1617","-1999","-1019","-1015","-1722","-1577","-872","-1485","-1253","-1253"
"apic","53","31","52","65","87","120","161","31","146","157","192","317","324","352","161","170","205","297","348","393","470","522","57","62","62"
"treasury_stock","-1922.8","-2405","-2363","-2346","-2470","-3092","-3865","-4654","-5653","-6297","-6320","-7143","-7882","-8985","-9811","-12257","-12831","-13032","-13935","-15114","-15920","-16291","-16738","-18667","-18667"
"other_equity","0.30000000000109","","","","","","","","","","","","","","","","","","","","","","","",""
"minority_interest_liability","","","","","","","176","191","","151","160","152","147","133","48","47","50","52","43","40","42","40","5952","5909","5909"
"total_equity","6402.8","6114","5741","6460","7238","7400","8330","8963","9113","8706","9952","10551","10442","10718","10167","8128","7618","8770","8990","8273","8447","9923","16316","26598","26598"
"total_liabilities_and_equity","15164.3","15046","14545","15194","16361","17227","18672","19680","21040","19763","22843","23861","23818","24711","24177","22088","21732","19589","20390","20497","22882","24715","35672","42746","42746"
"cfo_net_income","1422.4","1032","122","1089","1257","1422","1845","2136","2412","1771","2217","2530","2024","2066","2238","2540","1619","1675","2224","2328","1990","1416","1883","2127","1933"
"cfo_da","678.5","709","541","534","557","562","607","656","707","727","816","867","823","819","569","573","568","636","758","822","854","762","842","1051","1374"
"cfo_receivables","-235.5","135","155","8","-134","-261","-246","-349","-293","1011","-341","-475","-536","-84","-163","241","162","-25","-175","51","207","-18","-143","-191","-163"
"cfo_inventory","-167","99","265","161","-8","8","-274","96","-90","580","-160","12","-49","83","-103","-11","58","32","17","-87","-6","-11","-334","-160","13"
"cfo_prepaid_expenses","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfo_other_working_capital","297.6","-115","12","97","464","363","368","390","361","-971","810","162","245","43","425","-411","-127","153","75","-114","-53","196","165","161","-23"
"cfo_change_in_working_capital","-104.9","119","432","266","322","110","-152","137","-22","620","309","-301","-340","42","159","-181","93","160","-83","-150","148","167","-312","-190","-173"
"cfo_deferred_tax","","","","","","","","","","","","","","","","-424","","","","","","","","",""
"cfo_stock_comp","","","","","","","","","","","","","","","","","","110","216","120","110","197","125","250","255"
"cfo_other_noncash_items","-156.2","-152","723","-158","80","93","212","87","196","-32","-50","137","546","722","726","21","601","-669","-223","-114","-19","1033","384","-2601","-2080"
"cf_cfo","1839.8","1708","1818","1731","2216","2187","2512","3016","3293","3086","3292","3233","3053","3649","3692","2529","2881","1912","2892","3006","3083","3575","2922","637","1309"
"cfi_ppe_net","-523.4","-347","-127","-298","-400","-518","-601","-681","-714","-531","-524","-647","-665","-678","-651","-588","-447","-476","-617","-594","-538","-404","-299","-363","-401"
"cfi_acquisitions_net","","","","","","","","","-561","-772","-1997","-129","-62","-16","-247","1488","-132","-2951","-2002","-455","-126","-1562","-5685","-705","-8263"
"cfi_investment_net","","","","","","","","","","","","","","","","","","","","","","","438","176",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfi_other","-1971.8","-201","-754","-6","-317","-410","-615","-189","203","-6","4","-72","-79","-95","-261","-309","-47","4941","-101","-125","-76","-154","212","13307","9856"
"cf_cfi","-2495.2","-548","-881","-304","-717","-928","-1216","-870","-1072","-1309","-2517","-848","-806","-789","-1159","591","-626","1514","-2720","-1174","-740","-2120","-5334","12415","1192"
"cff_common_stock_net","-376.2","-534","-20","11","-121","-621","-862","-853","-1120","-718","-100","-935","-797","-1110","-1048","-2501","-601","-400","-1000","-1250","-942","-500","-500","-2214","-518"
"cff_pfd_net","","","","","","","","","","","","","","","","","","","","","","","","",""
