"Company: ","Enovis Corp (ENOV:US)","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","45","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Health Care Equipment & Supplies","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","2469","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","3721","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","309.653","345.478","393.604","506.305","604.854","525.024","541.987","693.3920000000001","3913.856","4207.209","4624.476","3434.352","3185.753","1937.282","2193.083","3327.458","1120.7","1426.188","1563.101","1707.197","1817.312"
"cogs","197.907","222.353","256.806","330.714","387.667","339.237","350.579","453.293","2761.731","2900.987","3145.631","2362.666","2193.371","1265.703","1463.707","1926.402","517.0599999999999","648.513","693.718","716.418","763.702"
"gross_profit","111.746","123.125","136.798","175.591","217.187","185.787","191.408","240.099","1152.125","1306.222","1478.845","1071.686","992.3819999999999","671.579","729.376","1401.056","603.64","777.675","869.383","990.779","1053.61"
"sga","77.434","92.706","113.919","98.5","182.251","112.503","133.507","162.761","908.439","864.328","1011.171","748.34","696.8","500.648","548.763","1132.149","515.467","665.775","772.913","830.3049999999999","878.831"
"rnd","3.175","2.855","3.336","4.162","5.856","5.93","6.205","5.707","","","","","","","","","34.268","49.094","60.827","75.331","80.515"
"special_charges","","","","","","","","","","","","","","","","","","","","",""
"other_opex","29.412","","","-50.346","","","-6.205","-5.707","","","","","","","","","103.306","116.92","126.301","133.517","142.408"
"total_opex","110.021","95.56100000000001","117.255","52.316","188.107","118.433","133.507","162.761","908.439","864.328","1011.171","748.34","696.8","500.648","548.763","1132.149","653.0410000000001","831.789","960.0410000000001","1039.153","1101.754"
"operating_income","1.725","27.564","19.543","123.275","29.08","67.354","57.901","77.33799999999999","243.686","441.894","467.674","323.346","295.582","170.931","180.613","268.907","-49.401","-54.114","-90.658","-48.374","-48.144"
"net_interest_income_normal","-6.918","","","","-11.822","-7.212","-6.684","-5.919","-91.56999999999999","-103.597","-51.305","-47.502","-30.276","-40.106","-49.083","-119.503","-52.824","-29.112","-24.052","-19.749","-34.093"
"other_nonoperating_income","","-9.026","-14.186","-19.246","-12.391","-27.724","-23.529","-51.432","-103.677","-35.502","-58.121","-57.726","-58.782","-82.26600000000001","-39.166","-98.911","-16.781","-38.555","112.641","0.995","-34.177"
"pretax_income","-5.193","18.538","5.357","104.029","4.867","32.418","27.688","19.987","48.439","302.795","358.248","218.118","206.524","48.559","92.364","50.493","-119.006","-121.781","-2.069","-67.128","-116.414"
"income_tax","6.01","-6.907","-3.866","-39.147","-5.438","-8.621","-11.473","-15.432","-90.703","-93.652","62.025","-41.168","-51.772","-2.483","29.508","-31.63","44.579","19.528","-36.12","13.289","13.58"
"net_income_continuing","0.8169999999999999","11.631","1.491","64.88200000000001","-0.571","23.797","16.215","4.555","-42.264","209.143","420.273","176.95","154.752","46.076","121.872","18.863","-74.42700000000001","-102.253","-38.189","-53.839","-102.834"
"net_income_discontinued","","0.616","-1.397","","","","","","","","","10.228","-9.561","123.431","32.601","-536.009","120.198","178.531","26.43","21.108","21.42"
"income_allocated_to_minority_interest","","","","","","","","","-22.138","-30.515","-28.175","-19.439","-17.08","-18.417","-14.277","-10.5","-3.146","-4.621","-1.533","-0.53","-0.495"
"other_income_statement_items","56.489","","-8.3266726846887E-17","","-2.2204460492503E-16","3.5527136788005E-15","3.5527136788005E-15","1.7763568394003E-15","","-5.6843418860808E-14","5.6843418860808E-14","","","","-2.8421709430404E-14","","","","","-7.105427357601E-15","4.4408920985006E-16"
"net_income","57.306","12.247","0.094","64.88200000000001","-0.571","23.797","16.215","4.555","-64.402","178.628","392.098","167.739","128.111","151.09","140.196","-527.646","42.625","71.657","-13.292","-33.261","-81.90900000000001"
"preferred_dividends","","","","","3.492","","","","18.951","20.396","2.348","","","","","","","","","",""
"net_income_available_to_shareholders","57.306","12.247","0.094","64.88200000000001","-4.063","23.797","16.215","4.555","-83.35299999999999","158.232","389.75","167.739","128.111","151.09","140.196","-527.646","42.625","71.657","-13.292","-33.261","-81.90900000000001"
"eps_basic","-1.86","-0.18","0.03","5.37","-0.33","1.65","1.11","0.3","-2.76","4.68","9.18","4.05","3.12","3.69","3.51","-11.67","0.93","1.4","-0.25","-0.61","-1.5"
"eps_diluted","-1.86","-0.18","0.03","5.37","-0.33","1.65","1.11","0.3","-2.76","4.62","9.06","4.02","3.12","3.66","3.48","-11.67","0.93","1.4","-0.25","-0.61","-1.5"
"shares_basic","7.295","7.295","7.295","7.295","12.08","14.408","14.463","14.545","30.357","33.066","40.381","41.367","40.97","41.077","40.096","45.239","45.589","51.141","54.065","54.495","54.495"
"shares_diluted","7.295","7.295","7.295","7.295","12.08","14.442","14.556","14.756","30.357","33.455","40.889","41.623","41.066","41.332","40.265","45.556","45.589","51.141","54.065","54.495","54.495"
"cash_and_equiv","","7.821","7.608","48.093","28.762","49.963","60.542","75.108","482.449","311.301","305.448","197.469","208.814","262.019","77.15300000000001","109.632","97.068","680.252","24.295","36.191","36.191"
"st_investments","","","","","","","","","","","","","","149.608","","","","","","",""
"receivables","","59.125","70.526","84.76300000000001","137.435","124.384","144.178","117.475","873.3819999999999","1023.732","1029.15","888.1660000000001","838.796","970.199","386.588","561.865","517.006","254.958","267.38","291.483","291.483"
"inventories","","41.331","57.113","68.28700000000001","80.327","71.15000000000001","57.941","56.136","493.649","443.536","442.732","420.386","364.972","429.627","359.655","571.558","564.822","356.233","426.643","468.832","468.832"
"other_current_assets","","32.183","39.555","85.92400000000001","48.333","52.151","58.395","102.489","282.266","353.589","296.948","224.872","325.996","258.379","1135.045","161.19","182.933","1011.836","76.705","100.013","100.013"
"total_current_assets","","140.46","174.802","287.067","294.857","297.648","321.056","351.208","2131.746","2132.158","2074.278","1730.893","1738.578","2069.832","1958.441","1404.245","1361.829","2303.279","795.023","896.519","896.519"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","","128.63","147.262","170.584","180.721","190.32","193.768","204.924","865.602","1010.318","1039.047","1013.476","730.573","865.381","560.221","924.116","973.571","441.072","484.805","576.754","576.754"
