"Company: ","Equifax Inc (EFX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","237.48","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Professional Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","29707","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","34251","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1189.2","1139","1095.3","1210.7","1272.8","1443.4","1546.3","1843","1935.7","1716","1859.5","1893.2","2073","2303.9","2436.4","2663.6","3144.9","3362.2","3412.1","3507.6","4127.5","4923.9","5122.2","5265.2","5352.6"
"cogs","513.2","451","416.4","499.7","533.9","594.2","626.4","752","792","718.8","759.9","703.9","759.5","787.3","844.7","887.4","1113.4","1210.7","1440.4","1521.7","1737.4","1980.9","2177.2","2335.1","2382.5"
"gross_profit","676","688","678.9","711","738.9","849.2","919.9","1091","1143.7","997.2","1099.6","1189.3","1313.5","1516.6","1591.7","1776.2","2031.5","2151.5","1971.7","1985.9","2390.1","2943","2945","2930.1","2970.1"
"sga","261.2","267.6","246.7","272.1","284.4","345","401","477.1","511.1","470.2","507.4","560.1","673.5","715.8","751.7","884.3","941","1032","1213.3","1990.2","1322.5","1324.6","1328.9","1385.7","1392.2"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","106.2","106.2","79.7","94.09999999999999","78.7","82.2","82.8","127.7","155.4","145.2","162.2","160.6","160","189.6","201.8","198","265.4","287.8","310.4","331.1","391","480.4","560.1","610.8","624.8"
"total_opex","367.4","373.8","326.4","366.2","363.1","427.2","483.8","604.8","666.5","615.4","669.6","720.7","833.5","905.4","953.5","1082.3","1206.4","1319.8","1523.7","2321.3","1713.5","1805","1889","1996.5","2017"
"operating_income","308.6","314.2","352.5","344.8","375.8","422","436.1","486.2","477.2","381.8","430","468.6","480","611.2","638.2","693.9","825.1","831.7","448","-335.4","676.6","1138","1056","933.6","953.1"
"net_interest_income_normal","","","","","","","","-58.5","-71.3","-57","-56.1","-55.1","-55.4","-70.2","-68.59999999999999","-63.8","-92.09999999999999","-92.8","-103.5","-111.7","-141.6","-145.6","-183","-241.4","-243.5"
"other_nonoperating_income","-59.2","-111.6","-36.4","-59.5","9.4","-31.3","-20.2","-3.1","6.2","6.2","1.3","-7.6","6.7","-10.6","4.6","6.5","-4.8","7.7","25.9","33.3","150.2","-43.2","56.7","25.7","22.6"
"pretax_income","249.4","202.6","316.1","285.3","385.2","390.7","415.9","424.6","412.1","331","375.2","405.9","431.3","530.4","574.2","636.6","728.2","746.6","370.4","-413.8","685.2","949.2","929.7","717.9","732.2"
"income_tax","-108.3","-85.3","-124.4","-104.6","-147.9","-144.2","-141.4","-151.9","-133.1","-106.6","-131.9","-167.1","-156","-188.9","-200.2","-201.8","-233.1","-148.6","-53.4","35.7","-159","-200.7","-229.5","-166.2","-167.9"
"net_income_continuing","141.1","117.3","191.7","180.7","237.3","246.5","274.5","272.7","279","224.4","243.3","238.8","275.3","341.5","374","434.8","495.1","598","317","-378.1","526.2","748.5","700.2","551.7","564.3"
"net_income_discontinued","86.90000000000001","5.2","-13.7","-15.8","-2.6","","","","","16.1","31.5","2.9","5.5","18.4","","","","","","","","","","",""
"income_allocated_to_minority_interest","-7.1","-2.2","-2","-3.3","-3.2","-4.9","-4.5","-6.1","-6.2","-6.6","-8.1","-8.800000000000001","-8.699999999999999","-8.1","-6.6","-5.7","-6.3","-10.7","-6.5","-6","-6.1","-4.3","-4","-6.4","-6.5"
"other_income_statement_items","7.1","2.2","2","3.3","3.2","4.9","4.5","6.1","","","5.6843418860808E-14","2.8421709430404E-14","","5.6843418860808E-14","-5.6843418860808E-14","","","","","","","","","-1.1368683772162E-13","4.2632564145606E-14"
"net_income","228","122.5","178","164.9","234.7","246.5","274.5","272.7","272.8","233.9","266.7","232.9","272.1","351.8","367.4","429.1","488.8","587.3","310.5","-384.1","520.1","744.2","696.2","545.3","557.8"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","228","122.5","178","164.9","234.7","246.5","274.5","272.7","272.8","233.9","266.7","232.9","272.1","351.8","367.4","429.1","488.8","587.3","310.5","-384.1","520.1","744.2","696.2","545.3","557.8"
"eps_basic","1.7","0.85","1.25","1.23","1.79","1.9","2.16","2.07","2.13","1.85","2.14","1.91","2.27","2.9","3.03","3.61","4.1","4.89","2.58","-3.18","4.28","6.11","5.69","4.44","4.53"
"eps_diluted","1.68","0.85","1.25","1.2","1.76","1.86","2.12","2.02","2.09","1.83","2.11","1.88","2.22","2.84","2.97","3.55","4.04","4.83","2.56","-3.18","4.24","6.02","5.65","4.4","4.49"
"shares_basic","134.4","136.653","136.4","134.5","131.3","129.7","127.1","132","128.1","126.3","124.8","121.9","119.9","121.2","121.2","118.7","119.3","120.1","120.4","120.9","121.5","121.9","122.4","122.9","122.9"
"shares_diluted","136","136.653","136.4","136.7","133.5","132.2","129.4","135.1","130.4","127.9","126.5","123.7","122.5","123.7","123.5","120.9","121.1","121.5","121.4","122","122.8","123.6","123.3","123.9","123.9"
"cash_and_equiv","59.619","33.2","30.5","39.3","52.1","37.5","67.8","81.59999999999999","58.2","103.1","119.4","127.7","146.8","235.9","128.3","93.3","129.3","336.4","223.6","401.3","1684.6","224.7","285.2","216.8","216.8"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","292.127","266.2","200.6","188.7","195.1","216","244.8","295.8","253.4","258.7","262.6","284.4","317","309.7","337.2","349.8","433.3","444.8","469.1","532.1","630.6","727.6","857.7","908.2","908.2"
"inventories","","","","","","","","","","","","","","","","","","","","","","","","",""
