"Company: ","Essex Property Trust Inc (ESS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","275.62","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Residential REITs","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","18557","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","24519","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","182.762","179.428","208.231","239.827","289.868","314.186","339.8","379.049","408.434","411.389","410.279","467.44","535.153","610.59","970.938","1194.407","1294.001","1363.899","1400.053","1460.155","1495.748","1440.556","1606.814","1669.395","1683.902"
"cogs","","","","","","","","123.018","132.417","139.711","145.871","162.12","172.167","197.336","312.546","363.508","388.927","405.542","416.396","430.594","474.973","481.447","507.973","531.351","537.104"
"gross_profit","182.762","179.428","208.231","239.827","289.868","314.186","339.8","256.031","276.017","271.678","264.408","305.32","362.986","413.254","658.3920000000001","830.899","905.074","958.357","983.657","1029.561","1020.775","959.109","1098.841","1138.044","1146.798"
"sga","21.968","7.498","8.635999999999999","9.637","18.042","19.148","22.234","26.273","27.684","28.062","23.255","20.694","24.573","26.684","40.878","40.09","40.751","41.385","53.451","54.262","65.38800000000001","51.838","56.577","63.474","65.334"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-53.714","126.124","147.189","130.22","161.64","187.102","197.007","180.44","109.701","118.027","133.049","161.483","169.173","192.42","360.592","453.423","441.682","468.881","479.884","483.75","525.497","535.734","529.083","549.135","551.737"
"total_opex","-31.746","133.622","155.825","139.857","179.682","206.25","219.241","206.713","137.385","146.089","156.304","182.177","193.746","219.104","401.47","493.513","482.433","510.266","533.335","538.0119999999999","590.885","587.572","585.66","612.609","617.071"
"operating_income","214.508","45.806","52.406","99.97","110.186","107.936","120.559","49.318","138.632","125.589","108.104","123.143","169.24","194.15","256.922","337.386","422.641","448.091","450.322","491.549","429.89","371.537","513.181","525.4349999999999","529.727"
"net_interest_income_normal","","","","","","","","-74.991","-73.726","-72.976","-54.915","-74.55500000000001","-98.05500000000001","-104.891","-152.74","-185.684","-192.349","-198.29","-197.482","-171.041","-179.634","-104.381","-223.838","-166.646","-126.709"
"other_nonoperating_income","-214.508","0.608","-15.698","-72.795","-37.173","-58.025","-87.032","68.422","15.745","-7.561","-4.027","-1.63","56.468","51.623","30.256","96.53700000000001","212.528","208.242","160.759","145.397","350.607","248.535","143.642","71.919","152.969"
"pretax_income","","46.414","36.708","27.175","73.01300000000001","49.911","33.527","42.749","80.651","45.052","49.162","46.958","127.653","140.882","134.438","248.239","442.82","458.043","413.599","465.905","600.8630000000001","515.691","432.985","430.708","555.987"
"income_tax","","","","","-0.257","-2.538","-0.525","-0.4","","","","","","","","","-4.41","","","-1.457","-1.531","-15.668","10.236","","-1.733"
"net_income_continuing","","46.414","36.708","27.175","72.756","47.373","33.002","42.349","80.651","45.052","49.162","46.958","127.653","140.882","134.438","248.239","438.41","458.043","413.599","464.448","599.332","500.023","443.221","430.708","554.254"
"net_income_discontinued","0.5580000000000001","","8.356999999999999","7.915","6.937","32.343","29.746","73.289","3.744","8.686999999999999","1.62","10.558","11.937","31.173","","","","","","","","","","",""
"income_allocated_to_minority_interest","-23.686","-24.138","27.628","-25.827","-28.133","-20.709","-18.807","-19.999","-22.255","-16.631","-14.848","-10.446","-14.306","-15.772","-12.288","-16.119","-23.431","-24.984","-23.446","-25.162","-30.462","-27.137","-24.67","-24.883","-29.23"
"other_income_statement_items","67.48099999999999","26.269","-24.053","25.827","28.133","20.709","18.807","19.999","","","","","","-2.8421709430404E-14","1.4210854715202E-14","","","","5.6843418860808E-14","","-1.1368683772162E-13","15.668","-10.236","-5.6843418860808E-14",""
"net_income","44.353","48.545","48.64","35.09","79.693","79.71599999999999","62.748","115.638","62.14","37.108","35.934","47.07","125.284","156.283","122.15","232.12","414.979","433.059","390.153","439.286","568.87","488.554","408.315","405.825","525.024"
"preferred_dividends","0.246","","","1.156","1.952","1.953","5.145","9.173999999999999","9.241","-45.092","2.17","4.753","5.472","5.472","5.291","5.255","1.314","","","","","","","",""
"net_income_available_to_shareholders","44.107","48.545","48.64","33.934","77.741","77.76300000000001","57.603","106.464","52.899","82.2","33.764","42.317","119.812","150.811","116.859","226.865","413.665","433.059","390.153","439.286","568.87","488.554","408.315","405.825","525.024"
"eps_basic","2.42","2.63","2.62","1.58","3.39","3.38","2.5","4.34","2.1","3.01","1.14","1.24","3.42","4.05","2.07","3.5","6.28","6.58","5.91","6.67","8.69","7.51","6.27","6.32","8.18"
"eps_diluted","2.37","2.63","2.6","1.57","3.36","3.32","2.45","4.24","2.09","2.91","1.14","1.24","3.41","4.04","2.06","3.49","6.27","6.57","5.9","6.66","8.69","7.51","6.27","6.32","8.18"
"shares_basic","18.234","18.458","18.53","21.468","22.921","23.039","23.082","24.548","25.205","27.27","29.667","32.542","35.032","37.249","56.547","64.872","65.47199999999999","65.82899999999999","66.041","65.84","65.45399999999999","65.051","65.08","64.252","64.252"
"shares_diluted","18.714","21.003","18.726","21.679","23.156","23.389","23.551","25.101","25.347","29.747","29.734","32.629","35.125","37.335","56.697","65.062","65.58799999999999","65.898","66.08499999999999","65.93899999999999","65.565","65.089","65.098","64.253","64.253"
"cash_and_equiv","","","","","","","9.662000000000001","","","20.66","13.753","12.889","18.606","18.491","25.61","29.683","64.92100000000001","44.62","134.465","70.087","73.629","48.42","33.295","391.749","391.749"
"st_investments","","","","","","27.228","","2.017","45.31","134.844","92.31","74.27500000000001","92.71299999999999","90.084","117.24","137.485","139.189","190.004","209.545","144.193","147.768","191.829","112.743","87.795","87.795"
"receivables","","","","","","","18.195","50.536","47.637","36.305","49.444","66.369","66.163","68.255","24.923","19.285","40.97","100.926","71.895","134.365","195.104","341.033","103.045","174.621","174.621"
"inventories","","","","","","","","","","","","","","","56.3","26.879","101.957","","","","57.938","","","",""
"other_current_assets","","","","","","","","54.362","83.495","53.614","63.001","40.019","44.387","59.794","70.139","93.372","105.381","16.506","16.93","11.007","10.412","10.218","9.385999999999999","8.585000000000001","8.585000000000001"
"total_current_assets","","","","","","27.228","27.857","106.915","176.442","245.423","218.508","193.552","221.869","236.624","294.212","306.704","452.418","352.056","432.835","359.652","484.851","591.5","258.469","662.75","662.75"
"equity_and_other_investments","","","","","","","","64.191","76.346","70.783","107.84","383.412","571.345","677.133","1042.423","1036.047","1161.275","1155.984","1300.14","1335.339","1018.01","1177.802","1127.491","1061.733","1061.733"
"ppe_gross","1140.843","","1529.103","1718.359","2138.429","2097.005","2776.807","3351.204","3552.061","3687.895","4182.092","","","","","","","","","74.744","72.143","68.97199999999999","67.239","63.757","63.757"
"accumulated_depreciation","","","","","","","-465.015","-541.987","-640.026","-749.4640000000001","-775.553","","","","","","","","","","","","","",""
"ppe_net","1140.843","","1529.103","1718.359","2138.429","2097.005","2311.792","2809.217","2912.035","2938.431","3406.539","","","","","","","","","74.744","72.143","68.97199999999999","67.239","63.757","63.757"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","",""
"goodwill","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_lt_assets","141.006","1329.458","90.631","198.452","78.788","115.057","146.191","-4.5474735088646E-13","","","","3460","4054.009","4273.082","10190.097","10665.633","10603.715","10987.666","10650.621","10935.67","11361.173","11159.599","10919.706","10573.187","10573.187"
"total_assets","1281.849","1329.458","1619.734","1916.811","2217.217","2239.29","2485.84","2980.323","3164.823","3254.637","3732.887","4036.964","4847.223","5186.839","11526.732","12008.384","12217.408","12495.706","12383.596","12705.405","12936.177","12997.873","12372.905","12361.427","12361.427"
"accounts_payable","","","","","","","13.703","50.114","56.828","48.841","53.773","48.324","64.858","67.18300000000001","135.162","131.415","138.226","127.501","127.086","158.017","152.855","180.751","165.461","176.401","176.401"
"tax_payable","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_accrued_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"st_debt","","","","","","","93","169.818","120","","","150","141","219.421","242.824","15","125","179","","55","","341.257","52.073","",""
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","","","24.91","44.101","48.568","33.75","36.405","46.116","50.444","58.674","119.113","141.219","146.079","173.19","187.874","184.296","203.179","172.349","172.325","176.354","176.354"
