"Company: ","Expeditors International of Washington Inc (EXPD:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","126.6","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Air Freight & Logistics","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","17936","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","16565","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1906.726","1883.07","2296.903","2624.941","3317.989","3901.781","4633.987","5235.171","5633.878","4092.283","5967.573","6161.537","5992.215","6080.257","6564.721","6616.632","6098.037","6920.948","8138.365","7942.417","9584.393","16523.517","17071.284","9300.110000000001","8914.199000000001"
"cogs","1253.754","1404.095","1764.42","2038.916","2588.93","2787.747","3281.4","3714.534","4030.617","2709.497","5283.028","5378.933","5290.417","5376.513","5800.725","5720.848","5247.244","6037.921","7118.083","6945.396","8421.628000000001","14358.105","14900.154","8054.634","7735.646"
"gross_profit","652.972","478.975","532.4829999999999","586.025","729.059","1114.034","1352.587","1520.637","1603.261","1382.786","684.545","782.604","701.798","703.744","763.996","895.784","850.793","883.027","1020.282","997.021","1162.765","2165.412","2171.13","1245.476","1178.553"
"sga","39.621","382.002","60.612","70.596","79.86799999999999","626.696","736.874","830.614","978.6079999999999","874.833","32.055","38.974","34.184","33.243","38.125","41.99","41.763","44.29","45.346","44.002","18.436","16.026","24.293","27.913","28.308"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1237.455","1391.345","1705.513","1969.108","2512.393","107.435","117.343","131.271","40.003","40.035","105.26","125.303","136.816","118.428","131.223","132.31","138.867","138.477","178.373","186.327","203.892","240.06","322.466","277.63","271.505"
"total_opex","1277.076","1773.347","1766.125","2039.704","2592.261","734.131","854.217","961.885","1018.611","914.8680000000001","137.315","164.277","171","151.671","169.348","174.3","180.63","182.767","223.719","230.329","222.328","256.086","346.759","305.543","299.813"
"operating_income","-624.104","-1294.372","-1233.642","-1453.679","-1863.202","379.903","498.37","558.752","584.65","467.918","547.23","618.327","530.798","552.073","594.648","721.484","670.163","700.26","796.563","766.692","940.437","1909.326","1824.371","939.933","878.74"
