"Company: ","Extra Space Storage Inc (EXR:US)","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","157.2","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialized REITs","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","35125","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","45612","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","22.814","31.558","35.816","65.72","134.728","197.264","238.866","273.251","280.146","281.497","329.83","409.396","520.6130000000001","647.155","782.27","991.875","1105.009","1196.604","1308.454","1356.212","1577.362","1924.17","2560.244","2856.733"
"cogs","","","","","","","77.78","89.58799999999999","94.396","92.67","101.624","121.897","149.034","182.843","216.998","265.56","291.147","317.402","365.426","387.109","398.096","468.902","670.91","767.678"
"gross_profit","22.814","31.558","35.816","65.72","134.728","197.264","161.086","183.663","185.75","188.827","228.206","287.499","371.579","464.312","565.272","726.3150000000001","813.862","879.202","943.028","969.103","1179.266","1455.268","1889.334","2089.055"
"sga","6.748","5.916","8.297000000000001","12.465","24.081","35.6","36.722","39.908","40.224","44.428","49.683","50.454","54.246","60.942","67.758","81.806","78.961","81.256","89.41800000000001","96.59399999999999","102.194","129.251","146.408","155.367"
"rnd","","","","","","","0.765","1.727","19.011","1.235","2.896","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","13.484","19.23","26.6","42.357","78.29300000000001","102.012","39.801","49.566","52.403","49.114","55.118","74.453","95.232","115.076","133.457","182.56","193.296","209.05","219.857","224.444","241.879","288.316","506.053","624.529"
"total_opex","20.232","25.146","34.897","54.822","102.374","137.612","77.288","91.20099999999999","111.638","94.777","107.697","124.907","149.478","176.018","201.215","264.366","272.257","290.306","309.275","321.038","344.073","417.567","652.461","779.896"
"operating_income","2.582","6.412","0.919","10.898","32.354","59.652","83.798","92.462","74.11199999999999","94.05","120.509","162.592","222.101","288.294","364.057","461.949","541.605","588.896","633.753","648.0650000000001","835.193","1037.701","1236.873","1309.159"
"net_interest_income_normal","","","","","","","-50.598","-60.422","-63.386","-60.032","-63.185","-65.628","-67.435","-77.556","-90.681","-127.461","-151.878","-177.831","-183.801","-157.109","-116.48","-149.749","-352.964","-412.322"
"other_nonoperating_income","-2.582","-6.412","-0.919","-10.898","-32.354","-59.652","-33.2","4.896","25.703","3.518","2.254","36.138","40.874","-7.272","-52.692","78.44799999999999","128.12","45.259","12.479","40.436","179.369","54.129","-11.897","-7.195"
"pretax_income","","","","","","","","36.936","36.429","37.536","59.578","133.102","195.54","203.466","220.684","412.936","517.847","456.324","462.431","531.3920000000001","898.082","942.081","872.0119999999999","889.6420000000001"
"income_tax","","","","","","","","-0.519","-4.3","-4.162","-1.155","-5.413","-9.984","-7.57","-11.148","-15.847","-3.625","-9.244","-11.308","-13.81","-20.324","-20.925","-21.559","-23.993"
"net_income_continuing","","","","","","","","36.417","32.129","33.374","58.423","127.689","185.556","195.896","209.536","397.089","514.222","447.08","451.123","517.582","877.758","921.1559999999999","850.453","865.649"
"net_income_discontinued","4.677","","","1.749","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","-0.995","-3.859","","-3.023","0.434","-0.985","-2.227","-7.568","-7.116","-7.043","-7.974","-10.38","-13.48","-17.541","-20.062","-30.962","-35.209","-31.791","-31.156","-35.803","-50.109","-60.468","-47.255","-45.643"
"other_income_statement_items","-8.606","-5.683","-17.946","-17.188","-5.4","15.861","38.321","6.932","6.964","-3.5527136788005E-15","","-1.4210854715202E-14","","-2.8421709430404E-14","","","","-5.6843418860808E-14","","-1.1368683772162E-13","","-1.1368683772162E-13","","-1.1368683772162E-13"
"net_income","-4.924","-9.542","-17.946","-18.462","-4.966","14.876","36.094","35.781","31.977","26.331","50.449","117.309","172.076","178.355","189.474","366.127","479.013","415.289","419.967","481.779","827.649","860.688","803.198","820.006"
"preferred_dividends","","-4.525","","5.758","","","1.51","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-4.924","-5.017","-17.946","-24.22","-4.966","14.876","34.584","35.781","31.977","26.331","50.449","117.309","172.076","178.355","189.474","366.127","479.013","415.289","419.967","481.779","827.649","860.688","803.198","820.006"
"eps_basic","-0.82","-3.84","-5.62","-1.68","-0.14","0.27","0.53","0.46","0.37","0.3","0.55","1.15","1.54","1.54","1.58","2.92","3.79","3.29","3.27","3.71","6.2","6.41","4.74","4.49"
"eps_diluted","-0.82","-3.84","-5.62","-1.68","-0.14","0.27","0.53","0.46","0.37","0.3","0.54","1.14","1.53","1.53","1.56","2.91","3.76","3.27","3.24","3.71","6.19","6.41","4.74","4.49"
"shares_basic","6.035","3.666","4.142","15.283","35.482","54.999","64.68899999999999","76.997","86.343","87.324","91.301","101.766","111.349","115.714","119.817","125.088","125.968","126.087","128.204","129.542","133.375","134.051","169.217","169.217"
"shares_diluted","6.035","3.666","4.142","15.283","35.482","59.292","70.504","82.35299999999999","91.083","92.05","93.634","103.767","113.105","121.435","126.919","125.948","134.156","133.159","136.434","129.585","140.016","141.681","169.221","169.221"
"cash_and_equiv","","","","24.329","","70.801","17.377","63.972","131.95","46.75","26.484","30.785","126.723","47.663","75.79900000000001","43.858","55.683","57.496","65.746","109.124","71.126","92.86799999999999","99.062","99.062"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","","","","2.501","","15.88","7.386","11.335","5.114","10.061","36.5","34.568","41.412","53.385","2.205","16.611","","","43.586","293.81","502.237","643.986","739.485","739.485"
"inventories","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","","","","-3.5527136788005E-15","","","71.009","81.254","39.208","30.498","31.033","24.91","29.806","34.136","30.738","13.884","30.361","15.194","4.987","18.885","44.452","55.185","91.17400000000001","91.17400000000001"
"total_current_assets","","","","26.83","","86.681","95.77200000000001","156.561","176.272","87.309","94.017","90.26300000000001","197.941","135.184","108.742","74.35299999999999","86.044","72.69","114.319","421.819","617.8150000000001","792.039","929.721","929.721"
"equity_and_other_investments","","","","6.182","","88.11499999999999","1958.303","2134.447","2180.308","140.56","134","109.903","91.715","89.301","103.007","79.56999999999999","75.907","125.326","338.054","697.444","757.326","882.412","1371.617","1371.617"
"ppe_gross","","","","696.899","","1417.391","","","","2235.444","12.146","15.09","21.774","24.913","","","","","264.643","252.172","257.009","264.533","275.938","275.938"
"accumulated_depreciation","","","","","","","","","","-263.042","-8.847","-10.223","-12.805","-15.183","","","","","","","","","",""
"ppe_net","","","","696.899","","1417.391","","","","1972.402","3.299","4.867","8.968999999999999","9.73","","","","","264.643","252.172","257.009","264.533","275.938","275.938"
"intangible_assets","","","","","","","","","","","46.867","63.445","80.96899999999999","88.12","104.768","123.971","126.818","132","134.932","137.138","16.459","21.575","147.584","147.584"
"goodwill","","","","","","","","","","","","","","","","","","","","","","170.81","170.81","170.81"
"other_lt_assets","270.266","332.29","383.751","18.573","1420.192","77.63800000000001","-4.5474735088646E-13","-4.5474735088646E-13","50.976","49.549","2239.341","2954.999","3597.546","4059.652","5754.89","6813.552","7172.184","7517.962","7680.429","7887.275","8825.868","10036.089","24560.592","24560.592"
"total_assets","270.266","332.29","383.751","748.484","1420.192","1669.825","2054.075","2291.008","2407.556","2249.82","2517.524","3223.477","3977.14","4381.987","6071.407","7091.446","7460.953","7847.978","8532.377","9395.848","10474.477","12167.458","27456.262","27456.262"
"accounts_payable","","","","","","","","","","","46.353","52.299","60.601","65.521","82.693","101.388","96.087","101.461","111.382","130.012","142.285","171.68","334.518","334.518"
"tax_payable","","","","","","","","","","","","1.414","0.671","0.672","2.223","","","","","","","","",""
"current_accrued_liabilities","","","","3.444","","25.704","31.346","35.128","33.386","35.242","","","","","","","","","","","","","",""
"st_debt","","","","39","","","","","","170.467","215","85","","138","36","365","94","81","158","949","535","945","682","682"
"current_deferred_revenue","","","","","","","","","","","","","","","","","","","","","","","",""
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","","","","","","","18.055","22.267","","","","","","2.8421709430404E-14","","-5.6843418860808E-14","5.816","45.197","45.264","47.126","63.582","67.352","71.069","71.069"
"total_current_liabilities","","","","42.444","","25.704","49.401","57.395","33.386","205.709","261.353","138.713","61.272","204.193","120.916","466.388","195.903","227.658","314.646","1126.138","740.867","1184.032","1087.587","1087.587"
"lt_debt","","","","472.977","","948.174","1319.771","1286.82","1402.977","1078.656","1148.656","1492.599","1946.647","2211.764","3499.621","3941.223","4460.217","4730.515","4888.486","4797.303","5422.747","6386.462","10334.748","10334.748"
"noncurrent_capital_leases","","","","","","","","","","","5.828","3.826","2.076","0.713","","","","","274.783","263.485","233.356","229.035","236.515","236.515"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","14.907","20.752","27.518","33.852","46.632","","","","","","","","",""
"other_lt_liabilities","270.266","282.509","339.66","-31.997","903.829","17.234","","","24.974","26.384","13.019","22.256","7.732","19.482","31.634","87.669","81.026","104.383","132.768","272.798","291.531","289.655","383.463","383.463"
"total_liabilities","270.266","282.509","339.66","483.424","903.829","991.112","1369.172","1344.215","1461.337","1310.749","1443.763","1678.146","2045.245","2470.004","3698.803","4495.28","4737.146","5062.556","5610.683","6459.724","6688.501","8089.184","12042.313","12042.313"
"common_stock","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","","","","-104.588","","-179.268","-205.348","-253.052","-253.875","-262.508","-264.086","-235.064","-226.002","-257.738","-337.566","-339.257","-253.284","-262.902","-301.049","-354.9","-128.245","-135.872","-379.015","-379.015"
"aoci","","","","","","","-1.415","","-1.056","-5.787","-7.936","-14.273","10.156","-1.484","-6.352","16.77","33.29","34.65","-28.966","-99.093","-42.546","48.798","17.435","17.435"
"apic","","","","347.883","","822.181","826.026","1130.964","1138.243","1148.82","1290.021","1740.037","1973.159","1995.484","2431.754","2566.12","2569.485","2640.705","2868.681","3000.458","3285.948","3345.332","14750.388","14750.388"
