"Company: ","F5 Networks Inc (FFIV:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","169.54","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Communications Equipment","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","9886","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8983","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-09","2001-09","2002-09","2003-09","2004-09","2005-09","2006-09","2007-09","2008-09","2009-09","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","108.645","107.367","108.266","115.895","171.19","281.41","394.049","525.667","650.173","653.079","881.972","1151.834","1377.247","1481.314","1732.046","1919.823","1995.034","2090.041","2161.407","2242.447","2350.822","2603.416","2695.845","2813.169","2783.567"
"cogs","30.236","45.505","30.479","26.905","39.399","65.184","88.15300000000001","118.324","149.018","142.726","171.952","208.004","236.168","253.047","309.959","332.261","337.205","353.485","361.481","356.577","407.887","493.146","539.627","593.308","560.149"
"gross_profit","78.40900000000001","61.862","77.78700000000001","88.98999999999999","131.791","216.226","305.896","407.343","501.155","510.353","710.02","943.83","1141.079","1228.267","1422.087","1587.562","1657.829","1736.556","1799.926","1885.87","1942.935","2110.27","2156.218","2219.861","2223.418"
"sga","46.617","69.54300000000001","65.626","65.541","82.20699999999999","115.352","166.587","224.811","293.176","280.436","361.704","454.258","537.37","585.442","664.7380000000001","738.08","767.174","809.126","824.5170000000001","959.349","1101.544","1203.618","1201.149","1141.62","1080.041"
"rnd","14.478","17.435","17.985","19.26","24.438","31.516","49.171","69.03","103.394","103.664","118.314","138.91","177.406","209.614","263.792","296.583","334.227","350.365","366.084","408.058","441.324","512.627","543.3680000000001","540.285","498.381"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","4.462","2.625","0.443","","","","","","5.271","","","","","2.393","","","","","","","","","","",""
"total_opex","65.557","89.60299999999999","84.054","84.801","106.645","146.868","215.758","293.841","401.841","384.1","480.018","593.168","714.776","797.449","928.53","1034.663","1101.401","1159.491","1190.601","1367.407","1542.868","1716.245","1744.517","1681.905","1578.422"
"operating_income","12.852","-27.741","-6.267","4.189","25.146","69.358","90.13800000000001","113.502","99.31399999999999","126.253","230.002","350.662","426.303","430.818","493.557","552.899","556.428","577.0650000000001","609.325","518.463","400.067","394.025","411.701","537.956","644.996"
"net_interest_income_normal","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_nonoperating_income","2.903","1.046","-1.854","0.751","2.731","8.076000000000001","17.431","14.191","18.95","5.395","7.625","10.089","5.911","7.274","3.785","8.445","-6.537","-1.548","-5.565","22.648","-3.67","-7.088","-26.308","-51.968","-43.373"
"pretax_income","15.755","-26.695","-8.121","4.94","27.877","77.434","107.569","127.693","118.264","131.648","237.627","360.751","432.214","438.092","497.342","561.3440000000001","549.891","575.5170000000001","603.76","541.111","396.397","386.937","385.393","485.988","601.623"
