"Company: ","FactSet Research Systems Inc (FDS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","419.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","16195","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","17234","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-08","2001-08","2002-08","2003-08","2004-08","2005-08","2006-08","2007-08","2008-08","2009-08","2010-08","2011-08","2012-08","2013-08","2014-08","2015-08","2016-08","2017-08","2018-08","2019-08","2020-08","2021-08","2022-08","2023-08","TTM"
"revenue","134.178","167.555","198.294","222.295","251.91","312.644","387.35","475.801","575.519","622.023","641.059","726.51","805.793","858.112","920.335","1006.768","1127.092","1221.179","1350.145","1435.351","1494.111","1591.445","1843.892","2085.508","2153.769"
"cogs","33.626","52.443","60.388","66.286","74.191","91.801","121.352","152.797","191.239","209.364","206.55","244.623","275.537","306.379","353.686","405.339","487.409","566.58","659.296","663.446","695.446","786.4","871.106","973.225","1012.14"
"gross_profit","100.552","115.112","137.906","156.009","177.719","220.843","265.998","323.004","384.28","412.659","434.509","481.887","530.256","551.7329999999999","566.649","601.429","639.683","654.599","690.849","771.905","798.665","805.045","972.7859999999999","1112.283","1141.629"
"sga","49.518","64.209","75.084","79.282","90.116","111.822","144.71","167.913","200.393","201.629","212.875","243.552","257.266","282.314","264.43","269.511","290.007","302.464","324.645","333.87","342.505","331.004","433.032","457.13","456.47"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","11.865","","0.904","","","","","","","","","","","","","","","","","","","","","",""
