"Company: ","Fair Isaac Corporation (FICO:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","1457.29","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Software","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","35620","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","37513","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-09","2001-09","2002-09","2003-09","2004-09","2005-09","2006-09","2007-09","2008-09","2009-09","2010-09","2011-09","2012-09","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","2023-09","TTM"
"revenue","298.63","329.148","392.418","629.295","706.206","798.671","825.365","822.236","744.842","630.735","605.643","619.683","676.423","743.444","788.985","838.7809999999999","881.356","934.9829999999999","1000.146","1160.083","1294.562","1316.536","1377.27","1513.557","1604.289"
"cogs","128.961","148.559","176.029","246.592","252.587","275.065","281.977","293.482","274.917","206.448","180.932","186.47","197.947","229.468","249.281","270.535","265.173","287.607","312.898","336.845","361.142","332.462","302.174","311.053","325.085"
"gross_profit","169.669","180.589","216.389","382.703","453.619","523.606","543.388","528.754","469.925","424.287","424.711","433.213","478.476","513.976","539.704","568.246","616.183","647.376","687.248","823.2380000000001","933.42","984.074","1075.096","1202.504","1279.204"
"sga","90.215","78.06100000000001","83.633","124.641","182.374","223.4","260.845","285.541","245.639","209.319","225.263","223.615","238.522","268.395","278.203","300.002","328.94","337.167","376.912","414.086","420.93","396.281","383.863","400.565","422.608"
"rnd","29.817","28.321","74.04000000000001","67.574","71.08799999999999","81.295","84.967","70.599","77.794","73.626","73.581","62.129","59.527","66.967","83.435","98.824","103.669","110.87","128.383","149.478","166.499","171.231","146.758","159.95","166.566"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","2.1","2.1","4.38","13.793","19.064","25.9","25.191","21.685","14.043","15.884","10.901","7.741","6.944","13.535","11.917","13.673","13.982","12.709","6.594","6.126","4.993","3.255","2.061","1.1","1.1"
"total_opex","122.132","108.482","162.053","206.008","272.526","330.595","371.003","377.825","337.476","298.829","309.745","293.485","304.993","348.897","373.555","412.499","446.591","460.746","511.889","569.6900000000001","592.422","570.7670000000001","532.682","561.615","590.274"
"operating_income","47.537","72.107","54.336","176.695","181.093","193.011","172.385","150.929","132.449","125.458","114.966","139.728","173.483","165.079","166.149","155.747","169.592","186.63","175.359","253.548","340.998","413.307","542.414","640.889","688.9299999999999"
"net_interest_income_normal","","","","","","","","","-11.533","-20.764","-22.436","-30.172","-31.417","-30.227","-28.55","-29.15","-26.633","-25.79","-31.311","-39.752","-42.177","-40.092","-68.967","-95.54600000000001","-99.104"
"other_nonoperating_income","-0.467","4.746","-1.238","-4.555","-12.278","1.077","-13.193","-1.267","-7.921","-7.124","-0.226","-12.101","-5.823","-2.868","-4.468","-17.359","1.61","-4.557","12.884","2.276","-41.821","99.92700000000001","-2.138","8.281000000000001","11.75"
"pretax_income","47.07","76.85299999999999","53.098","172.14","168.815","194.088","159.192","149.662","112.995","97.56999999999999","92.304","97.455","136.243","131.984","133.131","109.238","144.569","156.283","156.932","216.072","257","473.142","471.309","553.624","601.576"
