"Company: ","Fastenal Company (FAST:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","64.43000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Trading Companies & Distributors","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","36889","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","36852","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","745.74","818.283","905.438","994.928","1238.492","1523.333","1809.337","2061.819","2340.425","1930.33","2269.471","2766.859","3133.577","3326.106","3733.507","3869.2","3962","4390.5","4965.1","5333.7","5647.3","6010.9","6980.6","7346.7","7382.7"
"cogs","345.203","405.856","456.962","505.861","614.159","765.23","901.662","1014.245","1104.333","946.895","1094.635","1332.687","1519.053","1606.661","1836.105","1920.3","1997.2","2226.9","2566.2","2818.3","3079.5","3233.7","3764.8","3992.2","4016.6"
"gross_profit","400.537","412.427","448.476","489.067","624.333","758.103","907.675","1047.574","1236.092","983.4349999999999","1174.836","1434.172","1614.524","1719.445","1897.402","1948.9","1964.8","2163.6","2398.9","2515.4","2567.8","2777.2","3215.8","3354.5","3366.1"
"sga","259.003","300.696","334.875","353.613","416.524","489.792","587.61","671.248","785.688","686.792","745.112","859.369","941.236","1007.431","1110.776","1121.5","1169.5","1282.8","1400.2","1458.2","1426","1559.8","1762.2","1825.8","1840.5"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","11.977","","-5.63","0.317","0.652","0.447","0.223","-0.099","","","","","","","","","","","","","","","","",""
"total_opex","270.98","300.696","329.245","353.93","417.176","490.239","587.833","671.149","785.688","686.792","745.112","859.369","941.236","1007.431","1110.776","1121.5","1169.5","1282.8","1400.2","1458.2","1426","1559.8","1762.2","1825.8","1840.5"
"operating_income","129.557","111.731","119.231","135.137","207.157","267.864","319.842","376.425","450.404","296.643","429.724","574.803","673.288","712.014","786.626","827.4","795.3","880.8","998.7","1057.2","1141.8","1217.4","1453.6","1528.7","1525.6"
