"Company: ","Ferguson Plc (FERG:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","192.04","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Trading Companies & Distributors","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","39413","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","42240","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-07","2001-07","2002-07","2003-07","2004-07","2005-07","2006-07","2007-07","2008-07","2009-07","2010-07","2011-07","2012-07","2013-07","2014-07","2015-07","2016-07","2017-07","2018-07","2019-07","2020-07","2021-07","2022-07","2023-07","TTM"
"revenue","9603.179","10246.956","12463.006","13241.95","18454.32","19747.368","26452.674","33009.768","29375.372","24126.639","20726.194","22249.938","21084.299","20045.412","20746.614","20800.699","16581.441","19284","20752","22010","19940","22792","28566","29734","29527"
"cogs","","","","","13369.046","14340.35","19098.689","23813.594","21084.672","17482.248","15001.099","16043.324","15276.337","14477.073","14984.699","14984.242","11835.204","13701","14708","15550","13957","15812","19810","20709","20533"
"gross_profit","9603.179","10246.956","12463.006","13241.95","5085.274","5407.018","7353.985","9196.174000000001","8290.700000000001","6644.391","5725.095","6206.614","5807.962","5568.339","5761.915","5816.457","4746.237","5583","6044","6460","5983","6980","8756","9025","8994"
"sga","","","","","","","","6019.536","5550.268","5174.171","","","","","","","","","","","4329","4732","5635","5920","6047"
"rnd","2.25","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","8987.102000000001","9562.629000000001","11726.263","12479.422","3957.035","4194.737","5825.642","1689.052","1098.552","935.595","5257.292","5308.936","4857.511","4547.324","4581.804","4571.411","3678.598","4105","4684","4964","282","298","301","321","326"
