"Company: ","Fidelity National Information Services Inc (FIS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","75.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Financial Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","42024","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","49302","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","827.374","935.971","1007.968","1015.464","2331.527","2688.218","2416.5","2921","3427.7","3711.1","5145.6","5625.6","5795.8","6063.4","6413","6596","8831","8668","8423","10333","12552","9339","9719","9821","11212"
"cogs","","686.588","730.4400000000001","732.7619999999999","1525.174","1750.199","1872.2","2265.8","2689.3","2741.5","3553.7","3919.1","3956.2","4092.7","4327","4395","5895","5794","5569","6610","8348","5990","6216","6145","6798"
"gross_profit","827.374","249.383","277.528","282.702","806.353","938.019","544.3","655.2","738.4","969.6","1591.9","1706.5","1839.6","1970.7","2086","2201","2936","2874","2854","3723","4204","3349","3503","3676","4414"
"sga","","97.964","113.349","128.302","432.31","411.918","279.8","302.9","388.6","547.1","654","647.9","763.3","907.8","815","1102","1707","1442","1301","2667","3516","2115","2182","2096","2629"
"rnd","","","","","74.214","113.498","70.90000000000001","70.40000000000001","84.8","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","12.23","","","","","","-84.8","","","","","","","","","","","","","","","","-33"
"total_opex","","97.964","125.579","128.302","506.524","525.4160000000001","350.7","373.3","388.6","547.1","654","647.9","763.3","907.8","815","1102","1707","1442","1301","2667","3516","2115","2182","2096","2596"
"operating_income","827.374","151.419","151.949","154.4","299.829","412.603","193.6","281.9","349.8","422.5","937.9","1058.6","1076.3","1062.9","1271","1099","1229","1432","1553","1056","688","1234","1321","1580","1818"
"net_interest_income_normal","","","","","","","","","-157.2","-130.6","-173.4","-258.8","-222.7","-188.2","-158","-183","-383","-337","-297","-337","-334","-212","-281","-621","-549"
"other_nonoperating_income","-682.838","-8.067","-6.001","-5.611","14.911","-124.792","-188.4","102.1","-24.5","-128.2","-166.4","-72.8","-25.3","-51.2","-60","121","-9","-119","-152","-306","-88","-303","-99","-296","-7244"
"pretax_income","144.536","143.352","145.948","148.789","314.74","287.811","5.2","384","168.1","163.7","598.1","727","828.3","823.5","1053","1037","837","976","1104","413","266","719","941","663","-5975"
"income_tax","-57","-56.276","-55.964","-55.052","-118.343","-107.066","2.9","-136.2","-53.3","-54.7","-208.4","-232.4","-270.1","-308.9","-335","-379","-291","321","-208","-100","-96","-403","-325","-157","-190"
"net_income_continuing","87.536","87.07599999999999","89.98399999999999","93.73699999999999","196.397","180.745","8.1","247.8","114.8","109","389.7","494.6","558.2","514.6","718","658","546","1297","896","313","170","316","616","506","-6165"
"net_income_discontinued","0.926","","","","5.934","15.226","243.5","310.5","104.9","-0.5","-31.8","-13.5","-77.09999999999999","3.1","-11","-7","1","","","","","102","-17324","-7153","188"
"income_allocated_to_minority_interest","","-0.945","","","-3.673","-4.45","1.7","0.1","-4.7","-2.6","46.6","-11.5","-19.9","-24.6","-28","-19","-22","-33","-35","-5","-6","-7","-12","-7","-7"
"other_income_statement_items","","0.94499999999999","-1.4210854715202E-14","-1.335","-9.242000000000001","5.029","5.8","2.8000000000001","-0.19999999999999","1.4210854715202E-14","-5.6843418860808E-14","","5.6843418860808E-14","","","","","-3","-15","-10","-6","6","","","-86"
"net_income","88.462","87.07599999999999","89.98399999999999","92.402","189.416","196.55","259.1","561.2","214.8","105.9","404.5","469.6","461.2","493.1","679","632","525","1261","846","298","158","417","-16720","-6654","-6070"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","88.462","87.07599999999999","89.98399999999999","92.402","189.416","196.55","259.1","561.2","214.8","105.9","404.5","469.6","461.2","493.1","679","632","525","1261","846","298","158","417","-16720","-6654","-6070"
"eps_basic","1.32","1.27","1.32","1.42","1.48","1.54","1.39","2.91","1.12","0.45","1.17","1.56","1.58","1.7","2.38","2.22","1.61","3.82","2.58","0.67","0.26","0.68","-27.68","-11.26","-10.21"
"eps_diluted","1.3","1.26","1.3","1.4","1.48","1.53","1.37","2.86","1.11","0.44","1.15","1.53","1.55","1.68","2.35","2.19","1.59","3.75","2.55","0.66","0.25","0.67","-27.68","-11.26","-10.23"
"shares_basic","67.017","68.56399999999999","68.254","65.09399999999999","127.92","127.92","185.926","193.1","191.6","236.4","345.1","300.6","291.8","289.7","285","285","326","330","328","445","619","616","604","591","591"
"shares_diluted","68.048","69.108","69.033","65.87","127.92","128.354","189.196","196.5","193.5","239.4","352","307","297.5","294.2","289","289","330","336","332","451","627","621","604","591","591"
"cash_and_equiv","","27.674","14.166","22.28","41.801","133.152","211.753","355.278","220.9","430.9","338","415.5","517.6","547.5","492.8","682","683","665","703","1152","1959","2010","456","440","440"
"st_investments","","","","","44.855","","","","31.4","50.8","35.9","","","","","","","","","","","","","",""
"receivables","","213.256","183.233","200.237","257.997","493.991","806.299","1164.503","721.4","890.8","1085.6","1023.5","1126.2","1264","1345.2","2090","1879","2093","2042","4350","3631","5344","2424","2171","2171"
"inventories","","","","1.889","2.417","","","","","","","","","","","","","","","","","","","",""
"other_current_assets","","80.60599999999999","114.601","97.22199999999999","61.647","164.073","282.487","309.714","192.5","293.6","213.5","235","200.4","540.4","635.1","737","1720","930","988","3190","4308","3354","9938","11177","11177"
"total_current_assets","","321.536","312","321.628","408.717","791.216","1300.539","1829.495","1166.2","1666.1","1673","1674","1844.2","2351.9","2473.1","3509","4282","3688","3733","8692","9898","10708","12818","13788","13788"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","81","358","281","195","195"
"ppe_gross","","101.987","115.303","153.61","172.649","407.27","607.489","724.035","517","697.6","787.6","882.7","975.5","1077.4","1204.4","1396","1488","1657","1645","2741","2826","2982","2224","2288","2288"
"accumulated_depreciation","","-67.64700000000001","-76.666","-94.71299999999999","-111.159","-186.845","-261.69","-331.527","-244.4","-321.7","-397.6","-468.2","-556","-638.4","-721.1","-785","-862","-1047","-1058","-1277","-1405","-1571","-1264","-1379","-1379"
"ppe_net","","34.34","38.637","58.897","61.49","220.425","345.799","392.508","272.6","375.9","390","414.5","419.5","439","483.3","611","626","610","587","1464","1421","1411","960","909","909"
"intangible_assets","","240.63","200.298","223.782","258.447","960.776","1650.793","1805.734","1541.3","3329.5","3111.9","2784.8","2423.2","2195.8","2161.4","6743","6272","5613","4927","19002","17298","14838","4523","3938","3938"
"goodwill","","","","","","1787.71","3737.54","5326.83","4194","8232.9","8550","8542.799999999999","8381.5","8500","8877.6","14745","14178","13730","13545","52242","53268","53330","16816","16971","16971"
"other_lt_assets","523.049","139.697","151.206","180.74","193.555","428.894","595.889","440.016","326.3","393.2","436.9","457.1","481.3","473.4","525.1","592","673","885","978","2406","1876","2286","27880","19304","19304"
