"Company: ","Fifth Third Bancorp (FITB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","35.91","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","25063","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","37711","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","4947","4709","4129","3991","4114","4995","5955","6027","5608","4668","4489","4218","4107","3973","4030","4028","4193","4489","5183","6254","5572","5211","6587","9760","10154"
"total_interest_expense","2692","2276","1429","1086","1102","2030","3082","3018","2094","1314","885","661","512","412","451","495","578","691","1043","1457","790","441","978","3933","4459"
"net_interest_income","2255","2433","2700","2905","3012","2965","2873","3009","3514","3354","3604","3557","3595","3561","3579","3533","3615","3798","4140","4797","4782","4770","5609","5827","5695"
"total_noninterest_revenue","1482","1797","2194","2483","2241","2229","1828","2223","2323","2572","2595","2278","2545","2686","2155","2477","2154","1953","2070","2509","2623","2953","2617","2716","2710"
"revenue","3737","4230","4894","5388","5253","5194","4701","5232","5837","5926","6199","5835","6140","6247","5734","6010","5769","5751","6210","7306","7405","7723","8226","8543","8405"
"credit_losses_provision","138","236","246","399","268","330","343","628","4560","3543","1538","423","303","229","315","396","343","261","207","471","1097","-377","563","515","445"
"net_interest_income_after_credit_losses_provision","2117","2197","2454","2506","2744","2635","2530","2381","-1046","-189","2066","3134","3292","3332","3264","3137","3272","3537","3933","4326","3685","5147","5046","5312","5250"
"total_noninterest_expense","1832","2343","2254","2462","2423","2656","2682","2838","3357","3608","3604","3504","3640","3625","3362","3334","3224","3548","3814","4172","4485","4573","4571","4823","4804"
"pretax_income","1680","1651","2394","2527","2237","2208","1627","1537","-2664","767","940","1831","2210","2598","2028","2365","2208","2979","2765","3202","1797","3517","3093","2988","2929"
"income_tax","-539","-550","-759","-805","-712","-659","-443","-461","551","-30","-187","-533","-636","-772","-545","-659","-665","-799","-572","-690","-370","-747","-647","-639","-618"
"net_income_continuing","1141","1101","1635","1722","1525","1549","1184","1076","-2113","737","753","1298","1574","1826","1483","1706","1543","2180","2193","2512","1427","2770","2446","2349","2311"
"net_income_discontinued","","","","44","","","","","","","","","","","","","","","","","","","","",""
"net_income","1141","1094","1635","1755","1525","1549","1184","1076","-2113","737","753","1297","1576","1836","1481","1712","1547","2180","2193","2512","1427","2770","2446","2349","2311"
"preferred_dividends","1","1","1","1","1","1","1","1","67","226","250","203","35","37","67","75","75","75","75","93","104","111","116","137","153"
"net_income_available_to_shareholders","1140","1093","1634","1754","1524","1548","1183","1075","-2180","511","503","1094","1541","1799","1414","1637","1472","2105","2118","2419","1323","2659","2330","2212","2158"
"eps_basic","1.86","1.74","2.64","3.07","2.72","2.79","2.14","1.99","-3.91","0.73","0.63","1.2","1.69","2.05","1.68","2.03","1.92","2.86","3.11","3.38","1.84","3.78","3.38","3.23","3.15"
"eps_diluted","1.83","1.7","2.59","3.03","2.68","2.77","2.13","1.98","-3.91","0.67","0.63","1.18","1.66","2.02","1.66","2.01","1.91","2.81","3.06","3.33","1.83","3.73","3.35","3.22","3.15"
"shares_basic","464.202","628.1609999999999","618.939","571.336","561","554","555","538","553","696","790.852","906.461","904.425","869.463","833.116","798.628","757.432","728.289","673.346","710.434","714.73","702.189","688.634","684.172","684.172"
"shares_diluted","475.625","642.941","630.888","578.878","568","558","557","540","553","726","799.381","949.545","945.554","894.736","842.967","807.659","764.495","740.691","685.4880000000001","720.0650000000001","719.735","711.198","694.952","687.678","687.678"
"cash_and_equiv","985","2031","1890.809","2359.371","2561","3078","2737","3046","3746","2318","2159","2663","2441","3178","3091","2540","2392","2514","2681","3278","3147","2994","3466","3142","3142"
"loans_gross","27489","44639","50547.591","55616.007","61238","72542","71662","80845","81929","75311","76329","80441","85172","85933","87625","89631","88875","88394","92272","107595","110608","113413","119783","115033","115033"
"allowance_for_loan_losses","-383","-624","-683.193","-770.394","-713","-744","-771","-937","-2787","-3749","-3004","-2255","-1854","-1582","-1322","-1225","-1238","-1182","-1085","-1185","-2424","-1877","-2179","-2295","-2295"
"loans_net","26122","43104","48602.45","53418.586","59095","70485","70891","79908","79142","71562","73325","78186","83318","84351","86303","88406","87637","87212","91187","106410","108184","111536","117604","112738","112738"
"total_investments","15827","20748","25827.767","29457.868","25019","22588","12389","12059","18181","22578","18075","18213","19025","25200","31954","33323","35455","36292","36250","40029","73144","75081","61869","75619","75619"
"ppe_net","521","833","890.934","1827.953","1619","1869","2142","2576","2957","2899","2868","2944","3123","3261","3193","2946","2803","2649","2379","3316","3288","3163","3322","3319","3319"
"intangible_assets","","950","1201.694","932.623","1481","2818","690","765","667","806","884","721","724","990","873","797","753","885","978","1194","795","1277","1915","1862","1862"
"goodwill","","","","","","","2193","2470","2624","2417","2417","2417","2416","2416","2416","2416","2416","2445","2478","4252","4258","4514","4915","4919","4919"
"other_lt_assets","2402","3360","2480.794","3184.695","4681","4387","9627","10138","12447","10800","11279","11823","10847","11047","10876","10620","10721","10084","10116","10890","11864","12551","14361","12975","12975"
"total_assets","45857","71026","80894.448","91181.09600000001","94456","105225","100669","110962","119764","113380","111007","116967","121894","130443","138706","141048","142177","142081","146069","169369","204680","211116","207452","214574","214574"
