"Company: ","First Citizens BancShares Inc (FCNCA:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","1633.85","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","23700","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","29752","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","708.17","715.427","596.169","510.477","521.117","669.54","830.3150000000001","904.056","813.351","738.159","969.3680000000001","1015.159","1004.836","796.804","760.448","969.2089999999999","987.7569999999999","1103.69","1245.757","1404.011","1484","1451","3413","10391","12264"
"total_interest_expense","342.828","346.51","214.018","148.537","133.826","218.151","353.737","423.714","314.945","227.644","195.125","144.192","90.148","56.618","50.351","44.304","43.082","43.794","36.857","92.642","96","61","467","3679","4585"
"net_interest_income","365.342","368.917","382.151","361.94","387.291","451.389","476.578","480.342","498.406","510.515","774.2430000000001","870.967","914.688","740.186","710.097","924.905","944.675","1059.896","1208.9","1311.369","1388","1390","2946","6712","7679"
"total_noninterest_revenue","202.19","214.643","220.295","243.936","251.271","257.666","271.367","295.47","313.484","299.017","270.214","313.949","192.254","267.382","285.419","336.389","352.292","349.062","343.579","386.309","432","448","1580","2044","2202"
"revenue","567.532","583.5599999999999","602.446","605.876","638.562","709.0549999999999","747.9450000000001","775.812","811.89","809.532","1044.457","1184.916","1106.942","1007.568","995.516","1261.294","1296.967","1408.958","1552.479","1697.678","1820","1838","4526","8756","9881"
"credit_losses_provision","15.488","24.134","26.55","24.187","34.473","33.514","20.922","33.594","65.926","79.364","143.519","232.277","142.885","-32.255","0.64","20.664","32.941","25.692","28.468","31.441","58","-37","645","1375","656"
"net_interest_income_after_credit_losses_provision","349.854","344.783","355.601","337.753","352.818","417.875","455.656","446.748","432.48","431.151","630.724","638.6900000000001","771.803","772.441","709.457","904.241","911.734","1034.204","1180.432","1279.928","1330","1427","2301","5337","7023"
"total_noninterest_expense","394.784","421.685","432.353","465.088","479.894","496.871","531.077","574.664","606.36","651.503","733.376","792.925","766.1420000000001","770.989","778.218","936.972","913.449","977.7809999999999","1040.492","1057.023","1127","1145","2741","4662","5123"
"pretax_income","157.26","137.741","143.543","116.601","124.195","178.67","195.946","167.554","139.604","183.099","303.562","310.131","197.124","268.443","203.594","332.414","351.067","543.698","503.61","592.048","618","701","1362","12077","3610"
"income_tax","-58.949","-50.805","-50.787","-41.414","-49.352","-65.80800000000001","-69.455","-58.937","-48.546","-66.768","-110.518","-115.103","-64.729","-101.574","-65.032","-122.028","-125.585","-219.946","-103.297","-134.677","-126","-154","-264","-611","-931"
"net_income_continuing","98.31100000000001","86.93600000000001","92.756","75.187","74.843","112.862","126.491","108.617","91.05800000000001","116.331","193.044","195.028","132.395","166.869","138.562","210.386","225.482","323.752","400.313","457.371","492","547","1098","11466","2679"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","98.31100000000001","86.93600000000001","92.756","75.187","74.843","112.862","126.491","108.617","91.05800000000001","116.331","193.044","195.028","132.395","166.869","138.562","210.386","225.482","323.752","400.313","457.371","492","547","1098","11466","2679"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","14","18","50","59","60"
"net_income_available_to_shareholders","98.31100000000001","86.93600000000001","92.756","75.187","74.843","112.862","126.491","108.617","91.05800000000001","116.331","193.044","195.028","132.395","166.869","138.562","210.386","225.482","323.752","400.313","457.371","478","529","1048","11407","2619"
"eps_basic","9.32","8.27","8.85","7.19","7.17","10.82","12.12","10.41","8.73","11.15","18.5","18.8","12.92","17.35","13.56","17.52","18.77","29.96","33.53","41.05","47.5","53.88","67.47","785.14","180.24"
"eps_diluted","9.32","8.27","8.85","7.19","7.17","10.82","12.12","10.41","8.73","11.15","18.5","18.8","12.92","17.35","13.56","17.52","18.77","29.96","33.53","41.05","47.5","53.88","67.40000000000001","784.51","180.13"
"shares_basic","10.552","10.507","10.479","10.453","10.435","10.434","10.434","10.434","10.434","10.434","10.434","10.376","10.244","9.619","10.222","12.01","12.01","12.01","11.938","11.141","10.057","9.816000000000001","15.532","14.528","14.528"
"shares_diluted","10.552","10.507","10.479","10.453","10.435","10.434","10.434","10.434","10.434","10.434","10.434","10.376","10.244","9.619","10.222","12.01","12.01","12.01","11.938","11.141","10.057","9.816000000000001","15.55","14.54","14.54"
"cash_and_equiv","755.9299999999999","758.987","811.657","790.168","679.683","777.928","1010.984","793.788","767.991","1203.502","460.178","590.801","639.73","533.599","604.182","534.086","539.741","336.15","327.44","376.719","362.048","9453","5543","34517","34517"
"loans_gross","7109.692","7196.177","7620.263","8326.598","9354.387000000001","9642.994000000001","10239.551","10963.904","11719.285","12885.4","13576.962","14036.328","13471.683","13180.995","18833.161","20299.756","21812.279","23648.004","25568.781","28949.365","32916.812","32101","68610","131248","131248"
"allowance_for_loan_losses","-102.655","-107.087","-112.533","-119.357","-123.861","-128.847","-132.004","-136.974","-157.569","-172.282","-227.765","-270.144","-319.018","-233.394","-204.466","-206.216","-218.795","-221.893","-223.712","-225.141","-224.314","-178","-922","-1747","-1747"
"loans_net","7007.037","7089.09","7507.73","8207.241","9230.526","9514.147000000001","10107.547","10826.93","11561.716","12713.118","13349.197","13766.184","13152.665","12947.601","18628.695","20093.54","21593.484","23426.111","25345.069","28724.224","32692.498","31923","67688","129501","129501"
"total_investments","1816.72","2791.296","2539.236","2469.447","2125.524","2929.516","3221.048","3236.835","3225.194","2932.765","4910.998","4493.22","5670.75","6247.934","8897.353999999999","8924.68","8879.272000000001","8568.183000000001","7631.768","8280.847","14434.107","13280","20189","32154","32154"
"ppe_net","444.731","483.084","507.267","539.616","568.365","639.4690000000001","702.926","757.694","798.909","837.082","842.745","854.476","882.768","876.522","1125.081","1135.829","1133.044","1138.431","1204.179","1244.396","1319.331","1297","9957","10977","10977"
"intangible_assets","","","","115.999","","113.053","110.625","108.483","3.805","6.356","9.891999999999999","7.027","3.551","1.258","106.613","90.989","78.041","73.09699999999999","72.295","68.274","50.773","42","165","337","337"
"goodwill","","","","","","","","","102.63","102.63","102.63","102.63","102.63","102.63","139.77","139.77","150.6","150.6","236.35","349.4","350.3","346","346","346","346"
"other_lt_assets","667.199","742.534","866","437.437","661.6130000000001","665.279","576.567","488.377","285.417","670.61","1131.019","1182.96","831.558","484.334","573.418","557.04","616.654","834.9400000000001","591.528","780.63600000001","748.623","1968","5410","5926","5926"
"total_assets","10691.617","11864.991","12231.89","12559.908","13265.711","14639.392","15729.697","16212.107","16745.662","18466.063","20806.659","20997.298","21283.652","21193.878","30075.113","31475.934","32990.836","34527.512","35408.629","39824.496","49957.68","58309","109298","213758","213758"
"deposits_liability","8971.868","9961.605","10439.62","10711.332","11350.798","12173.858","12743.324","12928.544","13713.763","15337.567","17635.266","17577.274","18086.025","17874.066","25678.577","26930.755","28161.343","29266.275","30672.46","34431.236","43431.609","51406","89408","145854","145854"
"st_debt","632.372","611.39","462.627","430.191","447.686","779.028","1150.847","1305.287","647.028","642.405","546.597","440.396","454.047","411.907","490.258","","10.164","90.08499999999999","","","","","1750","",""
"lt_debt","154.332","284.009","253.409","289.277","285.943","408.987","401.198","404.392","733.1319999999999","797.366","809.949","687.599","444.921","510.769","551.269","704.155","832.942","885.24","348.218","883.915","1248.163","1195","4811","37565","37565"
"other_lt_liabilities","122.317","122.944","108.943","99.80299999999801","94.974","96.460000000001","123.509","132.676","208.364","129.61","81.884999999998","430.901","434.652","325.674","667.415","968.915","973.96","951.848","898.997","923.1609999999999","1048.64","970","3667","9084","9084"
"total_liabilities","9880.888999999999","10979.948","11264.599","11530.603","12179.401","13458.333","14418.878","14770.899","15302.287","16906.948","19073.697","19136.17","19419.645","19122.416","27387.519","28603.825","29978.409","31193.448","31919.675","36238.312","45728.412","53571","99636","192503","192503"
"common_stock","11","10","10","10","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","11","10","10","15","15","15"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","339.937","340","881","881","881"
