"Company: ","First Horizon National Corporation (FHN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","14.92","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Banks","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","8208","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","6739","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","1363.046","1201.51","1042.195","1053.37","1166.802","1840.174","2329.111","2305.959","1606.725","992.939","880.2859999999999","832.437","798.953","732.053","709.249","736.405","817.909","989.9299999999999","1546","1624","1898","2158","2683","4100","4254"
"total_interest_expense","764.6950000000001","512.596","286.581","247.586","310.491","856.147","1332.174","1365.317","711.643","216.471","149.448","131.605","110.286","94.679","81.53100000000001","82.685","88.825","147.616","326","414","236","164","291","1560","1777"
"net_interest_income","598.351","688.914","755.614","805.784","856.311","984.027","996.937","940.6420000000001","895.082","776.468","730.838","700.832","688.667","637.374","627.718","653.72","729.0839999999999","842.314","1220","1210","1662","1994","2392","2540","2477"
"total_noninterest_revenue","912.674","1095.021","1311.935","1640.014","1363.189","1399.756","1166.893","859.949","1450.418","1264.026","853.907","729.903","635.7","549.251","518.963","472.271","510.589","460.725","667","608","903","996","728","615","638"
"revenue","1511.025","1783.935","2067.549","2445.798","2219.5","2383.783","2163.83","1800.591","2345.5","2040.494","1584.745","1430.735","1324.367","1186.625","1146.681","1125.991","1239.673","1303.039","1887","1818","2565","2990","3120","3155","3115"
"credit_losses_provision","67.491","93.22","92.184","86.69799999999999","48.348","67.678","83.129","272.765","1080","880","270","44","78","55","27","9","11","","8","45","503","-310","95","260","260"
"net_interest_income_after_credit_losses_provision","530.86","595.694","663.4299999999999","719.086","807.963","916.349","913.808","667.877","-184.918","-103.532","460.838","656.832","610.667","582.374","600.718","644.72","718.0839999999999","842.314","1212","1165","1159","2304","2297","2280","2217"
