"Company: ","FirstEnergy Corporation (FE:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","38.38","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Electric Utilities","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","22157","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","42921","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","7028.961","7999.362","11454","11675","11600","11358","11501","12802","13627","12973","13339","16105","15255","14892","15049","15026","10700","10928","11261","11035","10790","11132","12459","12870","12926"
"cogs","1664.393","2241.556","3310","4159","4469","4011","4253","5014","5631","5883","6056","7191","6717","6459","6996","6278","3881","3423","3647","3424","3070","3445","4593","4646","4530"
"gross_profit","5364.568","5757.806","8144","7516","7131","7347","7248","7788","7996","7090","7283","8914","8538","8433","8053","8748","6819","7505","7614","7611","7720","7687","7866","8224","8396"
"sga","","","","","","","","","3045","2697","190","507","609","","835","242","102","102","144","674","477","","","78","78"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","3859.661","4072.684","6054","5875","5339","5685","5142","5497","2508","2644","4976","6462","5795","6056","6156","6172","4722","5077","5112","5101","5558","5458","5884","5958","6233"
"total_opex","3859.661","4072.684","6054","5875","5339","5685","5142","5497","5553","5341","5166","6969","6404","6056","6991","6414","4824","5179","5256","5775","6035","5458","5884","6036","6311"
"operating_income","1504.907","1685.122","2090","1641","1792","1662","2106","2291","2443","1749","2117","1945","2134","2377","1062","2334","1995","2326","2358","1836","1685","2229","1982","2188","2085"
"net_interest_income_normal","","","","","","","","","-702","-848","-680","-938","-911","-913","-963","-1015","-918","-953","-1051","-962","-988","-1064","-955","-1027","-1060"
"other_nonoperating_income","-529.135","-555.7190000000001","-958","-809","-205","-34","-53","-99","375","334","-257","415","77","-894","72","-426","1","53","205","243","432","394","412","303","441"
"pretax_income","975.772","1129.403","1132","832","1587","1628","2053","2192","2116","1235","1180","1422","1300","570","171","893","1078","1426","1512","1117","1129","1559","1439","1464","1466"
"income_tax","-376.802","-474.457","-514","-408","-681","-749","-795","-883","-777","-245","-462","-566","-545","-195","42","-315","-527","-1715","-490","-213","-126","-320","-1000","-267","-312"
"net_income_continuing","598.97","654.946","618","424","906","879","1258","1309","1339","990","718","856","755","375","213","578","551","-289","1022","904","1003","1239","439","1197","1154"
"net_income_discontinued","","","-66","-104","-29","12","-4","","","","","13","16","17","86","","-6728","-1435","326","8","76","44","","-21","-21"
"income_allocated_to_minority_interest","-62.721","-72.06100000000001","","","","","","","3","16","24","16","-1","","","","","","","","","","-33","-74","-70"
"other_income_statement_items","62.721","63.562","","102","","-30","","","","","","","","","","","","","","","","","","",""
"net_income","598.97","646.447","552","422","877","861","1254","1309","1342","1006","742","885","770","392","299","578","-6177","-1724","1348","912","1079","1283","406","1102","1063"
"preferred_dividends","","","","","","15","","","","","","","","","","","","","367","4","","","","",""
"net_income_available_to_shareholders","598.97","646.447","552","422","877","846","1254","1309","1342","1006","742","885","770","392","299","578","-6177","-1724","981","908","1079","1283","406","1102","1063"
"eps_basic","2.69","2.82","1.89","1.39","2.68","2.62","3.84","4.27","4.41","3.31","2.44","2.22","1.85","0.9399999999999999","0.71","1.37","-14.49","-3.88","1.99","1.7","1.99","2.35","0.71","1.92","1.85"
"eps_diluted","2.69","2.81","1.88","1.39","2.67","2.61","3.81","4.22","4.38","3.29","2.42","2.21","1.84","0.9399999999999999","0.71","1.37","-14.49","-3.88","1.99","1.68","1.99","2.35","0.71","1.92","1.84"
"shares_basic","222.444","230","293","304","327.239","328","324","306","304","304","304","399","418","418","420","422","426","444","492","535","542","545","571","573","573"
"shares_diluted","222.726","230","294","305","328.464","330","327","310","307","306","305","401","419","419","421","424","426","444","494","542","543","546","572","574","574"
"cash_and_equiv","49.258","220.178","196","114","53","64","90","129","545","874","1019","202","172","218","85","131","199","588","367","627","1734","1462","160","137","137"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","918.449","1548.214","1623","1506","1356","1498","1267","1256","1304","1397","1568","1794","1929","1918","1779","1595","1615","1452","1511","1294","1439","1279","1571","1584","1584"
"inventories","283.718","397.518","427","421","458","518","577","521","605","647","638","811","861","752","817","785","564","236","252","281","317","260","421","512","512"
"other_current_assets","189.869","336.61","204","202","145","237","149","324","599","402","473","548","806","1125","677","529","572","834","262","242","224","236","263","335","335"
"total_current_assets","1441.294","2502.52","2450","2243","2012","2317","2083","2230","3053","3320","3698","3355","3768","4013","3358","3040","2950","3110","2392","2444","3714","3237","2415","2568","2568"
