"Company: ","Fiserv Inc. (FI:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","148.88","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","IT Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","88473","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","110982","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1653.606","2167.682","2389.392","2925.367","3729.746","3241","3566","3897","4587","4077","4133","4289","4436","4814","5066","5254","5505","5696","5823","10187","14852","16226","17737","19093","19429"
"cogs","397.659","936.2329999999999","476.425","681.78","1184.912","2170","2417","2618","2866","2380","2386","2504","2564","2776","2881","2909","2959","3024","3069","5309","7812","8128","7992","7670","7670"
"gross_profit","1255.947","1231.449","1912.967","2243.587","2544.834","1071","1149","1279","1721","1697","1747","1785","1872","2038","2185","2345","2546","2672","2754","4878","7040","8098","9745","11423","11759"
"sga","792.799","724.652","1344.277","1555.927","1699.911","409","484","540","813","751","740","795","824","977","975","1034","1101","1150","1228","3284","5652","5810","6059","6576","6669"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","148.842","147.696","134.389","165.838","185.363","","","","","","","","","","","","","","","","","","","",""
"total_opex","941.641","872.348","1478.666","1721.765","1885.274","409","484","540","813","751","740","795","824","977","975","1034","1101","1150","1228","3284","5652","5810","6059","6576","6669"
"operating_income","314.306","359.101","434.301","521.822","659.5599999999999","662","665","739","908","946","1007","990","1048","1061","1210","1311","1445","1522","1526","1594","1388","2288","3686","4847","5090"
"net_interest_income_normal","","","","","","","","-69","-247","-212","-188","-182","-167","-163","-163","-169","-163","-175","-203","-520","-709","-693","-733","-976","-1035"
"other_nonoperating_income","-14.271","-12.073","-9.169","-15.555","-18.194","66","-41","","-21","","-26","-85","","","","-85","-7","11","232","9","492","71","-40","27","44"
"pretax_income","300.035","347.028","425.132","506.267","641.366","728","624","670","640","734","793","723","881","898","1047","1057","1275","1358","1555","1083","1171","1666","2913","3898","4099"
