"Company: ","Five9 Inc (FIVN:US)","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","",""
"Last Close Price: ","39.54","","","","","","","","","","","","",""
"Industry: ","Software","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","",""
"Market Cap.: ","3018","","","","","","","","","","","","",""
"Enterprise Value: ","3096","","","","","","","","","","","","",""
"period_end_date","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","43.188","63.822","84.13200000000001","103.102","128.868","162.09","200.225","257.664","328.006","434.908","609.591","778.846","910.4880000000001","939.059"
"cogs","24.563","39.306","48.807","54.661","59.495","66.934","83.104","104.034","134.511","180.284","271.099","367.501","432.69","442.464"
"gross_profit","18.625","24.516","35.325","48.441","69.373","95.15600000000001","117.121","153.63","193.495","254.624","338.492","411.345","477.798","496.595"
"sga","17.197","28.354","46.118","61.861","67.864","77.81999999999999","95.721","112.449","145.038","198.182","287.845","357.133","419.792","426.877"
"rnd","8.739000000000001","13.217","17.529","22.11","22.659","23.878","27.12","34.172","45.19","68.747","106.897","141.794","156.582","159.992"
"special_charges","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","",""
"total_opex","25.936","41.571","63.647","83.971","90.523","101.698","122.841","146.621","190.228","266.929","394.742","498.927","576.374","586.869"
"operating_income","-7.311","-17.055","-28.322","-35.53","-21.15","-6.542","-5.72","7.009","3.267","-12.305","-56.25","-87.58199999999999","-98.57599999999999","-90.274"
"net_interest_income_normal","-0.457","-0.543","-1.051","-3.916","-4.627","-4.238","-2.981","-6.93","-13.794","-28.348","-8.035","-2.68","19.153","24.869"
"other_nonoperating_income","-0.04","-1.674","-1.871","1.745","","-1.026","","","6.079","-3.93","","","","6.615"
"pretax_income","-7.808","-19.272","-31.244","-37.701","-25.777","-11.806","-8.701000000000001","0.079","-4.448","-44.583","-64.285","-90.262","-79.423","-58.79"
"income_tax","-0.064","-0.062","-0.07000000000000001","-0.08500000000000001","-0.061","-0.054","-0.268","-0.3","-0.104","2.453","11.285","-4.388","-2.341","-2.803"
"net_income_continuing","-7.872","-19.334","-31.314","-37.786","-25.838","-11.86","-8.968999999999999","-0.221","-4.552","-42.13","-53","-94.65000000000001","-81.764","-61.593"
"net_income_discontinued","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","",""
"other_income_statement_items","","","","","","","1.7763568394003E-15","-2.7755575615629E-17","8.8817841970013E-16","-7.105427357601E-15","","","",""
"net_income","-7.872","-19.334","-31.314","-37.786","-25.838","-11.86","-8.968999999999999","-0.221","-4.552","-42.13","-53","-94.65000000000001","-81.764","-61.593"
"preferred_dividends","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","-7.872","-19.334","-31.314","-37.786","-25.838","-11.86","-8.968999999999999","-0.221","-4.552","-42.13","-53","-94.65000000000001","-81.764","-61.593"
"eps_basic","-0.24","-0.58","-0.68","-1","-0.52","-0.23","-0.16","","-0.08","-0.66","-0.79","-1.35","-1.13","-0.85"
"eps_diluted","-0.24","-0.58","-0.68","-1","-0.52","-0.23","-0.16","","-0.08","-0.66","-0.79","-1.35","-1.13","-0.85"
"shares_basic","33.347","33.347","46.048","37.604","50.141","52.342","54.946","58.076","60.371","64.154","67.512","69.92","72.048","72.048"
"shares_diluted","33.347","33.347","46.048","37.604","50.141","52.342","54.946","58.076","60.371","64.154","67.512","69.92","72.048","72.048"
"cash_and_equiv","","5.961","17.748","58.289","58.484","58.122","68.947","81.91200000000001","77.976","220.372","90.878","180.52","143.201","143.201"
"st_investments","","2.49","","20","","","","209.907","241.973","383.171","378.98","433.743","587.096","587.096"
"receivables","","5.441","6.97","8.335000000000001","10.567","13.881","19.048","25.127","38.48","50.028","86.324","90.895","101.53","101.53"
"inventories","","","","","","","","","","","","","",""
"other_current_assets","","0.9419999999999999","1.651","1.96","2.184","3.008","4.84","17.056","22.845","35.547","61.044","73.55200000000001","92.227","92.227"
"total_current_assets","","14.834","26.369","88.584","71.235","75.011","92.83499999999999","334.002","381.274","689.1180000000001","617.226","778.71","924.054","924.054"
"equity_and_other_investments","","","","","","","","","","42.127","147.377","2.885","2","2"
"ppe_gross","","20.68","22.017","28.197","35.703","45.026","56.752","67.36199999999999","95.96299999999999","130.868","220.039","259.875","289.711","289.711"
"accumulated_depreciation","","-9.805999999999999","-10.41","-15.626","-22.478","-30.338","-36.864","-41.477","-54.027","-70.645","-93.551","-114.534","-137.702","-137.702"
"ppe_net","","10.874","11.607","12.571","13.225","14.688","19.888","25.885","41.936","60.223","126.488","145.341","152.009","152.009"
"intangible_assets","","","3.063","2.551","2.039","1.537","1.071","0.629","15.531","51.684","39.897","28.192","38.325","38.325"
"goodwill","","","11.8","11.8","11.8","11.8","11.8","11.8","11.8","165.42","165.42","165.42","227.41","227.41"
"other_lt_assets","","0.899","3.439","1.428","0.93400000000001","2.203","2.602","22.35","31.839","55.17","96.53400000000001","123.937","150.77","150.77"
"total_assets","","26.607","56.278","116.934","99.233","105.239","128.196","394.666","482.38","1063.742","1192.942","1244.485","1494.568","1494.568"
"accounts_payable","","4.649","4.306","4.179","2.569","3.366","4.292","7.01","10.156","17.145","20.51","23.629","24.399","24.399"
"tax_payable","","0.105","0.098","0.297","1.262","1.347","1.326","1.741","1.885","1.714","2.66","2.973","3.756","3.756"
"current_accrued_liabilities","","1.575","6.659","9.455","7.877","4.89","4.281","4.928","6.455","18.962","46.13","21.814","22.448","22.448"
"st_debt","","0.415","1.522","3.146","19.712","0.742","0.336","","","","","0.169","",""
"current_deferred_revenue","","4.269","4.375","5.346","6.413","10.047","13.975","17.391","24.681","31.983","43.72","57.816","68.187","68.187"
"current_deferred_tax_liability","","","","","","","","","","","","","",""
"other_current_liabilities","","2.296","3.476","5.078","5.718","7.456","8.657","10.277","14.233","29.233","34.729","33.749","35.927","35.927"
"total_current_liabilities","","16.881","25.293","32.35","48.523","34.078","39.518","47.994","65.992","103.561","157.575","150.776","167.215","167.215"
"lt_debt","","0.016","19.595","35.278","17.327","32.912","32.594","196.763","209.604","643.316","768.599","738.376","742.125","742.125"
"noncurrent_capital_leases","","4.191","4.358","4.423","4.606","5.915","7.161","4.509","5.138","5.379","47.088","41.389","39.255","39.255"
"pension_liabilities","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","1.55","7.811","2.097","1.335","1.35","1.35"
"other_lt_liabilities","","13.586","10","3.13","2.497","2.006","2.085","2.652","3.638","24.511","6.451","2.6439999999999","6.537999999999901","6.537999999999901"
"total_liabilities","","34.674","59.246","75.181","72.953","74.911","81.358","251.918","285.922","784.578","981.8099999999999","934.52","956.4829999999999","956.4829999999999"
"common_stock","","","","","","","","","","","","","",""
"preferred_stock","","31.94","53.734","","","","","","","","","","",""
"retained_earnings","","-59.482","-90.79600000000001","-128.582","-154.42","-166.28","-175.421","-151.497","-156.049","-198.179","-228.436","-323.086","-404.85","-404.85"
"aoci","","","","","","","","-0.093","0.576","0.335","-0.287","-2.688","0.582","0.582"
"apic","","19.471","34.089","170.286","180.649","196.555","222.202","294.279","351.87","476.941","439.787","635.668","942.28","942.28"
"treasury_stock","","","","","","","","","","","","","",""
"other_equity","","0.0039999999999978","0.0050000000000061","0.04899999999999199","0.050999999999988","0.052999999999994","0.056999999999995","0.058999999999997","0.061000000000007","0.067000000000007","0.06800000000004","0.07099999999996999","0.073000000000093","0.073000000000093"
"minority_interest_liability","","","","","","","","","","","","","",""
"total_equity","","-8.067","-2.968","41.753","26.28","30.328","46.838","142.748","196.458","279.164","211.132","309.965","538.085","538.085"
"total_liabilities_and_equity","","26.607","56.278","116.934","99.233","105.239","128.196","394.666","482.38","1063.742","1192.942","1244.485","1494.568","1494.568"
"cfo_net_income","-7.872","-19.334","-31.314","-37.786","-25.838","-11.86","-8.968999999999999","-0.221","-4.552","-42.13","-53","-94.65000000000001","-81.764","-61.593"
"cfo_da","1.539","2.624","4.415","6.463","7.388","8.390000000000001","8.314","10.274","19.109","30.774","47.43","55.048","61.157","62.382"
"cfo_receivables","-1.898","-2.125","-1.574","-1.39","-2.41","-3.389","-5.163","-5.829","-12.935","-9.958","-35.986","-4.899","-9.843999999999999","-15.021"
"cfo_inventory","","","","","","","","","","","","","",""
"cfo_prepaid_expenses","-0.243","-0.35","-0.322","-0.216","-0.224","-0.859","-1.912","-2.806","-2.671","-5.313","-14.193","0.661","-3.532","-2.228"
"cfo_other_working_capital","7.223","8.503","3.926","3.279","-0.152","6.675","5.844","1.571","-13.116","-20.624","-60.387","-83.23","-93.102","-99.449"
"cfo_change_in_working_capital","5.082","6.028","2.03","1.673","-2.786","2.427","-1.231","-7.064","-28.722","-35.895","-110.566","-87.468","-106.478","-116.698"
"cfo_deferred_tax","","","","","","","","","","-3.088","-6.907","3.088","0.053","0.242"
"cfo_stock_comp","0.36","0.46","1.95","6.75","7.73","9.640000000000001","15.34","28.48","42.07","64.75","108.81","172.51","206.29","200.23"
"cfo_other_noncash_items","0.192","1.921","1.96","-1.379","0.5669999999999999","-1.759","-2.348","7.153","23.316","52.891","43.231","40.337","49.58","43.216"
"cf_cfo","-0.699","-8.301","-20.959","-24.279","-12.939","6.838","11.106","38.622","51.221","67.30200000000001","28.998","88.86499999999999","128.838","127.779"
"cfi_ppe_net","-3.142","-2.68","-0.554","-1.025","-1.116","-1.131","-2.65","-9.260999999999999","-19.228","-30.422","-42.216","-52.272","-31.234","-33.257"
"cfi_acquisitions_net","","","-2.836","","","","","","-13.89","-165.438","","-2","-80.58799999999999","0.099"
"cfi_investment_net","-3.581","1.091","2.49","-19.992","20","-1.206","","-207.488","-30.513","-186.47","-108.262","89.40000000000001","-138.203","-325.98"
"cfi_intangibles_net","","","","","","","","","","","","","",""
"cfi_other","-0.7","4.4408920985006E-16","-0.121","-0.025000000000006","0.806","-0.06","","","3.5527136788005E-14","-5.6843418860808E-14","5.6843418860808E-14","-4.165","-9.537000000000001","-91.56100000000001"
"cf_cfi","-7.423","-1.589","-1.021","-21.042","19.69","-2.397","-2.65","-216.749","-63.631","-382.33","-150.478","30.963","-259.562","-450.699"
"cff_common_stock_net","","","","71.459","","","","","","","","","",""
"cff_pfd_net","7.908","11.875","21.794","","","","","","","","","","",""
"cff_debt_net","-1.155","-2.928","12.092","12.531","-9.191000000000001","-10.494","-7.767","209.255","-7.054","524.747","-25.3","-34.067","-1.158","423.29"
"cff_dividend_paid","","","","","","","","","","","","","",""
"cff_other","3.09","1.526","-0.119","1.872","2.635","5.691","10.136","-18.163","15.528","-67.32299999999999","17.799","3.835","95.73699999999999","-0.43999999999997"
"cf_cff","9.843","10.473","33.767","85.86199999999999","-6.556","-4.803","2.369","191.092","8.474","457.424","-7.501","-30.232","94.57899999999999","422.85"
"ebitda","-5.772","-14.431","-23.907","-29.067","-13.762","1.848","2.594","17.283","22.376","18.469","-8.82","-32.534","-37.419","-27.892"
"capex","-3.142","-2.68","-0.554","-1.025","-1.116","-1.131","-2.65","-9.260999999999999","-19.228","-30.422","-42.216","-52.272","-31.234","-33.257"
"fcf","-3.841","-10.981","-21.513","-25.304","-14.055","5.707","8.456","29.361","31.993","36.88","-13.218","36.593","97.604","94.52200000000001"
"book_value","","-40.007","-56.702","41.753","26.28","30.328","46.838","142.748","196.458","279.164","211.132","309.965","538.085","483.598"
"tangible_book_value","","-40.007","-71.565","27.402","12.441","16.991","33.967","130.319","169.127","62.06","5.815","116.353","272.35","220.654"
"roa","","-1.45","-0.76","-0.44","-0.24","-0.12","-0.08","","-0.01","-0.05","-0.05","-0.08","-0.06","-0.04"
"roe","","4.79","5.68","-1.95","-0.76","-0.42","-0.23","","-0.03","-0.18","-0.22","-0.36","-0.19","-0.15"
"roic","","11.22","-3.29","-0.71","-0.34","-0.17","-0.11","","-0.01","-0.06","-0.05","-0.09","-0.07000000000000001","-0.04"
"roce","","-3.36","-1.33","-0.59","-0.27","-0.09","-0.07000000000000001","0.03","0.01","-0.02","-0.06","-0.08","-0.08","-0.06"
"rotce","","-3.36","-2.04","-0.78","-0.33","-0.11","-0.08","0.03","0.01","-0.02","-0.07000000000000001","-0.1","-0.1","-0.08"
"gross_margin","0.43","0.38","0.42","0.47","0.54","0.59","0.58","0.6","0.59","0.59","0.5600000000000001","0.53","0.52","0.53"
"ebitda_margin","-0.13","-0.23","-0.28","-0.28","-0.11","0.01","0.01","0.07000000000000001","0.07000000000000001","0.04","-0.01","-0.04","-0.04","-0.03"
"operating_margin","-0.17","-0.27","-0.34","-0.34","-0.16","-0.04","-0.03","0.03","0.01","-0.03","-0.09","-0.11","-0.11","-0.1"
"pretax_margin","-0.18","-0.3","-0.37","-0.37","-0.2","-0.07000000000000001","-0.04","","-0.01","-0.1","-0.11","-0.12","-0.09","-0.06"
"net_income_margin","-0.18","-0.3","-0.37","-0.37","-0.2","-0.07000000000000001","-0.04","","-0.01","-0.1","-0.09","-0.12","-0.09","-0.07000000000000001"
"fcf_margin","-0.09","-0.17","-0.26","-0.25","-0.11","0.04","0.04","0.11","0.1","0.08","-0.02","0.05","0.11","0.1"
"assets_to_equity","","-3.3","-18.96","2.8","3.78","3.47","2.74","2.76","2.46","3.81","5.65","4.01","2.78","3.87"
"equity_to_assets","","-0.3","-0.05","0.36","0.26","0.29","0.37","0.36","0.41","0.26","0.18","0.25","0.36","0.26"
