"Company: ","Fortune Brands Innovations Inc. (FBIN:US)","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","",""
"Last Close Price: ","63.88","","","","","","","","","","","","","","",""
"Industry: ","Building Products","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","",""
"Market Cap.: ","8395","","","","","","","","","","","","","","",""
"Enterprise Value: ","11080","","","","","","","","","","","","","","",""
"period_end_date","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3006.8","3233.5","3328.6","3134.8","3703.6","4013.6","4579.4","4984.9","5283.3","5485.1","5764.6","3621.3","4801.1","4723","4626.2","4695.8"
"cogs","2104.3","2177.1","2332.1","2093.2","2408.5","2646.7","2997.5","3188.8","3358.3","3525.7","3712.2","2157.4","2840.6","2790.1","2714.8","2705.1"
"gross_profit","902.5","1056.4","996.5","1041.6","1295.1","1366.9","1581.9","1796.1","1925","1959.4","2052.4","1463.9","1960.5","1932.9","1911.4","1990.7"
"sga","815.2","834.3","900.6","873.1","938.7","943.3","1047.6","1121.3","1187.3","1234.9","1288.2","847.5","1086.6","1069.2","1166.8","1217.6"
"rnd","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","",""
"other_opex","16.1","15.7","14.4","7.4","9.4","13.1","21.6","28.1","31.7","36.1","41.4","24.2","46.4","48.3","62.1","67.3"
"total_opex","831.3","850","915","880.5","948.1","956.4","1069.2","1149.4","1219","1271","1329.6","871.7","1133","1117.5","1228.9","1284.9"
"operating_income","71.2","206.4","81.5","161.1","347","410.5","512.7","646.7","706","688.4","722.8","592.2","827.5","815.4","682.5","705.8"
