"Company: ","Fox Corp Class B (FOX:US)","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","",""
"Last Close Price: ","32.21","","","","","","","",""
"Industry: ","Media","","","","","","","",""
"Currency: ","USD","","","","","","","",""
"Country: ","US","","","","","","","",""
"Market Cap.: ","15522","","","","","","","",""
"Enterprise Value: ","18927","","","","","","","",""
"period_end_date","2016-06","2017-06","2018-06","2019-06","2020-06","2021-06","2022-06","2023-06","TTM"
"revenue","8894","9921","10153","11389","12303","12909","13974","14913","13920"
"cogs","","","","","","","","",""
"gross_profit","8894","9921","10153","11389","12303","12909","13974","14913","13920"
"sga","1191","1117","1262","1419","1741","1807","1920","2049","2008"
"rnd","","","","","","","","",""
"special_charges","","","","","","","","",""
"other_opex","5729","6269","6676","7539","8065","8337","9480","10100","9477"
"total_opex","6920","7386","7938","8958","9806","10144","11400","12149","11485"
"operating_income","1974","2535","2215","2431","2497","2765","2574","2764","2435"
"net_interest_income_normal","-18","-23","-43","-162","-334","-391","-371","-218","-204"
"other_nonoperating_income","-113","-271","-2","-45","-699","544","-509","-810","-73"
"pretax_income","1843","2241","2170","2224","1464","2918","1694","1736","2158"
"income_tax","-736","-832","58","-581","-402","-717","-461","-483","-555"
"net_income_continuing","1107","1409","2228","1643","1062","2201","1233","1253","1603"
"net_income_discontinued","","","","","","","","",""
"income_allocated_to_minority_interest","-35","-37","-41","-48","-63","-51","-28","-14","-46"
"other_income_statement_items","","","","","","","","",""
"net_income","1072","1372","2187","1595","999","2150","1205","1239","1557"
"preferred_dividends","","","","","","","","",""
"net_income_available_to_shareholders","1072","1372","2187","1595","999","2150","1205","1239","1557"
"eps_basic","1.73","2.21","3.53","2.57","1.63","3.64","2.13","2.34","3.21"
"eps_diluted","1.73","2.21","3.53","2.57","1.62","3.61","2.11","2.33","3.19"
"shares_basic","620","620","620","621","613","591","566","529","529"
"shares_diluted","620","620","620","621","616","595","570","531","531"
"cash_and_equiv","","19","2500","3234","4645","5886","5200","4272","4272"
"st_investments","","","","","","","","",""
"receivables","","1693","1833","1967","1888","2029","2128","2177","2177"
"inventories","","1052","1180","1129","856","729","791","543","543"
"other_current_assets","","43","67","148","97","105","162","265","265"
"total_current_assets","","2807","5580","6478","7486","8749","8281","7257","7257"
"equity_and_other_investments","","54","275","1114","618","899","578","1034","1034"
"ppe_gross","","2693","2827","3080","3850","3909","3888","4621","4621"
"accumulated_depreciation","","-1570","-1658","-1767","-1813","-1732","-1729","-1966","-1966"
"ppe_net","","1123","1169","1313","2037","2177","2159","2655","2655"
"intangible_assets","","3121","2866","2851","3198","3154","3157","3084","3084"
"goodwill","","2750","2747","2691","3409","3435","3554","3559","3559"
"other_lt_assets","","493","484","5062","5002","4512","4456","4277","4277"
"total_assets","","10348","13121","19509","21750","22926","22185","21866","21866"
"accounts_payable","","","","","","","","",""
"tax_payable","","722","553","","","","","",""
"current_accrued_liabilities","","495","530","835","907","1077","992","1028","1028"
"st_debt","","","","","","749","","1249","1249"
"current_deferred_revenue","","128","147","169","152","196","209","160","160"
"current_deferred_tax_liability","","","","","","","","",""
"other_current_liabilities","","697","529","708","725","888","988","1254","1254"
"total_current_liabilities","","2042","1759","1712","1906","3002","2296","3763","3763"
"lt_debt","","","","6751","7946","7202","7206","5961","5961"
"noncurrent_capital_leases","","","","","452","409","405","925","925"
"pension_liabilities","","272","244","543","709","586","447","361","361"
"noncurrent_deferred_revenue","","1554","1071","","","","","",""
"other_lt_liabilities","","233","178","356","321","341","268","198","198"
"total_liabilities","","4101","3252","9362","11334","11540","10622","11208","11208"
"common_stock","","","","7","6","6","6","5","5"
"preferred_stock","","","","","","","","",""
"retained_earnings","","","","357","674","1982","2461","2269","2269"
"aoci","","-59","81","-308","-417","-318","-226","-149","-149"
"apic","","","","9891","9831","9453","9098","8253","8253"
"treasury_stock","","","","","","","","",""
"other_equity","","6152","9513","","","","","",""
"minority_interest_liability","","154","275","200","322","263","224","280","280"
"total_equity","","6247","9869","10147","10416","11386","11563","10658","10658"
"total_liabilities_and_equity","","10348","13121","19509","21750","22926","22185","21866","21866"
"cfo_net_income","1107","1409","2228","1643","1062","2201","1233","1253","1603"
"cfo_da","170","169","171","212","258","300","363","411","394"
"cfo_receivables","-218","-172","-166","-166","224","-269","-79","-104","271"
"cfo_inventory","-252","21","-228","197","181","190","-301","145","-297"
"cfo_prepaid_expenses","","","","","","","","",""
"cfo_other_working_capital","-66","-217","-193","133","-185","58","-303","-311","-138"
"cfo_change_in_working_capital","-536","-368","-587","164","220","-21","-683","-270","-164"
"cfo_deferred_tax","139","92","-603","386","283","534","342","321","239"
"cfo_stock_comp","","","","36","137","147","102","74","88"
"cfo_other_noncash_items","217","353","108","83","405","-522","527","11","-726"
"cf_cfo","1097","1655","1317","2524","2365","2639","1884","1800","1434"
"cfi_ppe_net","-107","-191","-215","-235","-359","-484","-307","-357","-353"
"cfi_acquisitions_net","","","354","","-1001","42","-160","",""
"cfi_investment_net","","-13","","-338","246","-86","-28","-54","-98"
"cfi_intangibles_net","","","","","","","","",""
"cfi_other","-61","-38","-11","-64","14","","-18","-27","7"
"cf_cfi","-168","-242","128","-637","-1100","-528","-513","-438","-444"
"cff_common_stock_net","","","","","-600","-1001","-1000","-2000","-1000"
"cff_pfd_net","","","","","","","","",""
"cff_debt_net","","","","6750","1191","","-750","","-1250"
"cff_dividend_paid","-36","-35","-41","-6688","-335","-330","-307","-299","-280"
"cff_other","-877","-1396","1077","-1215","-110","461","","9","1185"
"cf_cff","-913","-1431","1036","-1153","146","-870","-2057","-2290","-1345"
"ebitda","2144","2704","2386","2643","2755","3065","2937","3175","2829"
"capex","-107","-191","-215","-235","-359","-484","-307","-357","-353"
"fcf","990","1464","1102","2289","2006","2155","1577","1443","1081"
"book_value","","6247","9869","10147","10416","11386","11563","10658","10925"
"tangible_book_value","","376","4256","4605","3809","4797","4852","4015","4333"
"roa","","0.27","0.19","0.1","0.05","0.1","0.05","0.06","0.07000000000000001"
"roe","","0.44","0.27","0.16","0.1","0.2","0.11","0.11","0.15"
"roic","","0.43","0.26","0.12","0.06","0.11","0.06","0.06","0.08"
"roce","","0.61","0.23","0.17","0.13","0.14","0.13","0.14","0.13"
"rotce","","2.08","0.54","0.27","0.2","0.2","0.19","0.21","0.19"
"gross_margin","1","1","1","1","1","1","1","1","1"
"ebitda_margin","0.24","0.27","0.24","0.23","0.22","0.24","0.21","0.21","0.2"
"operating_margin","0.22","0.26","0.22","0.21","0.2","0.21","0.18","0.19","0.17"
"pretax_margin","0.21","0.23","0.21","0.2","0.12","0.23","0.12","0.12","0.16"
"net_income_margin","0.12","0.14","0.22","0.14","0.08","0.17","0.09","0.08","0.11"
"fcf_margin","0.11","0.15","0.11","0.2","0.16","0.17","0.11","0.1","0.08"
"assets_to_equity","","1.66","1.33","1.92","2.09","2.01","1.92","2.05","1.99"
"equity_to_assets","","0.6","0.75","0.52","0.48","0.5","0.52","0.49","0.5"
"debt_to_equity","","","","0.67","0.8100000000000001","0.73","0.66","0.76","0.74"
"debt_to_assets","","","","0.35","0.39","0.36","0.34","0.37","0.37"
"revenue_per_share","14.35","16","16.38","18.34","19.97","21.7","24.52","28.08","28.51"
"ebitda_per_share","3.46","4.36","3.85","4.26","4.47","5.15","5.15","5.98","5.78"
"operating_income_per_share","3.18","4.09","3.57","3.91","4.05","4.65","4.52","5.21","4.97"
"pretax_income_per_share","2.97","3.61","3.5","3.58","2.38","4.9","2.97","3.27","4.43"
"fcf_per_share","1.6","2.36","1.78","3.69","3.26","3.62","2.77","2.72","2.25"
"book_value_per_share","","10.08","15.92","16.34","16.91","19.14","20.29","20.07","23"
"tangible_book_per_share","","0.61","6.86","7.42","6.18","8.06","8.51","7.56","9.119999999999999"
"payout_ratio","","","","0.09","0.28","0.13","0.23","0.21","0.16"
"revenue_growth","","0.12","0.02","0.12","0.08","0.05","0.08","0.07000000000000001",""
"gross_profit_growth","","0.12","0.02","0.12","0.08","0.05","0.08","0.07000000000000001",""
"ebitda_growth","","0.26","-0.12","0.11","0.04","0.11","-0.04","0.08",""
"operating_income_growth","","0.28","-0.13","0.1","0.03","0.11","-0.07000000000000001","0.07000000000000001",""
"pretax_income_growth","","0.22","-0.03","0.02","-0.34","0.99","-0.42","0.02",""
"net_income_growth","","0.28","0.59","-0.27","-0.37","1.15","-0.44","0.03",""
"eps_diluted_growth","","0.28","0.59","-0.27","-0.37","1.23","-0.42","0.1",""
"shares_diluted_growth","","","","","-0.01","-0.03","-0.04","-0.07000000000000001",""
"cash_and_equiv_growth","","","130.58","0.29","0.44","0.27","-0.12","-0.18",""
"ppe_growth","","","0.04","0.12","0.55","0.07000000000000001","-0.01","0.23",""
"total_assets_growth","","","0.27","0.49","0.11","0.05","-0.03","-0.01",""
"total_equity_growth","","","0.58","0.03","0.03","0.09","0.02","-0.08",""
"cfo_growth","","0.51","-0.2","0.92","-0.06","0.12","-0.29","-0.04",""
"capex_growth","","-0.79","-0.13","-0.09","-0.53","-0.35","0.37","-0.16",""
"fcf_growth","","0.48","-0.25","1.08","-0.12","0.07000000000000001","-0.27","-0.08",""
"shares_eop","620","620","620","620.596","604.687","576.183","550.619","498.48","466.73"
"dividends","","","","0.23","0.46","0.46","0.48","0.5","0.52"
"price_to_earnings","","","","14.21","16.25","9.43","13.57","12.83","8.609999999999999"
"price_to_book","","","","2.23","1.56","1.78","1.41","1.49","1.23"
"price_to_sales","","","","1.99","1.32","1.57","1.17","1.07","0.96"
"price_to_tangible_book","","","","4.92","4.26","4.23","3.37","3.96","3.09"
"price_to_fcf","","","","9.9","8.09","9.41","10.37","11.02","12.39"
"market_cap","","","","22670.37188","16229.79908","20281.6416","16353.3843","15896.5272","13398.22404"
"period_end_price","","","","36.53","26.84","35.2","29.7","31.89","31.89"
