"Company: ","Freeport-McMoran Copper & Gold Inc (FCX:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","49.88","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Metals & Mining","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","72370","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","75818","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","1868.61","1838.866","1910.462","2212.165","2371.866","4179","5791","16939","17796","15040","18982","20880","18010","20921","20001","14607","14830","16403","18628","14402","14198","22845","22780","22855","23787"
"cogs","1019.771","952.629","941.574","1077.775","1458.955","1646","2537","9773","12980","8139","9371","10920","11561","14637","18494","27415","17534","11980","13466","13125","11655","14030","15089","15695","16570"
"gross_profit","848.8390000000001","886.237","968.888","1134.39","912.9109999999999","2533","3254","7166","4816","6901","9611","9960","6449","6284","1507","-12808","-2704","4423","5162","1277","2543","8815","7691","7160","7217"
"sga","70.95","59.422","68.30500000000001","80.279","89.92700000000001","104","157","466","269","321","381","415","431","657","580","558","597","477","422","394","370","383","420","479","497"
"rnd","","","","","","","","145","292","90","","271","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","283.556","283.889","260.446","196.214","119.408","252","196","","","-90","162","134","263","276","225","185","77","337","194","209","209","146","236","456","462"
"total_opex","354.506","343.311","328.751","276.493","209.335","356","353","611","561","321","543","820","694","933","805","743","674","814","616","603","579","529","656","935","959"
"operating_income","494.333","542.926","640.1369999999999","857.897","703.576","2177","2901","6555","4255","6580","9068","9140","5755","5351","702","-13551","-3378","3609","4546","674","1964","8286","7035","6225","6258"
"net_interest_income_normal","","","","","","","","-513","-584","-586","-462","-312","-186","-518","-606","-617","-755","-801","-945","-620","-598","-602","-560","-515","-453"
