"Company: ","Frontier Communications Parent Inc (FYBR:US)","","","","",""
"Exchange: ","NASDAQ","","","","",""
"Last Close Price: ","25.22","","","","",""
"Industry: ","Diversified Telecommunication Services","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","6221","","","","",""
"Enterprise Value: ","15940","","","","",""
"period_end_date","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","8107","7155","","5733","5676","5704"
"cogs","3057","2701","","2169","2125","2105"
"gross_profit","5050","4454","","3564","3551","3599"
"sga","1804","1648","","1745","1646","1657"
"rnd","","","","","",""
"special_charges","","","","","",""
"other_opex","1780","1598","","1128","1340","1404"
"total_opex","3584","3246","","2873","2986","3061"
"operating_income","1466","1208","","691","565","538"
"net_interest_income_normal","-1526","-758","","-450","-566","-627"
"other_nonoperating_income","-6462","-936","","358","118","205"
"pretax_income","-6522","-486","","599","117","116"
"income_tax","611","84","","-158","-88","-89"
"net_income_continuing","-5911","-402","","441","29","27"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","","","","","",""
"net_income","-5911","-402","","441","29","27"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","-5911","-402","","441","29","27"
"eps_basic","-24.19","-1.65","","1.8","0.12","0.11"
"eps_diluted","-24.19","-1.65","","1.8","0.12","0.11"
"shares_basic","244.4","244.4","","244.781","245.517","245.517"
"shares_diluted","244.4","244.4","244.4","245.28","248.459","248.459"
"cash_and_equiv","","1829","2127","322","1125","1125"
"st_investments","","","","1750","1075","1075"
"receivables","","638","458","438","446","446"
"inventories","","","","","",""
"other_current_assets","","187","103","87","135","135"
"total_current_assets","","2654","2688","2597","2781","2781"
"equity_and_other_investments","","","","","",""
"ppe_gross","","27695","9707","13186","16324","16324"
"accumulated_depreciation","","-14764","-508","-1336","-2391","-2391"
"ppe_net","","12931","9199","11850","13933","13933"
"intangible_assets","","677","4227","3906","3585","3585"
"goodwill","","","","","",""
"other_lt_assets","","533","367","271","394","394"
"total_assets","","16795","16481","18624","20693","20693"
"accounts_payable","","540","535","1410","1103","1103"
"tax_payable","","204","183","137","118","118"
"current_accrued_liabilities","","47","76","104","126","126"
"st_debt","","5781","15","15","15","15"
"current_deferred_revenue","","202","197","194","182","182"
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","","366","445","435","731","731"
"total_current_liabilities","","7140","1451","2295","2275","2275"
"lt_debt","","","7968","9110","11246","11246"
"noncurrent_capital_leases","","","","","",""
"pension_liabilities","","2195","1672","1044","697","697"
"noncurrent_deferred_revenue","","343","387","558","643","643"
"other_lt_liabilities","","12017","403","483","553","553"
"total_liabilities","","21695","11881","13490","15414","15414"
"common_stock","","27","2","2","2","2"
"preferred_stock","","","","","",""
"retained_earnings","","-8975","414","855","884","884"
"aoci","","-755","60","79","96","96"
"apic","","4817","4124","4198","4297","4297"
"treasury_stock","","-14","","","",""
"other_equity","","","","","",""
"minority_interest_liability","","","","","",""
"total_equity","","-4900","4600","5134","5279","5279"
"total_liabilities_and_equity","","16795","16481","18624","20693","20693"
"cfo_net_income","-5911","-402","","441","29","27"
"cfo_da","1780","1598","","1182","1415","1473"
"cfo_receivables","48","73","","-7","-43","-54"
"cfo_inventory","","","","","",""
"cfo_prepaid_expenses","-5","-41","","47","5","32"
"cfo_other_working_capital","-122","342","","-605","-270","-412"
"cfo_change_in_working_capital","-79","374","","-565","-308","-434"
"cfo_deferred_tax","-619","-91","","164","78",""
"cfo_stock_comp","15","3","","82","108","110"
"cfo_other_noncash_items","6322","507","","97","22","114"
"cf_cfo","1508","1989","","1401","1344","1290"
"cfi_ppe_net","-1226","-1181","","-2738","-3211","-2723"
"cfi_acquisitions_net","","1131","","","",""
"cfi_investment_net","","","","-1750","613","613"
"cfi_intangibles_net","","","","","",""
"cfi_other","92","31","","20","42","44"
"cf_cfi","-1134","-19","","-4468","-2556","-2066"
"cff_common_stock_net","","","","","",""
"cff_pfd_net","","","","","",""
"cff_debt_net","81","-770","","1237","2215","1463"
"cff_dividend_paid","","","","","",""
"cff_other","-49","-123","","-26","-86","-482"
"cf_cff","32","-893","","1211","2129","981"
"ebitda","3246","2806","","1873","1980","2011"
"capex","-1226","-1181","","-2738","-3211","-2723"
"fcf","282","808","","-1337","-1867","-1433"
"book_value","","-4900","4600","5134","5279","5259"
"tangible_book_value","","-5577","373","1228","1694","1754"
"roa","","-0.05","","0.03","",""
"roe","","0.16","","0.09","0.01","0.01"
"roic","","-0.91","","0.03","",""
"roce","","0.16","","0.04","0.03","0.03"
"rotce","","0.16","","0.06","0.04","0.04"
"gross_margin","0.62","0.62","","0.62","0.63","0.63"
"ebitda_margin","0.4","0.39","","0.33","0.35","0.35"
"operating_margin","0.18","0.17","","0.12","0.1","0.09"
"pretax_margin","-0.8","-0.07000000000000001","","0.1","0.02","0.02"
"net_income_margin","-0.73","-0.06","","0.08","0.01",""
"fcf_margin","0.03","0.11","","-0.23","-0.33","-0.25"
"assets_to_equity","","-3.43","3.58","3.63","3.92","3.84"
"equity_to_assets","","-0.29","0.28","0.28","0.26","0.26"
"debt_to_equity","","-1.18","1.74","1.78","2.13","2.14"
"debt_to_assets","","0.34","0.48","0.49","0.54","0.5600000000000001"
"revenue_per_share","33.17","29.28","","23.37","22.84","23.01"
"ebitda_per_share","13.28","11.48","","7.64","7.97","8.109999999999999"
"operating_income_per_share","6","4.94","","2.82","2.27","2.17"
"pretax_income_per_share","-26.69","-1.99","","2.44","0.47","0.46"
"fcf_per_share","1.15","3.31","","-5.45","-7.51","-5.82"
"book_value_per_share","","-20.05","18.82","20.93","21.25","21.29"
"tangible_book_per_share","","-22.82","1.53","5.01","6.82","7.1"
"payout_ratio","","","","","",""
"revenue_growth","","-0.12","-1","","-0.01",""
"gross_profit_growth","","-0.12","-1","","",""
"ebitda_growth","","-0.14","-1","","0.06",""
"operating_income_growth","","-0.18","-1","","-0.18",""
"pretax_income_growth","","0.93","1","","-0.8",""
"net_income_growth","","0.93","1","","-0.93",""
"eps_diluted_growth","","0.93","1","","-0.93",""
"shares_diluted_growth","","","","","0.01",""
"cash_and_equiv_growth","","","0.16","-0.85","2.49",""
"ppe_growth","","","-0.29","0.29","0.18",""
"total_assets_growth","","","-0.02","0.13","0.11",""
"total_equity_growth","","","1.94","0.12","0.03",""
"cfo_growth","","0.32","-1","","-0.04",""
"capex_growth","","0.04","1","","-0.17",""
"fcf_growth","","1.87","-1","","-0.4",""
"shares_eop","244.4","244.4","244.416","245.021","245.813","248.55"
"dividends","","","","","",""
"price_to_earnings","","","","14.16","214.79","225.53"
"price_to_book","","","1.57","1.22","1.18","1.16"
"price_to_sales","","","","1.09","1.1","1.07"
"price_to_tangible_book","","","19.32","5.08","3.68","3.47"
"price_to_fcf","","","","-4.67","-3.34","-4.25"
"market_cap","","","7207.82784","6243.13508","6228.90142","6089.4015"
"period_end_price","","","29.49","25.48","25.34","25.34"
