"Company: ","GE Aerospace (GE:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","159.73","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Industrial Conglomerates","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","175728","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","173037","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","129853","126416","132210","112886","134291","136580","151568","172488","181581","155278","148416","141479","144121","110137","116406","115158","119468","99279","97012","90221","75834","56469","58099","67954","69520"
"cogs","51823","49097","52856","51206","61759","59784","66773","73125","83772","75921","71713","68278","74310","79841","83704","82693","87652","75593","69403","64852","57871","43378","44272","50392","51282"
"gross_profit","78030","77319","79354","61680","72532","76796","84795","99363","97809","79357","76703","73201","69811","30296","32702","32465","31816","23686","27609","25369","17963","13091","13827","17562","18238"
"sga","45392","43727","46837","29549","36003","36652","38704","43642","45048","40426","41116","","29694","17945","16848","17831","17638","26425","17433","17100","14989","10351","11765","12081","12151"
"rnd","","","","","","","","","","","","","","","","","","","3415","3118","2565","1682","1786","1907","1984"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","2045","2481","3084","3752","3888","3239","3062","4431","7233","10627","-34031","3930","10733","","","","","","","","","","","",""
"total_opex","47437","46208","49921","33301","39891","39891","41766","48073","52281","51053","7085","3930","40427","17945","16848","17831","17638","26425","20848","20218","17554","12033","13551","13988","14135"
"operating_income","30593","31111","29433","28379","32641","36905","43029","51290","45528","28304","69618","69271","29384","12351","15854","14634","14178","-2739","6761","5151","409","1058","276","3574","4103"
"net_interest_income_normal","-11720","-11062","-10216","-10460","-11616","-14811","-18879","-23762","-25758","-18309","-15404","-14216","-12211","-2754","-2800","-3398","-4761","-4297","-4204","-1420","-3515","-1205","-1003","-379","-322"
"other_nonoperating_income","-427","-348","-326","-308","-728","-916","-862","","","","-40027","-34896","208","-497","-2791","-3050","-2386","-4309","-23544","-3785","9076","-5548","-72","6996","1784"
"pretax_income","18446","19701","18891","17611","20297","21178","23288","27528","19770","9995","14187","20159","17381","9100","10263","8186","7031","-11345","-20987","-54","5970","-5695","-799","10191","5565"
"income_tax","-5711","-5573","-3758","-3845","-3696","-3824","-3944","-4155","-1102","1148","-1039","-5745","-2534","-1219","-773","-6485","1133","2808","-93","-552","487","757","3","-1162","-1210"
