"Company: ","GXO Logistics Inc (GXO:US)","","","","","",""
"Exchange: ","NYSE","","","","","",""
"Last Close Price: ","48.46","","","","","",""
"Industry: ","Air Freight & Logistics","","","","","",""
"Currency: ","USD","","","","","",""
"Country: ","US","","","","","",""
"Market Cap.: ","5893","","","","","",""
"Enterprise Value: ","6981","","","","","",""
"period_end_date","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","6065","6094","6195","7940","8993","9778","9911"
"cogs","5378","5414","5492","6972","7772","8396","8555"
"gross_profit","687","680","703","968","1221","1382","1356"
"sga","528","514","611","714","886","998","989"
"rnd","","","","","","",""
"special_charges","","","","","","",""
"other_opex","","","","","","",""
"total_opex","528","514","611","714","886","998","989"
"operating_income","159","166","92","254","335","384","367"
"net_interest_income_normal","-30","-33","-24","-21","-29","-53","-61"
"other_nonoperating_income","-3","-15","-74","-80","-42","-65","-115"
"pretax_income","126","118","-6","153","264","266","191"
"income_tax","-36","-37","-16","8","-64","-33","-20"
"net_income_continuing","90","81","-22","161","200","233","171"
"net_income_discontinued","","","","","","",""
"income_allocated_to_minority_interest","-20","-21","-9","-8","-3","-4","-4"
"other_income_statement_items","","","","","","",""
"net_income","70","60","-31","153","197","229","167"
"preferred_dividends","","","","","","",""
"net_income_available_to_shareholders","70","60","-31","153","197","229","167"
"eps_basic","0.61","0.52","-0.27","1.33","1.68","1.93","1.4"
"eps_diluted","0.61","0.52","-0.27","1.32","1.67","1.92","1.39"
"shares_basic","114.602","114.602","114.602","114.632","117.05","118.908","118.908"
"shares_diluted","114.602","114.602","114.602","115.597","117.616","119.49","119.49"
"cash_and_equiv","","200","328","333","495","468","468"
"st_investments","","","","","","",""
"receivables","","1069","1224","1507","1647","1753","1753"
"inventories","","","","","","",""
"other_current_assets","","219","284","259","286","347","347"
"total_current_assets","","1488","1836","2099","2428","2568","2568"
"equity_and_other_investments","","","","","","",""
"ppe_gross","","2885","3126","3763","4484","4699","4699"
"accumulated_depreciation","","-685","-922","-1128","-1297","-1545","-1545"
"ppe_net","","2200","2204","2635","3187","3154","3154"
"intangible_assets","","343","299","257","570","567","567"
"goodwill","","1984","2063","2017","2728","2891","2891"
"other_lt_assets","","136","146","263","306","327","327"
"total_assets","","6151","6548","7271","9219","9507","9507"
"accounts_payable","","413","415","624","717","709","709"
"tax_payable","","87","141","135","135","136","136"
"current_accrued_liabilities","","522","643","863","860","830","830"
"st_debt","","31","58","34","67","27","27"
"current_deferred_revenue","","","","","","",""
"current_deferred_tax_liability","","","","","","",""
"other_current_liabilities","","94","149","220","193","327","327"
"total_current_liabilities","","1483","1738","2329","2532","2626","2626"
"lt_debt","","642","615","927","1739","1620","1620"
"noncurrent_capital_leases","","1124","1099","1391","1853","1842","1842"
"pension_liabilities","","","","","","",""
"noncurrent_deferred_revenue","","85","","","","",""
"other_lt_liabilities","","120","148","234","417","473","473"
"total_liabilities","","3454","3600","4881","6541","6561","6561"
"common_stock","","","","1","1","1","1"
"preferred_stock","","","","","","",""
"retained_earnings","","","","126","323","552","552"
"aoci","","-66","58","-130","-254","-239","-239"
"apic","","","","2354","2575","2598","2598"
"treasury_stock","","","","","","",""
"other_equity","","2633","2765","","","",""
"minority_interest_liability","","130","125","39","33","34","34"
"total_equity","","2697","2948","2390","2678","2946","2946"
"total_liabilities_and_equity","","6151","6548","7271","9219","9507","9507"
"cfo_net_income","90","81","-22","161","200","233","171"
"cfo_da","261","302","323","335","329","361","370"
"cfo_receivables","39","-173","-122","-243","-71","-17","-4"
"cfo_inventory","","","","","","",""
"cfo_prepaid_expenses","","","","","","",""
"cfo_other_working_capital","-75","-103","156","246","75","-36","6"
"cfo_change_in_working_capital","-36","-276","34","3","4","-53","2"
"cfo_deferred_tax","","-2","-27","-48","-7","-41","-36"
"cfo_stock_comp","","23","25","28","33","35","34"
"cfo_other_noncash_items","20","17","","-24","-17","23","28"
"cf_cfo","335","145","333","455","542","558","569"
"cfi_ppe_net","-240","15","12","11","40","18","15"
"cfi_acquisitions_net","","","-30","32","-876","-149","-15"
"cfi_investment_net","","","","","21","-3",""
"cfi_intangibles_net","","","","","","",""
"cfi_other","","-162","-262","-250","-334","-276","-410"
"cf_cfi","-240","-147","-280","-207","-1149","-410","-410"
"cff_common_stock_net","","","","","","",""
"cff_pfd_net","","","","","","",""
"cff_debt_net","-92","-115","-99","722","802","-169","-148"
"cff_dividend_paid","","","","","","",""
"cff_other","54","13","166","-963","-15","-17","-17"
"cf_cff","-38","-102","67","-241","787","-186","-165"
"ebitda","420","468","415","589","664","745","737"
"capex","-240","15","12","11","40","18","15"
"fcf","95","160","345","466","582","576","584"
"book_value","","2697","2948","2390","2678","2946","2903"
"tangible_book_value","","370","586","116","-620","-512","-509"
"roa","","0.02","","0.02","0.02","0.02","0.02"
"roe","","0.04","-0.01","0.06","0.08","0.08","0.06"
"roic","","0.03","-0.01","0.03","0.04","0.04","0.03"
"roce","","0.07000000000000001","0.02","0.05","0.06","0.06","0.05"
"rotce","","0.14","0.04","0.1","0.11","0.11","0.11"
"gross_margin","0.11","0.11","0.11","0.12","0.14","0.14","0.14"
"ebitda_margin","0.07000000000000001","0.08","0.07000000000000001","0.07000000000000001","0.07000000000000001","0.08","0.07000000000000001"
"operating_margin","0.03","0.03","0.01","0.03","0.04","0.04","0.04"
"pretax_margin","0.02","0.02","","0.02","0.03","0.03","0.02"
"net_income_margin","0.01","0.01","-0.01","0.02","0.02","0.02","0.02"
"fcf_margin","0.02","0.03","0.06","0.06","0.06","0.06","0.06"
"assets_to_equity","","2.28","2.22","3.04","3.44","3.23","3.23"
"equity_to_assets","","0.44","0.45","0.33","0.29","0.31","0.31"
"debt_to_equity","","0.67","0.6","0.98","1.37","1.18","1.2"
"debt_to_assets","","0.29","0.27","0.32","0.4","0.37","0.37"
"revenue_per_share","52.92","53.18","54.06","68.69","76.45999999999999","81.83","82.93000000000001"
"ebitda_per_share","3.66","4.08","3.62","5.1","5.65","6.23","6.17"
"operating_income_per_share","1.39","1.45","0.8","2.2","2.85","3.21","3.07"
"pretax_income_per_share","1.1","1.03","-0.05","1.32","2.24","2.23","1.6"
"fcf_per_share","0.83","1.4","3.01","4.03","4.95","4.82","4.88"
"book_value_per_share","","23.53","25.72","20.68","22.77","24.65","24.34"
"tangible_book_per_share","","3.23","5.11","1","-5.27","-4.28","-4.27"
"payout_ratio","","","","","","",""
"revenue_growth","","","0.02","0.28","0.13","0.09",""
"gross_profit_growth","","-0.01","0.03","0.38","0.26","0.13",""
"ebitda_growth","","0.11","-0.11","0.42","0.13","0.12",""
"operating_income_growth","","0.04","-0.45","1.76","0.32","0.15",""
"pretax_income_growth","","-0.06","-1.05","26.5","0.73","0.01",""
"net_income_growth","","-0.14","-1.52","5.94","0.29","0.16",""
"eps_diluted_growth","","-0.14","-1.52","5.87","0.27","0.15",""
"shares_diluted_growth","","","","0.01","0.02","0.02",""
"cash_and_equiv_growth","","","0.64","0.02","0.49","-0.05",""
"ppe_growth","","","","0.2","0.21","-0.01",""
"total_assets_growth","","","0.06","0.11","0.27","0.03",""
"total_equity_growth","","","0.09","-0.19","0.12","0.1",""
"cfo_growth","","-0.57","1.3","0.37","0.19","0.03",""
"capex_growth","","1.06","-0.2","-0.08","2.64","-0.55",""
"fcf_growth","","0.68","1.16","0.35","0.25","-0.01",""
"shares_eop","114.602","114.602","114.602","114.659","118.728","119.057","119.43"
"dividends","","","","","","",""
"price_to_earnings","","","","68.06999999999999","25.73","31.8","38.43"
"price_to_book","","","","4.36","1.89","2.47","2.21"
"price_to_sales","","","","1.31","0.5600000000000001","0.74","0.65"
"price_to_tangible_book","","","","89.78","-8.17","-14.22","-12.61"
"price_to_fcf","","","","22.35","8.710000000000001","12.64","10.99"
"market_cap","","","","10414.47697","5068.49832","7281.52612","6417.22368"
"period_end_price","","","","90.83","42.69","61.16","61.16"
