"Company: ","Gap Inc (GPS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","24.62","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Specialty Retail","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","9234","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8992","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-01","2001-01","2002-01","2003-01","2004-01","2005-01","2006-01","2007-01","2008-01","2009-01","2010-01","2011-01","2012-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","2022-01","2023-01","TTM"
"revenue","11635.4","13673.46","13847.873","14455","15854","16267","16019","15923","15763","14197","14197","14664","14549","15651","16148","16435","15797","15516","15855","16580","16383","13800","16670","15616","15001"
"cogs","6339.1","8009.077","9704.388999999999","9542","9886","9886","10145","10266","10071","8473","8473","8775","9275","9480","9855","10146","10077","9876","9789","10258","10250","9095","10033","10257","9043"
"gross_profit","5296.3","5664.383","4143.484","4913","5968","6381","5874","5657","5692","5724","5724","5889","5274","6171","6293","6289","5720","5640","6066","6322","6133","4705","6637","5359","5958"
"sga","","","","","","","","","","","","","","","","","","","","","","","","",""
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","3479.6","4219.622","3805.968","3901","4089","4296","4099","4432","4377","3909","3909","3921","3836","4229","4144","4206","4196","4449","4587","4960","5559","5567","5827","5428","5183"
"total_opex","3479.6","4219.622","3805.968","3901","4089","4296","4099","4432","4377","3909","3909","3921","3836","4229","4144","4206","4196","4449","4587","4960","5559","5567","5827","5428","5183"
"operating_income","1816.7","1444.761","337.516","1012","1879","2085","1775","1225","1315","1815","1815","1968","1438","1942","2149","2083","1524","1191","1479","1362","574","-862","810","-69","775"
"net_interest_income_normal","","","","","","","","","","1","1","14","-69","-81","-56","-70","-53","-67","-55","-40","-46","-182","-162","-70","9"
"other_nonoperating_income","-31.7","-62.876","-95.875","-211","-196","-213","48","90","91","","","","","","","","","","","","","-58","-325","",""
"pretax_income","1785","1381.885","241.641","801","1683","1872","1823","1315","1406","1816","1816","1982","1369","1861","2093","2013","1471","1124","1424","1322","528","-1102","323","-139","784"
"income_tax","-657.9","-504.388","-249.405","-323","-653","-722","-692","-506","-539","-714","-714","-778","-536","-726","-813","-751","-551","-448","-576","-319","-177","437","-67","-63","-106"
"net_income_continuing","1127.1","877.497","-7.764","478","1030","1150","1131","809","867","1102","1102","1204","833","1135","1280","1262","920","676","848","1003","351","-665","256","-202","678"
"net_income_discontinued","","","","","","","-18","-31","-34","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","-1.1368683772162E-13","9.769962616701401E-15","-1","","","","","","","","","","","","","","","","","","","","",""
"net_income","1127.1","877.497","-7.764","477","1030","1150","1113","778","833","1102","1102","1204","833","1135","1280","1262","920","676","848","1003","351","-665","256","-202","678"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","1127.1","877.497","-7.764","477","1030","1150","1113","778","833","1102","1102","1204","833","1135","1280","1262","920","676","848","1003","351","-665","256","-202","678"
"eps_basic","1.32","1.03","-0.03","0.55","1.15","1.29","1.26","0.9399999999999999","1.05","1.59","1.59","1.89","1.57","2.35","2.78","2.9","2.24","1.69","2.16","2.61","0.93","-1.78","0.68","-0.55","1.83"
"eps_diluted","1.26","1","-0.03","0.54","1.09","1.21","1.24","0.93","1.05","1.58","1.58","1.88","1.56","2.33","2.74","2.87","2.23","1.69","2.14","2.59","0.93","-1.78","0.67","-0.55","1.8"
"shares_basic","853.864","849.811","860.255","867.273","892.5549999999999","893","881","831","791","694","694","636","529","482","461","435","411","399","393","385","376","374","376","367","367"
"shares_diluted","894.524","879.1369999999999","860.255","883.333","988.178","991","902","836","794","699","699","641","533","488","467","440","413","400","396","388","378","374","383","367","367"
"cash_and_equiv","450.4","408.794","1035.749","3389","2261","2245","2035","2030","1724","1715","2348","1561","1885","1460","1510","1515","1370","1783","1783","1081","1364","1988","877","1215","1215"
"st_investments","","","","","1073","817","952","570","177","","225","100","","50","","","","","","288","290","410","","",""
"receivables","","","","","","","","","","","150","205","297","331","462","275","282","335","282","321","393","772","890","490","490"
"inventories","1462","1904.153","1768.613","2048","1704","1814","1696","1796","1575","1506","1477","1620","1615","1758","1928","1889","1873","1830","1997","2131","2156","2451","3018","2389","2389"
"other_current_assets","285.4","335.103","331.685","303","1665","1428","556","633","610","784","464","440","512","533","530","638","460","367","506","430","313","387","380","523","523"
"total_current_assets","2197.8","2648.05","3136.047","5740","6703","6304","5239","5029","4086","4005","4664","3926","4309","4132","4430","4317","3985","4315","4568","4251","4516","6008","5165","4617","4617"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"ppe_gross","4203.3","5901.237","6619.531","6826","7415","7169","6958","7135","7320","7245","7427","7573","7783","7910","8159","8305","8494","8429","8767","8667","14363","12666","11783","10698","10698"
"accumulated_depreciation","-1488","-1893.552","-2458.241","-3049","-3789","-3793","-3712","-3938","-4053","-4312","-4799","-5010","-5260","-5291","-5401","-5532","-5644","-5813","-5962","-5755","-5839","-5608","-5071","-4837","-4837"
"ppe_net","2715.3","4007.685","4161.29","3777","3626","3376","3246","3197","3267","2933","2628","2563","2523","2619","2758","2773","2850","2616","2805","2912","8524","7058","6712","5861","5861"
"intangible_assets","275.7","357.173","385.486","385","","","","","","61","61","77","77","132","92","92","92","95","95","92","121","61","90","81","81"
"goodwill","","","","","","","","","","99","99","99","99","184","180","180","180","109","109","109","109","109","207","207","207"
"other_lt_assets","","","9.094947017729301E-13","","384","368","336","318","485","466","533","400","414","403","389","328","366","475","412","685","409","533","587","620","620"
"total_assets","5188.8","7012.908","7682.823","9902","10713","10048","8821","8544","7838","7564","7985","7065","7422","7470","7849","7690","7473","7610","7989","8049","13679","13769","12761","11386","11386"
"accounts_payable","805.9","1067.207","1196.614","1159","1178","1240","1132","1109","1006","975","1027","1049","1066","1144","1242","1173","1112","1243","1181","1126","1174","1743","1951","1320","1320"
"tax_payable","","","","","","","","","","57","41","50","5","108","36","20","23","32","10","24","48","34","25","50","50"
"current_accrued_liabilities","","","827.119","1067","906","924","725","822","410","1076","1063","25","26","26","","","31","46","43","41","80","93","83","66","66"
"st_debt","169","1029.904","41.889","500","283","","","325","138","50","","3","59","","25","21","421","65","","","","","","",""
"current_deferred_revenue","","","","","","","","","","","","233","228","232","238","251","254","256","247","227","226","231","345","354","354"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","778","702.033","82.108","1","180","78","85","16","879","","","735","744","834","904","769","694","811","980","756","761","952","939","799","799"
"total_current_liabilities","1752.9","2799.144","2147.73","2727","2547","2242","1942","2272","2433","2158","2131","2095","2128","2344","2445","2234","2535","2453","2461","2174","3209","3884","4077","3256","3256"
"lt_debt","784.9","780.246","1961.397","2896","2487","1886","513","188","50","","963","","1606","1246","1369","1332","1310","1248","1249","1249","1249","2216","1484","1836","1836"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","5508","4617","4033","3517","3517"
"pension_liabilities","","","","","","","","","","","","","","","","","","","","","","","","",""
"noncurrent_deferred_revenue","","","","","","","","","","","","744","727","777","766","773","776","748","749","736","50","47","34","27","27"
