"Company: ","Gen Digital Inc. (GEN:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NASDAQ","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","24.17","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Software","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","15077","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","22660","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2001-03","2002-03","2003-03","2004-03","2005-03","2006-03","2007-03","2008-03","2009-03","2010-03","2011-03","2012-03","2013-03","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","2020-03","2021-03","2022-03","2023-03","2024-03","TTM"
"revenue","853.554","1071.438","1406.946","1870.129","2582.849","4143.392","5199.366","5874.419","6150","5985","6190","6730","6906","4183","3956","3600","4019","2559","2456","2490","2551","2796","3338","3812","3812"
"cogs","91.883","194.61","250.116","286.564","452.109","981.869","1215.826","1220.33","1227","1105","1045","1082","1175","791","727","615","853","463","455","393","362","408","589","731","731"
"gross_profit","761.671","876.828","1156.83","1583.565","2130.74","3161.523","3983.54","4654.089","4923","4880","5145","5648","5731","3392","3229","2985","3166","2096","2001","2097","2189","2388","2749","3081","3081"
"sga","394.705","482.375","599.471","755.218","961.8869999999999","1728.467","2324.434","2762.906","2729","2719","3012","3226","3236","2186","2012","1587","2023","1328","1122","1069","791","1014","968","1337","1337"
"rnd","126.673","163.979","197.271","252.284","334.046","682.125","866.8819999999999","894.042","870","857","862","969","1026","722","812","748","823","455","420","328","267","253","313","332","332"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","72.752","202.005","2.787","16.871","5.791","151.022","201.502","225.131","233","247","270","289","286","93","87","57","147","87","80","79","74","85","172","233","233"
"total_opex","594.13","848.359","799.529","1024.373","1301.724","2561.614","3392.818","3882.079","3832","3823","4144","4484","4548","3001","2911","2392","2993","1870","1622","1476","1132","1352","1453","1902","1902"
"operating_income","167.541","28.469","357.301","559.192","829.016","599.909","590.722","772.01","1091","1057","1001","1164","1183","391","318","593","173","226","379","621","1057","1036","1296","1179","1179"
"net_interest_income_normal","","","","","","","","47.416","-88","-123","-133","-102","-127","-73","-67","-65","-187","-232","-166","-116","-140","-126","-386","-644","-644"
"other_nonoperating_income","-26.761","17.029","6.33","-16.97","29.112","-237.186","40.9","-106.903","-7553","-69","-170","433","-50","-211","-150","-136","-248","250","-320","314","-45","132","-106","-76","-76"
"pretax_income","140.78","45.498","363.631","542.222","858.128","362.723","631.622","712.523","-6550","865","698","1495","1006","107","101","392","-262","244","-107","819","872","1042","804","459","459"
"income_tax","-76.84399999999999","-73.649","-115.193","-171.603","-321.969","-205.871","-227.242","-248.673","-183","-112","-105","-308","-251","-16","8","-1213","26","720","-3","-241","-176","-206","545","157","157"
"net_income_continuing","63.936","-28.151","248.438","370.619","536.159","156.852","404.38","463.85","-6733","753","593","1187","755","91","109","-821","-236","964","-110","578","696","836","1349","616","616"
"net_income_discontinued","","","","","","","","","","","","","","807","769","3309","130","174","141","3309","-142","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","4","","","","","","","","","","","","","",""
"other_income_statement_items","-7.105427357601E-15","3.5527136788005E-15","","5.6843418860808E-14","-1.1368683772162E-13","","","","-53","-39","","","","","","","","","","","","","","",""
"net_income","63.936","-28.151","248.438","370.619","536.159","156.852","404.38","463.85","-6786","714","597","1187","755","898","878","2488","-106","1138","31","3887","554","836","1349","616","616"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","63.936","-28.151","248.438","370.619","536.159","156.852","404.38","463.85","-6786","714","597","1187","755","898","878","2488","-106","1138","31","3887","554","836","1349","616","616"
"eps_basic","0.12","-0.05","0.43","0.61","0.8100000000000001","0.16","0.42","0.53","-8.17","0.88","0.77","1.6","1.08","1.29","1.27","3.71","-0.17","1.85","0.05","6.32","0.9399999999999999","1.44","2.2","0.97","0.97"
"eps_diluted","0.12","-0.05","0.39","0.54","0.74","0.15","0.41","0.52","-8.17","0.87","0.76","1.59","1.06","1.28","1.26","3.71","-0.17","1.7","0.05","6.05","0.92","1.41","2.16","0.96","0.96"
"shares_basic","517.896","574.4160000000001","581.58","611.97","660.631","998.7329999999999","960.575","867.562","831","810","778","741","701","696","689","670","618","616","632","615","589","581","614","637","637"
"shares_diluted","545.896","574.4160000000001","682.872","719.11","738.245","1025.856","983.261","884.136","831","819","786","748","711","704","696","670","618","668","632","643","600","591","624","642","642"
"cash_and_equiv","557.027","1375.051","1705.658","839.162","1091.433","2315.622","2559.034","1890.225","1793","3029","2950","3162","4685","3707","2843","5983","4247","1774","1791","2177","933","1887","750","846","846"
"st_investments","","","","1571.169","2115.154","550.1799999999999","428.619","536.728","199","15","8","49","62","377","1017","","9","388","252","86","18","4","","",""
"receivables","116.661","89.223","149.664","259.152","285.325","670.937","666.968","758.2","837","856","1013","940","1031","1007","700","556","728","940","838","349","244","182","307","338","338"
"inventories","5.855","7.463","5.912","15.134","19.118","48.687","42.183","34.138","27","25","30","28","24","","","","","","","","","","","",""
"other_current_assets","102.358","91.08199999999999","126.912","157.517","177.252","322.506","374.243","510.627","441","426","485","454","614","561","862","420","340","391","305","467","343","187","176","174","174"
