"Company: ","General Dynamics Corporation (GD:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","295.28","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Aerospace & Defense","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","81905","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","89621","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","10356","12054","13829","16369","19119","20975","24063","27240","29300","31981","32466","32677","30992","30930","30852","31781","30561","30973","36193","39350","37925","38469","39407","42272","43122"
"cogs","9027","10568","12247","14924","17175","18796","21438","24127","23928","26352","26557","26821","26012","25202","24979","25549","24896","24731","29536","32363","31600","32061","32785","35600","36311"
"gross_profit","1329","1486","1582","1445","1944","2179","2625","3113","5372","5629","5909","5856","4980","5728","5873","6232","5665","6242","6657","6987","6325","6408","6622","6672","6811"
"sga","647","","","","","","","","1719","1954","1964","2030","2221","2039","1984","1937","1921","2006","2263","2417","2192","2245","2411","2427","2468"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","","","","","","","","","","","","","","","","","","","","","","","",""
"total_opex","","","","","","","","","1719","1954","1964","2030","2221","2039","1984","1937","1921","2006","2263","2417","2192","2245","2411","2427","2468"
"operating_income","1329","1486","1582","1445","1944","2179","2625","3113","3653","3675","3945","3826","2759","3689","3889","4295","3744","4236","4394","4570","4133","4163","4211","4245","4343"
"net_interest_income_normal","-60","-56","-45","-98","-296","-236","-101","-70","-66","-160","-157","-141","-156","-86","-86","-83","-91","-103","-356","-460","-477","-424","-364","-343","-334"
"other_nonoperating_income","-7","-5","47","3","140","126","3","4","17","-2","2","33","-2130","8","-1","7","3","-56","47","92","82","134","189","82","63"
"pretax_income","1262","1425","1584","1350","1788","2069","2527","3047","3604","3513","3790","3718","473","3611","3802","4219","3656","4077","4085","4202","3738","3873","4036","3984","4072"
