"Company: ","General Motors Company (GM:US)","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","",""
"Last Close Price: ","46.41","","","","","","","","","","","","","","","",""
"Industry: ","Automobiles","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","",""
"Market Cap.: ","54864","","","","","","","","","","","","","","","",""
"Enterprise Value: ","115645","","","","","","","","","","","","","","","",""
"period_end_date","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","148979","104589","135592","150276","152256","155427","155929","135725","149184","145588","147049","137237","122485","127004","156735","171842","174871"
"cogs","149257","112195","118920","131171","141443","137373","142121","118299","130153","127357","132954","123265","108813","109126","135754","152704","154947"
"gross_profit","-278","-7606","16672","19105","10813","18054","13808","17426","19031","18231","14095","13972","13672","17878","20981","19138","19924"
"sga","14253","13417","11446","12163","14031","12382","12158","11888","10345","9570","9650","8491","7038","8554","10667","9840","9468"
"rnd","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","",""
"other_opex","6089","","118","","","","","","","","","","","","","",""
"total_opex","20342","13417","11564","12163","14031","12382","12158","11888","10345","9570","9650","8491","7038","8554","10667","9840","9468"
"operating_income","-20620","-21023","5108","6942","-3218","5672","1650","5538","8686","8661","4445","5481","6634","9324","10314","9298","10456"
"net_interest_income_normal","-2101","-4830","-633","-85","-146","-88","-192","191","-381","-309","-320","-353","-857","-804","-527","198","107"
"other_nonoperating_income","-6750","128346","1262","2320","-25331","1874","2788","2642","3703","3511","4424","2308","2318","4196","1810","907","781"
"pretax_income","-29471","102493","5737","9177","-28695","7458","4246","8371","12008","11863","8549","7436","8095","12716","11597","10403","11344"
"income_tax","-1766","2166","-672","110","34831","-2127","-228","1219","-2739","-11533","-474","-769","-1774","-2771","-1888","-563","-896"
"net_income_continuing","-31237","104659","5065","9287","6136","5331","4018","9590","9269","330","8075","6667","6321","9945","9709","9840","10448"
"net_income_discontinued","","","","","","","","25","-1","-4212","-70","","","","","",""
"income_allocated_to_minority_interest","108","-396","-331","-97","52","15","-69","72","159","18","9","65","106","74","226","287","264"
"other_income_statement_items","186","558","1438","","","","","","","","","","","","-1","","-1"
"net_income","-30943","104821","6172","9190","6188","5346","3949","9687","9427","-3864","8014","6732","6427","10019","9934","10127","10711"
