"Company: ","Genuine Parts Co (GPC:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","139.1","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Distributors","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","19787","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","21767","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","8369.857","8220.668","8258.927","8449.299999999999","9097.267","9783.049999999999","10457.942","10843.195","11015.263","10057.512","11207.589","12458.877","13013.868","14077.843","15341.647","15280.044","15339.713","16308.801","16831.605","17522.234","16537.433","18870.51","22095.973","23090.61","23109.123"
"cogs","5672.057","5699.174","5704.749","5826.684","6267.544","6718.964","7182.447","7625.972","7742.773","7047.75","7954.645","8852.837","9235.777","9857.923000000001","10747.886","10724.192","10740.106","11402.403","11311.85","11662.551","10882.592","12236.374","14355.869","14799.938","14757.197"
"gross_profit","2697.8","2521.494","2554.178","2622.616","2829.723","3064.086","3275.495","3217.223","3272.49","3009.762","3252.944","3606.04","3778.091","4219.92","4593.761","4555.852","4599.607","4906.398","5519.755","5859.683","5654.841","6634.136","7740.104","8290.672","8351.925999999999"
"sga","1958.747","1951.559","1948.442","2050.873","2193.804","2355.022","2405.354","2291.669","2359.829","2219.935","2366.667","2594.372","2656.53","3028.028","3314.03","3277.39","3391.971","3726.233","4241.203","4577.61","4386.739","5162.506","5758.295","6167.143","6230.826"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","92.303","","","","","","73.423","87.702","112.581","118.874","99.929","102.184","106.43","142.648","155.505","154.048","159.002","181.623","243.513","271.139","296.419","308.71","367.61","376.476","380.443"
"total_opex","2051.05","1951.559","1948.442","2050.873","2193.804","2355.022","2478.777","2379.371","2472.41","2338.809","2466.596","2696.556","2762.96","3170.676","3469.535","3431.438","3550.973","3907.856","4484.716","4848.749","4683.158","5471.216","6125.905","6543.619","6611.269"
