"Company: ","Gitlab Inc (GTLB:US)","","","","",""
"Exchange: ","NASDAQ","","","","",""
"Last Close Price: ","43.6","","","","",""
"Industry: ","Software","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","7007","","","","",""
"Enterprise Value: ","5945","","","","",""
"period_end_date","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","81.227","152.176","252.653","424.336","579.9059999999999","622.215"
"cogs","9.375999999999999","18.463","29.985","51.68","59.708","64.545"
"gross_profit","71.851","133.713","222.668","372.656","520.198","557.67"
"sga","140.854","240.954","254.408","427.924","506.798","535.924"
"rnd","59.364","106.643","97.217","156.143","200.84","204.593"
"special_charges","","","","","",""
"other_opex","","","","","",""
"total_opex","200.218","347.597","351.625","584.067","707.638","740.5170000000001"
"operating_income","-128.367","-213.884","-128.957","-211.411","-187.44","-182.847"
"net_interest_income_normal","3.626","1.07","0.736","14.496","39.114","43.829"
"other_nonoperating_income","-4.8","23.452","-30.85","21.585","-11.826","-12.646"
"pretax_income","-129.541","-189.362","-159.071","-175.33","-160.152","-151.664"
"income_tax","-1.2","-2.832","1.511","-2.898","-264.057","-275.281"
"net_income_continuing","-130.741","-192.194","-157.56","-178.228","-424.209","-426.945"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","2.422","8.385","3.859","3.672"
"other_income_statement_items","-2.8421709430404E-14","","","-2.468","-3.824","-3.076"
"net_income","-130.741","-192.194","-155.138","-172.311","-424.174","-426.349"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","-130.741","-192.194","-155.138","-172.311","-424.174","-426.349"
"eps_basic","-0.99","-1.45","-1.95","-1.16","-2.75","-2.75"
"eps_diluted","-0.99","-1.45","-1.95","-1.16","-2.75","-2.75"
"shares_basic","132.492","132.492","79.755","148.407","154.283","154.283"
"shares_diluted","132.492","132.492","79.755","148.407","154.283","154.283"
"cash_and_equiv","343.327","282.85","884.672","295.402","287.996","287.996"
"st_investments","","","50.031","641.249","748.289","748.289"
"receivables","25.303","39.651","77.282","134.321","181.26","181.26"
"inventories","","","","","",""
"other_current_assets","15.845","25.992","39.858","46.99","63.372","63.372"
"total_current_assets","384.475","348.493","1051.843","1117.962","1280.917","1280.917"
"equity_and_other_investments","","","","12.682","",""
"ppe_gross","","","3.814","10.787","10.741","10.741"
"accumulated_depreciation","","","-0.543","-3.992","-7.382","-7.382"
"ppe_net","","","3.271","6.795","3.359","3.359"
"intangible_assets","","0.797","6.28","3.896","1.728","1.728"
"goodwill","","","8.15","8.15","8.15","8.15"
"other_lt_assets","7.373","13.276","21.894","19.715","23.707","23.707"
