"Company: ","Globe Life Inc (GL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","83.51000000000001","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7722","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","9268","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"premiums_earned","2046.21","2215.169","2279.033","2375.8","2471.9","2508.074","2784.713","2827.231","2671.9","2610.105","2651.758","2656.318","2856.462","2749.682","2836.14","2998.72","3137.034","3282.935","3421.906","3595.134","3813.905","4094.813","4310.242","4456.017","4506.211"
"net_investment_income","472.4","491.83","518.6180000000001","557.7","577.035","603.068","628.746","648.826","627.206","632.54","671.514","693.008","688.044","731.972","758.2859999999999","773.951","806.903","847.885","882.5119999999999","911.715","924.761","982.567","962.8339999999999","1064.871","867.145"
"fees_and_other_income","0.19","0.043","-36.602","-2.5","22.607","14.768","7.719","10.64","-102.87","-127.572","44.36","28.075","45.01","12.599","25.927","-6.606","-9.308","24.753","10.411","20.683","-0.111","43.972","-46.336","-73.355","-69.795"
"revenue","2518.8","2707.042","2761.049","2931","3071.542","3125.91","3421.178","3486.697","3196.236","3115.073","3367.632","3377.401","3589.516","3494.253","3620.353","3766.065","3934.629","4155.573","4314.829","4527.532","4738.555","5121.352","5226.74","5447.533","5303.561"
"sga","","","","","","","","155.483","141.586","128.62","167.463","180.964","187.01","201.293","207.035","214.855","222.924","247.624","267.323","285.564","286.839","301.903","334.991","331.897","339.989"
"net_policyholder_claims_expense","1339.482","1454.636","1524.074","1590.1","1645.668","1661.186","1863.531","1902.428","1802.54","1753.329","1793.044","1793.276","1955.682","1838.766","1903.384","2016.212","2128.748","2227.875","2275.242","2357.349","2572.884","2659.046","2825.434","2864.251","2888.117"
"policy_acquisition_expense","274.837","301.793","168.341","321.7","347.249","349.959","377.49","391.011","378.388","415.986","362.39","364.583","385.167","400.869","415.914","445.625","469.063","490.403","516.6900000000001","551.726","575.77","317.616","348.824","379.7","386.856"
"interest_expense_insurance","54.487","44.506","28.593","56.1","56.491","60.934","73.136","67.56399999999999","63.229","69.932","75.529","77.908","80.512","80.461","76.126","76.642","83.345","84.532","90.07599999999999","84.306","86.70399999999999","83.486","90.395","102.316","106.07"
"operating_income","562.958","601.429","590.048","653.1","720.801","731.521","773.5700000000001","796.8049999999999","628.4","577.076","750.5700000000001","723.782","765.9930000000001","755.3150000000001","784.677","766.187","772.235","830.648","863.671","931.279","896.684","1274.611","1102.111","1194.266","1234.955"
"pretax_income","562.958","601.429","590.048","653.1","720.801","731.521","773.5700000000001","796.8049999999999","628.4","577.076","750.5700000000001","723.782","765.9930000000001","755.3150000000001","784.677","766.187","772.235","830.648","863.671","931.279","896.684","1274.611","1102.111","1194.266","1234.955"
"income_tax","-190.841","-205.967","-197.037","-223","-245.083","-236.131","-254.939","-269.27","-198.7","-191.024","-246.475","-226.166","-236.669","-248.11","-256.603","-249.894","-232.645","627.615","-162.161","-170.397","-164.911","-243.497","-207.725","-223.511","-233.593"
"net_income_continuing","372.117","395.462","393.011","430.1","475.718","495.39","518.631","527.535","429.7","386.052","504.095","497.616","529.324","507.205","528.074","516.293","539.59","1458.263","701.51","760.8819999999999","731.773","1031.114","894.386","970.755","1001.362"
"net_income_discontinued","","-3.28","","","","","","","22.559","18.901","-5.229","-0.455","","21.267","14.865","10.807","10.189","-3.769","-0.044","-0.092","","","","",""
"income_allocated_to_minority_interest","10.284","10.284","","3.785","","","","","","","","","","","","","","","","","","","","",""
"net_income","362","356.513","387.281","430.1","468.555","495.39","518.631","527.535","452.259","404.953","498.866","497.161","529.324","528.472","542.939","527.1","549.779","1454.494","701.466","760.79","731.773","1031.114","894.386","970.755","1001.362"
"preferred_dividends","","4.532","3.848","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","362","351.981","383.433","430.1","468.555","495.39","518.631","527.535","452.259","404.953","498.866","497.161","529.324","528.472","542.939","527.1","549.779","1454.494","701.466","760.79","731.773","1031.114","894.386","970.755","1001.362"
"eps_basic","1.26","1.27","1.42","1.67","1.89","2.1","2.31","2.48","2.28","2.17","2.73","3.06","3.65","3.84","4.15","4.21","4.58","12.5","6.22","6.97","6.9","10.1","9.130000000000001","10.21","10.61"
"eps_diluted","1.25","1.26","1.41","1.66","1.86","2.08","2.28","2.44","2.27","2.17","2.7","3.02","3.6","3.79","4.09","4.16","4.49","12.22","6.09","6.83","6.82","9.99","9.039999999999999","10.07","10.47"
"shares_basic","287.809","277.88","270.446","258.06","247.476","235.651","224.408","212.214","198.118","186.826","183.014","162.417","144.921","137.647","130.722","125.095","120.001","116.343","112.873","109.214","106.075","102.07","97.928","95.098","95.098"
"shares_diluted","288.83","279.844","271.297","259.444","251.611","238.168","227.47","215.653","199.161","186.826","184.685","164.723","146.848","139.564","132.64","126.757","122.368","118.983","115.249","111.381","107.225","103.17","98.985","96.364","96.364"
"cash_and_equiv","","3.714","7.181","12.7","10.651","19.297","16.716","20.098","46.4","231.918","365.679","84.113","61.71","36.943","66.01900000000001","61.383","76.163","118.563","121.026","75.93300000000001","94.84699999999999","92.163","92.559","103.156","103.156"
"total_investments","","6928.135","7692.895","8505.9","8972.183999999999","9062.438","9653.591","9702.909","8324.916999999999","10454.759","11154.992","12327.419","14075.67","13406.794","14982.528","14305.252","15825.876","17625.925","16911.286","19520.924","21905.67","21964.066","17413.657","18888.165","18888.165"
"receivables","","67.54900000000001","70.419","85.40000000000001","73.408","67.262","78.809","96.75","151.684","197.234","230.319","253.549","383.709","331.103","327.856","344.552","384.454","391.775","415.157","441.662","474.18","487.443","589.171","630.223","630.223"
"deferred_policy_acquisition_cost","","2066.423","2184.134","2330","2583.332","2768.404","2955.842","3159.051","3395.211","3457.138","3406.335","2916.732","3198.431","3337.649","3457.397","3617.135","3783.158","3958.063","4137.925","4341.941","4595.444","4914.728","5535.697","6009.477","6009.477"
"ppe_net","","36.137","33.431","29.8","29.5","","","","","","","48","46","51","54","83","97","108","135","161","186","205","212","240","240"
"intangible_assets","","-0.0040000000000191","-0.0040000000000191","","-0.0040000000000191","-0.0040000000000191","-0.0040000000000191","423.519","423.519","-0.0009999999999763499","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0010000000000332","0.0009999999999763499","0.0009999999999763499","0.0009999999999763499","0.0009999999999763499"
"other_lt_assets","12962.6","2947.759","1994.226","2123.3","2204.673","2473.066","1896.961","1839.101","1187.319","1259.191","605.546","561.568","569.799","586.664","942.8680000000001","1000.3","827.845","831.068","933.737","994.409","1348.999","1622.857","1661.922","1698.687","1698.687"
"total_assets","12962.6","12428.153","12360.722","13465.5","14252.184","14768.903","14980.355","15241.428","13529.05","16023.759","16159.762","16588.272","18776.91","18191.744","20272.259","19853.213","21436.087","23474.985","23095.722","25977.46","29046.731","29768.048","25986.797","28051.499","28051.499"
"unearned_premiums","","93.624","95.24299999999999","96.59999999999999","93.07299999999999","91.758","88.039","86.714","85.19","82.488","74.16500000000001","69.539","76.08799999999999","74.17400000000001","71.703","67.021","64.017","61.43","61.208","63.709","61.728","65.47199999999999","253.36","254.567","254.567"
