"Company: ","Goldman Sachs Group Inc (GS:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","457.38","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Capital Markets","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","149006","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","182726","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-11","2001-11","2002-11","2003-11","2004-11","2005-11","2006-11","2007-11","2008-11","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"total_interest_income","17396","16620","11269","10751","11914","21250","35186","45968","35633","13907","12309","13174","11381","10060","9604","8452","9691","13113","19679","21738","13689","12120","29024","68515","73132"
"total_interest_expense","16410","15327","8868","7600","8888","18153","31688","41981","31357","6500","6806","7982","7501","6668","5557","5388","7104","10181","15912","17376","8938","5650","21346","62164","66954"
"net_interest_income","986","1293","2401","3151","3026","3097","3498","3987","4276","7407","5503","5192","3880","3392","4047","3064","2587","2932","3767","4362","4751","6470","7678","6351","6178"
"total_noninterest_revenue","15604","14518","11585","12872","16753","20725","32182","39242","14948","35468","31377","21156","28075","28473","27980","28146","25380","26808","32689","32164","39808","52869","39687","39903","42065"
"revenue","16590","15811","13986","16023","19779","23822","35680","43229","19224","42875","36880","26348","31955","31865","32027","31210","27967","29740","36456","36526","44559","59339","47365","46254","48243"
"credit_losses_provision","","","","","","","","","","","","","","","","","182","657","674","1065","3098","357","2715","1028","1517"
"net_interest_income_after_credit_losses_provision","986","1293","2401","3151","3026","3097","3498","3987","4276","7407","5503","5192","3880","3392","4047","3064","2405","2275","3093","3297","1653","6113","4963","5323","4661"
"total_noninterest_expense","11570","12115","10733","11567","13000","15512","21075","25588","16617","22342","23133","20004","20300","19166","18556","18456","17082","17877","22617","23658","25392","31795","30274","32794","33409"
"pretax_income","5020","3696","3253","4445","6676","8273","14560","17604","2336","19829","12892","6169","11207","11737","12357","8778","10304","11132","12481","10583","12479","27044","13486","10739","11983"
"income_tax","-1953","-1386","-1139","-1440","-2123","-2647","-5023","-6005","-14","-6444","-4538","-1727","-3732","-3697","-3880","-2695","-2906","-6846","-2022","-2117","-3020","-5409","-2225","-2223","-2569"
"net_income_continuing","3067","2310","2114","3005","4553","5626","9537","11599","2322","13385","8354","4442","7475","8040","8477","6083","7398","4286","10459","8466","9459","21635","11261","8516","9414"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income","3067","2310","2114","3005","4553","5626","9537","11599","2322","13385","8354","4442","7475","8040","8477","6083","7398","4286","10459","8466","9459","21635","11261","8516","9414"
"preferred_dividends","","","","","","17","139","192","281","1193","641","1932","183","314","400","515","311","601","599","569","544","484","497","609","663"
"net_income_available_to_shareholders","3067","2310","2114","3005","4553","5609","9398","11407","2041","12192","7713","2510","7292","7726","8077","5568","7087","3685","9860","7897","8915","21151","10764","7907","8751"
