"Company: ","H&R Block Inc (HRB:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","53.31","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Diversified Consumer Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","7395","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8091","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-04","2001-04","2002-04","2003-04","2004-04","2005-04","2006-04","2007-04","2008-04","2009-04","2010-04","2011-04","2012-04","2013-04","2014-04","2015-04","2016-04","2017-04","2018-04","2019-04","2020-04","2021-04","2022-06","2023-06","TTM"
"revenue","2451.943","2526.174","3285.701","3746.457","4018.085","3097.035","3574.753","4021.274","4086.63","4083.577","3751.927","2944.98","2893.771","2905.943","3024.295","3078.658","3038.153","3036.314","3159.931","3094.881","2639.72","3413.987","3463.27","3472.185","3579.863"
"cogs","338.501","397.242","539.471","591.4349999999999","2177.384","1891.071","2146.048","2508.458","2588.193","2596.218","2467.996","1776.782","1922.035","1744.478","1822.156","1869.017","1685.552","1644.377","1739.729","1756.922","1712.276","1842.092","1881.262","1923.452","1965.952"
"gross_profit","2113.442","2128.932","2746.23","3155.022","1840.701","1205.964","1428.705","1512.816","1498.437","1487.359","1283.931","1168.198","971.736","1161.465","1202.139","1209.641","1352.601","1391.937","1420.202","1337.959","927.444","1571.895","1582.008","1548.733","1613.911"
"sga","1409.109","1670.87","1759.275","1884.538","846.157","693.147","891.691","852.954","788.898","648.49","631.499","529.159","378.188","373.304","361.304","367.032","719.409","675.953","668.152","722.167","744.361","802.268","837.111","800.035","782.955"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","302.245","-7.004","271.527","290.242","-229.795","-49.334","","0.3","","","","","19.847","17.178","22.345","47.943","","","","","","","","",""
"total_opex","1711.354","1663.866","2030.802","2174.78","616.362","643.813","891.691","853.254","788.898","648.49","631.499","529.159","398.035","390.482","383.649","414.975","719.409","675.953","668.152","722.167","744.361","802.268","837.111","800.035","782.955"
"operating_income","402.088","465.066","715.428","980.242","1224.339","562.151","537.014","659.562","709.539","838.869","652.432","639.039","573.701","770.9829999999999","818.49","794.6660000000001","633.192","715.984","752.05","615.792","183.083","769.627","744.897","748.698","830.956"
"net_interest_income_normal","","","","","","","","","151.558","154.516","122.405","134.153","7.711","-74.297","-35.361","-44.974","-56.452","-89.121","-82.511","-87.051","-96.09399999999999","-106.87","-88.282","-72.97799999999999","-79.175"
"other_nonoperating_income","10.178","8.012","1.412","6.835","-61.364","-34.538","-26.532","-23.764","-126.026","-154.015","9.298","-145.489","-5.342","5.325","-16.013","-6.887","-7.261","2.424","-0.8070000000000001","16.419","-90.363","5.979","2.454","35.492","35.454"
"pretax_income","412.266","473.078","716.84","987.077","1162.975","527.6130000000001","510.482","635.798","735.071","839.37","784.135","627.703","576.0700000000001","702.011","767.116","742.8049999999999","569.479","629.287","668.732","545.16","-3.374","668.736","659.069","711.212","787.235"
"income_tax","-160.371","-196.33","-282.435","-407.013","-462.523","-207.864","-212.941","-261.461","-289.124","-326.315","-295.189","-235.156","-230.102","-236.853","-267.019","-256.061","-185.926","-208.37","-41.823","-99.904","9.529999999999999","-78.524","-98.423","-149.412","-143.685"
"net_income_continuing","251.895","276.748","434.405","580.064","700.452","319.749","297.541","374.337","445.947","513.0549999999999","488.946","392.547","345.968","465.158","500.097","486.744","383.553","420.917","626.909","445.256","6.156","590.212","560.646","561.8","643.55"
"net_income_discontinued","","","","","","304.161","192.867","-807.99","-754.5940000000001","-27.382","-9.704000000000001","13.563","-80.036","-31.21","-24.94","-13.081","-9.286","-11.972","-13.76","-22.747","-13.682","-6.421","-6.972","-8.1","-3.779"
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","4.414","-5.6843418860808E-14","-1.1368683772162E-13","-6.358999999999901","-1.1368683772162E-13","","","5.6843418860808E-14","-5.6843418860808E-14","5.6843418860808E-14","5.6843418860808E-14","-5.6843418860808E-14","","","5.6843418860808E-14","-5.6843418860808E-14","-5.6843418860808E-14","","5.6843418860808E-14","1.7763568394003E-15","1.1368683772162E-13","","1.1368683772162E-13","1.4210854715202E-13"
"net_income","251.895","281.162","434.405","580.064","694.093","623.91","490.408","-433.653","-308.647","485.673","479.242","406.11","265.932","433.948","475.157","473.663","374.267","408.945","613.149","422.509","-7.526","583.7910000000001","553.674","553.7","639.771"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","251.895","281.162","434.405","580.064","694.093","623.91","490.408","-433.653","-308.647","485.673","479.242","406.11","265.932","433.948","475.157","473.663","374.267","408.945","613.149","422.509","-7.526","583.7910000000001","553.674","553.7","639.771"
