"Company: ","HP Inc (HPQ:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","36.27","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Technology Hardware, Storage & Peripherals","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","35521","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","42406","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-10","2001-10","2002-10","2003-10","2004-10","2005-10","2006-10","2007-10","2008-10","2009-10","2010-10","2011-10","2012-10","2013-10","2014-10","2015-10","2016-10","2017-10","2018-10","2019-10","2020-10","2021-10","2022-10","2023-10","TTM"
"revenue","48870","45226","56588","73061","79905","86696","91658","104286","118364","114552","126033","127245","120357","112298","56651","51463","48238","52056","58472","58756","56638","63460","62910","53718","52998"
"cogs","34813","33259","41579","53858","60811","66440","69427","78356","89699","87524","95852","97418","92385","86380","45431","41524","39240","42478","47803","47586","46217","50053","50647","42210","41280"
"gross_profit","14057","11967","15009","19203","19094","20256","22231","25930","28665","27028","30181","29827","27972","25918","11220","9939","8998","9578","10669","11170","10421","13407","12263","11508","11718"
"sga","7217","7186","9033","11012","10496","11184","11266","12226","13326","11613","12822","13577","13500","13267","5361","4719","3833","4532","5099","5368","4901","5727","5264","5357","5473"
"rnd","2627","2724","3312","3652","3563","3490","3591","3611","3543","2819","2959","3254","3399","3135","1298","1191","1209","1190","1404","1499","1477","1848","1653","1578","1600"
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","86","-16","402","562","603","423","604","797","967","1578","1484","1607","1784","1373","129","102","-456","-46","742","1302","112","154","229","350","340"
"total_opex","9930","9894","12747","15226","14662","15097","15461","16634","17836","16010","17265","18438","18683","17775","6788","6012","4586","5676","7245","8169","6490","7729","7146","7285","7413"
"operating_income","4127","2073","2262","3977","4432","5159","6770","9296","10829","11018","12916","11389","9289","8143","4432","3927","4412","3902","3424","3001","3931","5678","5117","4223","4305"
"net_interest_income_normal","","","","","","","","","","-721","-505","-695","-876","-621","-393","-167","-273","-309","-312","-242","-239","-254","-359","-548","-531"
"other_nonoperating_income","498","-1371","-3314","-1089","-236","-1616","421","-119","-356","-882","-1437","-1712","-20346","-1012","-176","-228","-378","-317","-99","-236","-481","2144","-434","-738","-396"
"pretax_income","4625","702","-1052","2888","4196","3543","7191","9177","10473","9415","10974","8982","-11933","6510","3863","3532","3761","3276","3013","2523","3211","7568","4324","2937","3378"
"income_tax","-1064","-78","129","-349","-699","-1145","-993","-1913","-2144","-1755","-2213","-1908","-717","-1397","-939","186","-1095","-750","2314","629","-396","-1027","-1192","326","-409"
"net_income_continuing","3561","624","-923","2539","3497","2398","6198","7264","8329","7660","8761","7074","-12650","5113","2924","3718","2666","2526","5327","3152","2815","6541","3132","3263","2969"
"net_income_discontinued","136","","","","","","","","","","","","","","2089","836","-170","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_income_statement_items","","-216","20","","","","","","","","","","","","","","","","","","","","","",""
"net_income","3697","408","-903","2539","3497","2398","6198","7264","8329","7660","8761","7074","-12650","5113","5013","4554","2496","2526","5327","3152","2815","6541","3132","3263","2969"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","3697","408","-903","2539","3497","2398","6198","7264","8329","7660","8761","7074","-12650","5113","5013","4554","2496","2526","5327","3152","2815","6541","3132","3263","2969"
"eps_basic","1.87","0.21","-0.36","0.83","1.16","0.83","2.23","2.76","3.35","3.21","3.78","3.38","-6.41","2.64","2.66","2.51","1.44","1.5","3.3","2.08","1.99","5.41","3.02","3.29","3"
"eps_diluted","1.8","0.21","-0.36","0.83","1.15","0.82","2.18","2.68","3.25","3.14","3.69","3.32","-6.41","2.62","2.62","2.48","1.43","1.48","3.26","2.07","1.98","5.36","2.98","3.26","2.96"
"shares_basic","1979","1936","2499","3047","3024","2879","2782","2630","2483","2388","2319","2094","1974","1934","1882","1814","1730","1688","1615","1515","1413","1208","1038","992","992"
"shares_diluted","2077","1974","2499","3063","3055","2909","2852","2716","2567","2437","2372","2128","1974","1950","1912","1836","1743","1702","1634","1524","1420","1220","1050","1000","1000"
"cash_and_equiv","3415","4197","11192","14188","12663","13911","16400","11293","10153","13279","10929","8043","11301","12163","15133","7584","6288","6997","5166","4537","4864","4294","3145","3107","3107"
"st_investments","592","139","237","403","311","18","22","152","93","55","","","","","","","","1149","711","","274","5","","",""
"receivables","8568","6671","11909","16153","18010","17364","18555","21582","19242","25301","21467","26628","25506","24024","21325","7083","6609","7162","8003","8939","8443","8874","6891","6438","6438"
"inventories","5699","5204","5797","6065","7071","6877","7750","8033","7879","6128","6466","7490","6317","6046","6415","4288","4484","5786","6062","5734","5963","7930","7614","6862","6862"
"other_current_assets","4970","5094","6940","4145","4846","5164","5537","6342","14361","7776","15322","8860","7513","8131","7272","32832","1087","1224","1445","967","1104","1065","2086","1570","1570"
"total_current_assets","23244","21305","36075","40954","42901","43334","48264","47402","51728","52539","54184","51021","50637","50364","50145","51787","18468","22318","21387","20177","20648","22168","19736","17977","17977"
"equity_and_other_investments","","","","","","","","","","","","","","","","","55","61","53","56","","","","",""
"ppe_gross","9505","9808","12536","13299","13836","13880","15024","16411","18885","20944","22927","25462","25883","26133","26252","5731","6084","5958","6109","7037","8448","8665","8828","8904","8904"
"accumulated_depreciation","-5005","-5411","-5612","-6817","-7187","-7429","-8161","-8613","-8047","-9682","-11164","-13170","-13929","-14670","-14912","-4239","-4348","-4080","-3911","-4243","-4714","-4927","-4818","-4889","-4889"
"ppe_net","4500","4397","6924","6482","6649","6451","6863","7798","10838","11262","11763","12292","11954","11463","11340","1492","1736","1878","2198","2794","3734","3738","4010","4015","4015"
"intangible_assets","","756","19951","19250","19931","3589","3352","4079","7962","6600","7848","10898","4515","3169","2128","","","3","453","661","540","784","1933","1593","1593"
"goodwill","","","","","","16441","16853","21773","32335","33109","38483","44551","31069","31124","31139","5680","5622","5622","5968","6372","6380","6803","8541","8591","8591"
"other_lt_assets","6265","6126","7760","8030","6657","7502","6649","7647","10468","11289","12225","10755","10593","9556","8454","47923","3106","3031","4563","3407","3379","5112","4274","4828","4828"
"total_assets","34009","32584","70710","74716","76138","77317","81981","88699","113331","114799","124503","129517","108768","105676","103206","106882","28987","32913","34622","33467","34681","38605","38494","37004","37004"
"accounts_payable","5049","3791","7012","9285","9377","10223","12102","11787","14917","14809","14365","14750","13350","14019","15903","10194","11103","13279","14816","14793","14704","16075","15303","14046","14046"
"tax_payable","","","","","","","","","869","3694","4018","3462","4110","3906","3286","1250","986","1109","1322","1297","1274","1523","1350","1211","1211"
"current_accrued_liabilities","","3289","8704","9254","9825","10881","11681","13906","20690","5180","12991","12699","11007","10704","10708","5234","4963","5046","","","","","","",""
"st_debt","1555","1722","1793","1080","2511","1831","2705","3186","10176","1850","7046","8083","6647","5979","3486","2194","78","1072","1463","357","674","1106","218","230","230"
"current_deferred_revenue","1759","1867","3260","3665","2958","3815","4309","5025","6287","6182","6727","7449","7494","6477","6143","1051","919","1012","1095","1178","1208","1277","1393","1424","1424"
"current_deferred_tax_liability","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_current_liabilities","6834","3295","3541","3354","3917","4710","5053","5356","","11288","4256","3999","4058","4436","4209","22268","759","894","6435","7668","8085","8730","7520","7147","7147"
"total_current_liabilities","15197","13964","24310","26638","28588","31460","35850","39260","52939","43003","49403","50442","46666","45521","43735","42191","18808","22412","25131","25293","26220","29061","26189","24488","24488"
"lt_debt","3402","3729","6035","6494","4623","3392","2490","4997","7676","13980","15258","22551","21789","16608","16039","6677","6735","6747","4524","4780","5543","6386","10796","9254","9254"
"noncurrent_capital_leases","","","","","","","","","","","","","","","","","","","","","904","936","875","825","825"
"pension_liabilities","","","","","","","","","3712","6427","6754","5414","7780","5098","6379","2203","2705","1999","1645","1762","1576","1020","600","545","545"
"noncurrent_deferred_revenue","","","","","","","","","6314","7479","8542","8616","6319","6575","5055","2625","1981","2331","1105","1129","1097","1156","1292","1368","1368"
"other_lt_liabilities","1201","938","4103","3838","5363","5289","5497","5916","3748","3146","3765","3490","3381","4218","4871","25035","2647","2832","2856","1696","1569","1690","1767","1593","1593"
"total_liabilities","19800","18631","34448","36970","38574","40141","43837","50173","74389","74035","83722","90513","85935","78020","76079","78731","32876","36321","35261","34660","36909","40249","41519","38073","38073"
"common_stock","19","19","30","30","29","28","27","26","24","24","22","20","20","19","18","18","17","16","16","15","13","11","10","10","10"
"preferred_stock","","","","","","","","","","","","","","","","","","","","","","","","",""
"retained_earnings","14097","13693","11973","13332","15649","16679","20729","21560","24971","29936","32695","35266","21521","25563","29164","32089","-3498","-2386","-473","-818","-1961","-2470","-4492","-2361","-2361"
"aoci","93","41","-401","-203","-243","-21","-578","559","-65","-3247","-3837","-3498","-5559","-3778","-5881","-6302","-1438","-1418","-845","-1225","-1243","-245","285","-223","-223"
