"Company: ","Halliburton Company (HAL:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","34.62","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Energy Equipment & Services","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","30401","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","36147","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","11944","13046","12572","16271","19884","10100","12955","15264","18279","14675","17973","24829","28503","29402","32870","23633","15887","20620","23995","22408","14445","15295","20297","23018","23145"
"cogs","11218","11575","12379","15268","18752","7743","9426","11525","14049","12479","14735","19811","23769","24931","27334","21113","15017","18343","21009","20123","12900","13279","16984","18658","18734"
"gross_profit","726","1471","193","1003","1132","2357","3529","3739","4230","2196","3238","5018","4734","4471","5536","2520","870","2277","2986","2285","1545","2016","3313","4360","4411"
"sga","352","387","335","330","361","294","342","293","282","207","229","281","275","333","293","200","226","256","254","227","182","204","240","226","233"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-88","","-30","-47","6","-101","-58","-52","-62","-5","","","","","","","","","","","","36","","-51","-30"
"total_opex","264","387","305","283","367","193","284","241","220","202","229","281","275","333","293","200","226","256","254","227","182","240","240","175","203"
"operating_income","462","1084","-112","720","765","2164","3245","3498","4010","1994","3009","4737","4459","4138","5243","2320","644","2021","2732","2058","1363","1776","3073","4185","4208"
"net_interest_income_normal","","","","","","","","-30","-128","-285","-297","-263","-298","-331","-383","-447","-639","-593","-554","-569","-505","-520","-463","-497","-510"
"other_nonoperating_income","-127","-130","-116","-108","-131","-167","-46","-8","-33","-27","-57","-25","-339","-1043","-148","-2809","-7630","-746","-364","-2611","-4078","-4","-500","-325","-377"
"pretax_income","335","954","-228","612","634","1997","3199","3460","3849","1682","2655","4449","3822","2764","4712","-936","-7625","682","1814","-1122","-3220","1252","2110","3363","3321"
"income_tax","-129","-384","-80","-234","-235","125","-1003","-907","-1211","-518","-853","-1439","-1235","-648","-1275","274","1858","-1131","-157","-7","278","216","-515","-701","-705"
"net_income_continuing","206","570","-308","378","399","2122","2196","2553","2638","1164","1802","3010","2587","2116","3437","-662","-5767","-449","1657","-1129","-2942","1468","1595","2662","2616"
"net_income_discontinued","313","257","-652","-1151","-1353","251","171","975","-423","-9","40","-166","58","19","64","-5","-2","-19","","","","","","",""
"income_allocated_to_minority_interest","-18","-19","-38","-39","-25","-15","-19","-29","9","-10","-7","-5","-10","-10","-1","-4","6","5","-1","-2","-3","-11","-23","-24","-23"
"other_income_statement_items","","1","","-8","","","","","","","","","","","","","","","","","","","","",""
"net_income","501","809","-998","-820","-979","2358","2348","3499","2224","1145","1835","2839","2635","2125","3500","-671","-5763","-463","1656","-1131","-2945","1457","1572","2638","2593"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","501","809","-998","-820","-979","2358","2348","3499","2224","1145","1835","2839","2635","2125","3500","-671","-5763","-463","1656","-1131","-2945","1457","1572","2638","2593"
"eps_basic","0.57","0.95","-1.16","-0.95","-1.12","2.34","2.31","3.83","2.52","1.27","2.02","3.09","2.85","2.37","4.13","-0.79","-6.69","-0.53","1.89","-1.29","-3.34","1.63","1.74","2.93","2.9"
"eps_diluted","0.5600000000000001","0.9399999999999999","-1.16","-0.95","-1.12","2.27","2.23","3.68","2.45","1.27","2.01","3.08","2.84","2.36","4.11","-0.79","-6.69","-0.53","1.89","-1.29","-3.34","1.63","1.73","2.92","2.89"
"shares_basic","884","856","864","868","874","1010","1014","913","883","900","908","918","926","898","848","853","861","870","875","875","881","892","904","899","899"
"shares_diluted","892","860","864","874","882","1038","1054","950","909","902","911","922","928","902","852","853","861","870","877","875","881","892","908","902","902"
"cash_and_equiv","231","290","1107","1815","1917","2391","2918","1847","1124","2082","1398","2698","2484","2356","2291","10077","4009","2337","2008","2268","2563","3044","2346","2264","2264"
"st_investments","","","","","891","","20","388","","1312","653","","","","","","","","","","","","","",""
"receivables","3934","4095","3257","4765","5751","4801","2629","3093","3795","2964","3924","5084","5787","6181","7564","5317","3922","5036","5234","4577","3071","3666","4627","4860","4860"
