"Company: ","Harley-Davidson Inc (HOG:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","33.17","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Automobiles","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","4575","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","8100","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","2943.346","3406.786","4090.97","4624.274","5015.19","5342.214","5800.686","5726.848","5955.384","4781.909","4859.336","5311.713","5580.506","5899.872","6228.508","5995.402","5996.458","5647.224","5716.875","5361.789","4054.377","5336.308","5755.13","5836.478","5777.399"
"cogs","1979.572","2253.815","2673.129","2958.708","3115.655","3301.715","3567.839","3612.748","3784.033","3184.568","3021.708","3335.78","3418.384","3561.409","3707.077","3518.267","3599.753","3452.523","3544.983","3440.236","2682.192","3436.231","3621.381","3654.686","3686.256"
"gross_profit","963.774","1152.971","1417.841","1665.566","1899.535","2040.499","2232.847","2114.1","2171.351","1597.341","1837.628","1975.933","2162.122","2338.463","2521.431","2477.135","2396.705","2194.701","2171.892","1921.553","1372.185","1900.077","2133.749","2181.792","2091.143"
"sga","548.664","625.13","725.323","774.05","820.583","762.1079999999999","846.418","900.708","1060.154","979.384","1020.371","1060.943","1111.232","1124.753","1159.502","1220.095","1213.794","1180.176","1258.098","1199.056","1050.627","1051.589","1079.338","1175.55","1182.785"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","-99.86199999999999","-134.66","-190.184","723.643","-282.539","-191.62","-210.724","","39.555","169.206","93.11799999999999","17.031","22.239","60.008","80.946","101.345","136.617","132.444","106.87","134.536","181.87","25.049","145.133","227.158","235.804"
"total_opex","448.802","490.47","535.139","1497.693","538.044","570.4880000000001","635.694","900.708","1099.709","1148.59","1113.489","1077.974","1133.471","1184.761","1240.448","1321.44","1350.411","1312.62","1364.968","1333.592","1232.497","1076.638","1224.471","1402.708","1418.589"
"operating_income","514.972","662.501","882.702","167.873","1361.491","1470.011","1597.153","1213.392","1071.642","448.751","724.139","897.9589999999999","1028.651","1153.702","1280.983","1155.695","1046.294","882.081","806.924","587.961","139.688","823.439","909.278","779.0839999999999","672.554"
"net_interest_income_normal","","","","","","","","212.169","-4.542","-21.68","-90.357","-45.266","-46.033","-45.256","-4.162","-12.117","-29.67","-31.004","-30.884","-31.078","-31.121","-30.972","-31.235","-30.787","-30.746"
"other_nonoperating_income","33.584","10.954","3.125","998.162","17.995","17.748","27.087","22.258","-1.179","-248.411","-243.313","-60.029","-21.106","5.859","6.499","6.585","7.287","12.762","-89.411","0.532","-124.297","26.77","53.19","118.579","123.426"
"pretax_income","548.556","673.455","885.827","1166.035","1379.486","1487.759","1624.24","1447.819","1065.921","178.66","390.469","792.664","961.5119999999999","1114.305","1283.32","1150.163","1023.911","863.8390000000001","686.629","557.415","-15.73","819.237","931.2329999999999","866.876","765.234"
"income_tax","-200.843","-235.709","-305.61","-405.107","-489.72","-528.155","-581.087","-513.976","-381.686","-108.019","-130.8","-244.586","-337.587","-380.312","-438.709","-397.956","-331.747","-342.08","-155.178","-133.78","17.028","-169.213","-192.019","-171.83","-139.784"
"net_income_continuing","347.713","437.746","580.217","760.928","889.766","959.604","1043.153","933.843","684.235","70.64100000000001","259.669","548.078","623.925","733.9930000000001","844.611","752.207","692.164","521.759","531.451","423.635","1.298","650.024","739.2140000000001","695.046","625.45"
"net_income_discontinued","","","","","","","","","-29.517","-125.757","-113.124","51.036","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","","","","","","2.194","11.54","11.987"
"other_income_statement_items","-5.6843418860808E-14","-5.6843418860808E-14","","-1.1368683772162E-13","-1.1368683772162E-13","","","","-1.1368683772162E-13","1.4210854715202E-14","","","","","1.1368683772162E-13","","","","","","1.7763568394003E-15","","1.1368683772162E-13","1.1368683772162E-13","-2.8421709430404E-14"
"net_income","347.713","437.746","580.217","760.928","889.766","959.604","1043.153","933.843","654.718","-55.116","146.545","599.114","623.925","733.9930000000001","844.611","752.207","692.164","521.759","531.451","423.635","1.298","650.024","741.408","706.586","637.437"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","347.713","437.746","580.217","760.928","889.766","959.604","1043.153","933.843","654.718","-55.116","146.545","599.114","623.925","733.9930000000001","844.611","752.207","692.164","521.759","531.451","423.635","1.298","650.024","741.408","706.586","637.437"
"eps_basic","1.15","1.45","1.92","2.52","3.02","3.42","3.94","3.75","2.8","-0.24","0.63","2.57","2.75","3.3","3.9","3.71","3.85","3.03","3.21","2.7","0.01","4.23","5.01","4.96","4.56"
"eps_diluted","1.13","1.43","1.9","2.5","3","3.41","3.93","3.74","2.79","-0.24","0.62","2.55","2.72","3.28","3.88","3.69","3.83","3.02","3.19","2.68","0.01","4.19","4.96","4.87","4.5"
"shares_basic","302.359","301.894","302.196","301.956","295.008","280.303","264.76","249.205","234.225","232.577","233.312","232.889","227.119","222.475","216.305","202.681","179.676","171.995","165.672","157.054","153.186","153.747","148.012","142.378","142.378"
"shares_diluted","307.711","306.116","305.377","304.371","296.852","281.035","265.433","249.882","234.477","233.573","234.787","234.918","229.229","224.071","217.706","203.686","180.535","172.932","166.504","157.804","153.908","154.98","149.351","145.103","145.103"
"cash_and_equiv","419.736","439.438","280.928","812.449","275.159","140.975","238.397","402.854","568.894","1630.433","1021.933","1526.95","1068.138","1066.612","906.6799999999999","722.2089999999999","759.984","687.521","1203.766","833.8680000000001","3257.203","1874.745","1433.175","1533.806","1533.806"
"st_investments","","196.011","514.8","510.211","1336.909","905.197","658.133","2.475","","39.685","140.118","153.38","135.634","99.009","57.325","45.192","5.519","","10.007","","","","","",""
"receivables","629.17","775.264","964.465","1114.396","1745.371","1763.853","2244.415","2537.78","4087.745","1705.485","1342.814","1979.506","1973.124","2034.751","2164.256","2300.987","2361.367","2435.648","2520.898","2531.856","1652.621","1647.692","2034.856","2380.929","2380.929"
"inventories","191.931","181.115","218.156","207.726","226.893","221.418","287.798","349.697","379.141","323.029","326.446","418.006","393.524","424.507","448.871","585.907","499.917","538.202","556.128","603.571","523.497","712.942","950.96","929.951","929.951"
"other_current_assets","56.427","73.43600000000001","88.23699999999999","84.345","98.854","113.794","121.89","174.508","490.772","643.317","1235.315","464.364","480.516","363.924","370.963","323.588","227.065","223.371","193.643","233.528","412.112","314.712","331.662","319.043","319.043"
"total_current_assets","1297.264","1665.264","2066.586","2729.127","3683.186","3145.237","3550.633","3467.314","5526.552","4341.949","4066.626","4542.206","4050.936","3988.803","3948.095","3977.883","3853.852","3884.742","4484.442","4202.823","5845.433","4550.091","4750.653","5163.729","5163.729"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
