"Company: ","Hashicorp Inc (HCP:US)","","","","",""
"Exchange: ","NASDAQ","","","","",""
"Last Close Price: ","33.44","","","","",""
"Industry: ","Software","","","","",""
"Currency: ","USD","","","","",""
"Country: ","US","","","","",""
"Market Cap.: ","6730","","","","",""
"Enterprise Value: ","5423","","","","",""
"period_end_date","2020-01","2021-01","2022-01","2023-01","2024-01","TTM"
"revenue","121.261","211.854","320.769","475.889","583.1369999999999","605.7329999999999"
"cogs","23.915","41.052","63.44","86.96899999999999","108.699","112.223"
"gross_profit","97.346","170.802","257.329","388.92","474.438","493.51"
"sga","113.445","189.563","381.612","490.823","506.163","520.495"
"rnd","40.118","65.248","165.031","195.384","222.553","227.195"
"special_charges","","","","","",""
"other_opex","","","","","",""
"total_opex","153.563","254.811","546.643","686.207","728.716","747.6900000000001"
"operating_income","-56.217","-84.009","-289.314","-297.287","-254.278","-254.18"
"net_interest_income_normal","","0.756","0.319","26.367","65.15900000000001","67.386"
"other_nonoperating_income","3.382","","-0.157","-2.365","-0.51","-0.352"
"pretax_income","-52.835","-83.253","-289.152","-273.285","-189.629","-187.146"
"income_tax","-0.535","-0.262","-0.986","-1.013","-1.039","-1.392"
"net_income_continuing","-53.37","-83.515","-290.138","-274.298","-190.668","-188.538"
"net_income_discontinued","","","","","",""
"income_allocated_to_minority_interest","","","","","",""
"other_income_statement_items","","","","","-2.8421709430404E-14","7.105427357601E-15"
"net_income","-53.37","-83.515","-290.138","-274.298","-190.668","-188.538"
"preferred_dividends","","","","","",""
"net_income_available_to_shareholders","-53.37","-83.515","-290.138","-274.298","-190.668","-188.538"
"eps_basic","-0.33","-0.51","-3.48","-1.47","-0.98","-0.95"
"eps_diluted","-0.33","-0.51","-3.48","-1.47","-0.98","-0.95"
"shares_basic","163.949","163.949","83.277","186.029","193.825","193.825"
"shares_diluted","163.949","163.949","83.277","186.029","193.825","193.825"
"cash_and_equiv","110.519","270.793","1355.828","1286.134","763.414","763.414"
"st_investments","30","","","","515.163","515.163"
"receivables","52.112","93.462","126.812","162.369","182.614","182.614"
"inventories","","","","","",""
"other_current_assets","16.114","19.849","49.949","60.495","80.36","80.36"
"total_current_assets","208.745","384.104","1532.589","1508.998","1541.551","1541.551"
"equity_and_other_investments","","","","","",""
"ppe_gross","21.435","25.278","35.09","45.435","61.245","61.245"
"accumulated_depreciation","-0.389","-1.277","-3.773","-8.281000000000001","-15.804","-15.804"
"ppe_net","21.046","24.001","31.317","37.154","45.441","45.441"
"intangible_assets","","","","","11.608","11.608"
"goodwill","","","","","12.2","12.2"
"other_lt_assets","23.331","37.159","59.769","82.188","81.14700000000001","81.14700000000001"
"total_assets","253.122","445.264","1623.675","1628.34","1691.947","1691.947"
"accounts_payable","5.393","5.203","14.267","12.45","9.081","9.081"
"tax_payable","0.71","1.545","0.611","2.561","3.019","3.019"
"current_accrued_liabilities","0.753","0.569","3.925","32.058","26.246","26.246"
"st_debt","","","","","",""
"current_deferred_revenue","107.545","158.31","229.799","299.608","360.521","360.521"
"current_deferred_tax_liability","","","","","",""
"other_current_liabilities","11.807","19.237","56.945","30.792","37.86","37.86"
"total_current_liabilities","127.903","187.253","308.677","380.849","440.752","440.752"
"lt_debt","","","","","",""
"noncurrent_capital_leases","19.238","16.755","15.483","12.093","10.008","10.008"
"pension_liabilities","","","","","",""
"noncurrent_deferred_revenue","11.724","11.206","16.873","29.335","26.659","26.659"
"other_lt_liabilities","174.497","351.854","0.351","0.7130000000000201","1.535","1.535"
"total_liabilities","333.362","567.068","341.384","422.99","478.954","478.954"
"common_stock","","","","","",""
"preferred_stock","","","","","",""
"retained_earnings","-132.449","-215.964","-506.102","-780.4","-971.068","-971.068"
"aoci","","","","","-0.393","-0.393"
"apic","52.208","94.15900000000001","1788.39","1985.747","2184.451","2184.451"
"treasury_stock","","","","","",""
"other_equity","0.001000000000019","0.0009999999999905601","0.0029999999999291","0.0029999999997017","0.0029999999999291","0.0029999999999291"
"minority_interest_liability","","","","","",""
