"Company: ","Hershey Co (HSY:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","185.92","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Food Products","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","37877","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","41147","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","3820.416","4137.217","4120.317","4172.551","4416.389","4819.827","4944.23","4946.716","5132.768","5298.668","5671.009","6080.788","6644.252","7146.079","7421.768","7386.626","7440.181","7515.426","7791.069","7986.252","8149.719","8971.337","10419.294","11164.992","11430.127"
"cogs","2471.151","2668.53","2561.052","2544.726","2672.716","2956.682","3076.718","3315.147","3375.05","3245.531","3255.801","3548.896","3784.37","3865.231","4085.602","4003.951","4270.642","4060.05","4215.744","4363.774","4448.45","4922.739","5920.509","6167.176","6138.552"
"gross_profit","1349.265","1468.687","1559.265","1627.825","1743.673","1863.145","1867.512","1631.569","1757.718","2053.137","2415.208","2531.892","2859.882","3280.848","3336.166","3382.675","3169.539","3455.376","3575.325","3622.478","3701.269","4048.598","4498.785","4997.816","5291.575"
"sga","726.615","846.976","833.426","816.442","867.104","912.986","860.378","895.874","1073.019","1208.672","1426.477","1477.75","1703.796","1924.132","1898.284","1969.308","1891.305","1885.492","1874.829","1905.929","1890.925","2006.528","2254.475","2464.518","2490.678"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","","209.077","","-8.33","","","","","","","","","","","","","","","","","","","","",""
"total_opex","726.615","1056.053","833.426","808.112","867.104","912.986","860.378","895.874","1073.019","1208.672","1426.477","1477.75","1703.796","1924.132","1898.284","1969.308","1891.305","1885.492","1874.829","1905.929","1890.925","2006.528","2254.475","2464.518","2490.678"
"operating_income","622.65","412.634","725.8390000000001","819.713","876.569","950.159","1007.134","735.6950000000001","684.699","844.465","988.731","1054.142","1156.086","1356.716","1437.882","1413.367","1278.234","1569.884","1700.496","1716.549","1810.344","2042.07","2244.31","2533.298","2800.897"
"net_interest_income_normal","","","","","","","","-118.585","-97.876","-90.459","-96.434","-92.18300000000001","-95.569","-88.35599999999999","-83.532","-77.447","-90.143","-98.282","-138.837","-144.125","-149.374","-127.417","-137.557","-151.785","-153.922"
"other_nonoperating_income","-76.011","-69.093","-88.274","-86.886","-66.533","-184.522","-130.632","-276.868","-94.801","-82.875","-83.43300000000001","0.886","-44.938","-17.041","-48.307","-434.073","-88.61","-360.934","-151.598","-191.64","-165.973","-117.429","-189.682","-209.649","-248.109"
"pretax_income","546.639","343.541","637.5650000000001","732.827","810.0359999999999","765.6369999999999","876.502","340.242","492.022","671.131","808.864","962.845","1015.579","1251.319","1306.043","901.847","1099.481","1110.668","1410.061","1380.784","1494.997","1797.224","1917.071","2171.864","2398.866"
"income_tax","-212.096","-136.385","-233.987","-267.875","-235.399","-277.09","-317.441","-126.088","-180.617","-235.137","-299.065","-333.883","-354.648","-430.849","-459.131","-388.896","-379.437","-354.131","-239.01","-234.032","-219.584","-314.405","-272.254","-310.077","-326.811"
"net_income_continuing","334.543","207.156","403.578","464.952","574.6369999999999","488.547","559.061","214.154","311.405","435.994","509.799","628.962","660.931","820.47","846.912","512.951","720.044","756.537","1171.051","1146.752","1275.413","1482.819","1644.817","1861.787","2072.055"
"net_income_discontinued","","","","","","","","","","","","","","","","","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","","","","","","","","","","26.444","6.511","2.94","3.295","-5.307","","",""
"other_income_statement_items","","","-1.1368683772162E-13","-7.368","","5.6843418860808E-14","1.1368683772162E-13","-2.8421709430404E-14","","5.6843418860808E-14","-5.6843418860808E-14","","1.1368683772162E-13","","1.1368683772162E-13","","","1.1368683772162E-13","","-2.2737367544323E-13","","","","","-5.6843418860808E-14"
"net_income","334.543","207.156","403.578","457.584","574.6369999999999","488.547","559.061","214.154","311.405","435.994","509.799","628.962","660.931","820.47","846.912","512.951","720.044","782.981","1177.562","1149.692","1278.708","1477.512","1644.817","1861.787","2072.055"
"preferred_dividends","","","","","","","","","","","","","","","","","","","","","","","","",""
"net_income_available_to_shareholders","334.543","207.156","403.578","457.584","574.6369999999999","488.547","559.061","214.154","311.405","435.994","509.799","628.962","660.931","820.47","846.912","512.951","720.044","782.981","1177.562","1149.692","1278.708","1477.512","1644.817","1861.787","2072.055"
"eps_basic","1.23","0.76","1.48","1.74","2.31","2.05","2.44","0.9399999999999999","1.37","1.97","2.29","2.85","3.01","3.76","3.91","2.4","3.45","3.79","5.76","5.64","6.3","7.34","8.220000000000001","9.31","10.38"
"eps_diluted","1.18","0.75","1.47","1.73","2.24","1.97","2.34","0.93","1.36","1.9","2.21","2.74","2.89","3.61","3.77","2.32","3.34","3.66","5.58","5.46","6.11","7.11","7.96","9.06","10.09"
"shares_basic","275.136","272.49","272.688","262.979","253.881","244.568","229.123","228.863","227.486","227.845","227.74","226.574","225.036","224.176","222.555","219.091","214.139","212.245","209.993","209.455","208.446","206.734","205.535","204.738","204.738"
"shares_diluted","283.511","275.392","275.48","264.499","256.934","248.292","238.915","231.449","228.697","228.995","230.313","229.919","228.337","227.203","224.837","220.651","215.304","213.742","210.989","210.702","209.414","207.758","206.575","205.547","205.547"
"cash_and_equiv","31.969","134.147","297.743","114.793","54.837","67.18300000000001","97.14100000000001","129.198","37.103","253.605","884.6420000000001","693.686","728.272","1118.508","374.854","346.529","296.967","380.179","587.998","493.262","1143.987","329.266","463.889","401.902","401.902"
"st_investments","","","","","","","","","","","","","","","97.131","","","","","","","","","",""
"receivables","379.68","361.726","370.976","407.612","408.93","507.119","522.673","487.285","455.153","410.39","390.061","399.499","461.383","477.912","596.9400000000001","599.073","581.381","588.2619999999999","594.145","568.509","615.2329999999999","671.4640000000001","711.203","823.617","823.617"
"inventories","605.173","512.134","503.291","492.859","557.1799999999999","634.91","648.8200000000001","600.1849999999999","592.53","519.712","533.622","648.953","633.2619999999999","659.5410000000001","801.0359999999999","750.97","745.678","752.836","784.879","815.251","964.207","988.511","1173.119","1340.996","1340.996"
"other_current_assets","278.526","159.534","91.608","116.305","176.747","167.191","149.178","209.906","260.159","201.727","196.892","304.42","290.568","231.373","377.086","152.026","192.752","280.633","272.159","240.08","254.478","256.965","272.195","345.588","345.588"
"total_current_assets","1295.348","1167.541","1263.618","1131.569","1197.694","1376.403","1417.812","1426.574","1344.945","1385.434","2005.217","2046.558","2113.485","2487.334","2247.047","1848.598","1816.778","2001.91","2239.181","2117.102","2977.905","2246.206","2620.406","2912.103","2912.103"
"equity_and_other_investments","","","","","","","","","","","","","","","","","","","","","52.351","93.089","133.029","207.177","207.177"
"ppe_gross","2647.188","2900.756","2903.019","3227.023","3369.202","3458.416","3597.756","3606.443","3437.42","3242.868","3324.763","3588.558","3560.626","3779.394","4328.607","4517.303","4575.038","4460.723","4581.671","4955.081","5189.155","5752.669","6035.959","6757.047","6757.047"
"accumulated_depreciation","-1061.8","-1365.855","-1416.964","-1565.084","-1686.504","-1799.278","-1946.456","-2066.728","-1978.471","-1838.101","-1887.061","-2028.841","-1886.555","-1974.049","-2176.706","-2276.843","-2397.79","-2354.026","-2451.377","-2581.264","-2679.632","-2814.77","-2939.785","-3139.393","-3139.393"
"ppe_net","1585.388","1534.901","1486.055","1661.939","1682.698","1659.138","1651.3","1539.715","1458.949","1404.767","1437.702","1559.717","1674.071","1805.345","2151.901","2240.46","2177.248","2106.697","2130.294","2373.817","2509.523","2937.899","3096.174","3617.654","3617.654"
"intangible_assets","474.448","429.128","418.351","427.471","589.1799999999999","629.9640000000001","140.309","155.865","110.769","125.52","123.084","111.908","214.716","251.747","358.088","447.311","588.042","474.038","1404.674","1495.003","1482.882","2298.248","2286.299","2239.434","2239.434"
"goodwill","","","","","","","501.96","584.71","554.6799999999999","571.58","524.13","516.75","588","576.5599999999999","792.96","684.25","812.34","821.0599999999999","1801.1","1985.96","1988.22","2633.17","2606.96","2696.05","2696.05"
"other_lt_assets","92.58","115.86","312.527","361.561","343.212","597.194","446.184","540.249","165.376","187.73","182.599","172.161","164.567","236.502","72.874","123.752","129.925","150.021","127.771","168.513","120.964","203.619","205.952","230.523","230.523"
"total_assets","3447.764","3247.43","3480.551","3582.54","3812.784","4262.699","4157.565","4247.113","3634.719","3675.031","4272.732","4407.094","4754.839","5357.488","5622.87","5344.371","5524.333","5553.726","7703.02","8140.395","9131.844999999999","10412.231","10948.82","11902.941","11902.941"
