"Company: ","Hess Corporation (HES:US)","","","","","","","","","","","","","","","","","","","","","","","",""
"Exchange: ","NYSE","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Close Price: ","149.92","","","","","","","","","","","","","","","","","","","","","","","",""
"Industry: ","Oil, Gas & Consumable Fuels","","","","","","","","","","","","","","","","","","","","","","","",""
"Currency: ","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Country: ","US","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Cap.: ","46330","","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise Value: ","53307","","","","","","","","","","","","","","","","","","","","","","","",""
"period_end_date","2000-12","2001-12","2002-12","2003-12","2004-12","2005-12","2006-12","2007-12","2008-12","2009-12","2010-12","2011-12","2012-12","2013-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","2021-12","2022-12","2023-12","TTM"
"revenue","11993","13052","11551","14311","16733","22747","28067","31647","41134","29614","33862","21451","12245","11905","10737","6636","4762","5466","6323","6495","4667","7473","11324","10511","11409"
"cogs","8440","9381","7962","10743","12796","18048","21162","24669","31439","22766","27648","15253","6951","7028","7252","7424","6284","4445","3188","3543","3416","2929","3410","4038","4142"
"gross_profit","3553","3671","3589","3568","3937","4699","6905","6978","9695","6848","6214","6198","5294","4877","3485","-788","-1522","1021","3135","2952","1251","4544","7914","6473","7267"
"sga","766","974","956","1049","1079","1199","1411","1719","1697","1655","1683","1427","576","673","588","557","414","1689","2244","2133","1293","2374","3859","3259","3266"
"rnd","","","","","","","","","","","","","","","","","","","","","","","","",""
"special_charges","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_opex","1237","1393","1599","1614","1452","1577","1898","1576","2933","3212","1078","1195","1070","1031","840","881","1442","507","362","233","351","162","208","317","293"
"total_opex","2003","2367","2555","2663","2531","2776","3309","3295","4630","4867","2761","2622","1646","1704","1428","1438","1856","2196","2606","2366","1644","2536","4067","3576","3559"
"operating_income","1550","1304","1034","905","1406","1923","3596","3683","5065","1981","3453","3576","3648","3173","2057","-2226","-3378","-1175","529","586","-393","2008","3847","2897","3708"
"net_interest_income_normal","-162","-194","-256","-293","-241","-224","-201","-256","-267","-360","-361","-383","-419","-406","-323","-341","-338","-325","-399","-380","-468","-481","-493","-478","-468"
"other_nonoperating_income","284","208","-843","169","393","502","651","277","-101","-99","219","-953","108","1834","702","-1691","-138","-4278","90","15","-1989","-37","192","52","42"
"pretax_income","1672","1318","-65","781","1558","2201","4046","3704","4697","1522","3311","2240","3337","4601","2436","-4258","-3854","-5778","220","221","-2850","1490","3546","2471","3282"
"income_tax","-649","-502","-180","-314","-588","-975","-2126","-1872","-2340","-715","-1173","-709","-1529","-565","-744","1299","-2222","1837","-335","-461","11","-600","-1099","-733","-905"
"net_income_continuing","1023","816","-245","467","970","1226","1920","1832","2357","807","2138","1531","1808","4036","1692","-2959","-6076","-3941","-115","-240","-2839","890","2447","1738","2377"
"net_income_discontinued","","98","27","169","7","","","","","","","145","255","1186","682","-48","","","","","","","","",""
"income_allocated_to_minority_interest","","","","","","","","","3","-67","-13","27","-38","-170","-57","-49","-56","-133","-167","-168","-254","-331","-351","-356","-369"
"other_income_statement_items","","","","7","","","","","","","","","","","","","","","","","","","","",""
"net_income","1023","914","-218","643","977","1226","1920","1832","2360","740","2125","1703","2025","5052","2317","-3056","-6132","-4074","-282","-408","-3093","559","2096","1382","2008"
"preferred_dividends","","","","5","48","48","44","","","","","","","","","","41","46","46","4","","","","",""
"net_income_available_to_shareholders","1023","914","-218","638","929","1178","1876","1832","2360","740","2125","1703","2025","5052","2317","-3056","-6173","-4120","-328","-412","-3093","559","2096","1382","2008"
"eps_basic","3.83","3.46","-0.83","2.4","3.46","4.32","6.75","5.86","7.35","2.28","6.52","5.05","5.98","15.01","7.63","-10.78","-19.92","-13.12","-1.1","-1.37","-10.15","1.82","6.8","4.52","6.56"
"eps_diluted","3.79","3.42","-0.83","2.37","3.19","3.93","6.08","5.74","7.24","2.27","6.47","5.01","5.95","14.82","7.53","-10.78","-19.92","-13.12","-1.1","-1.37","-10.15","1.81","6.77","4.49","6.53"
"shares_basic","267.189","264.093","264.561","265.854","268.355","272.7","278.1","312.7","320.8","323.9","326","336.9","338.4","336.6","303.7","283.6","309.89","314.1","298.2","301.2","304.8","307.4","308.1","305.9","305.9"
"shares_diluted","269.634","267.387","264.561","271.026","306.3","312.1","315.7","319.3","325.8","326","328.3","339.9","340.3","340.9","307.7","283.6","309.9","314.1","298.2","301.2","304.8","309.3","309.6","307.6","307.6"
"cash_and_equiv","312","37","197","518","877","315","383","607","908","1362","1608","351","642","1814","2444","2716","2732","4847","2694","1545","1739","2713","2486","1688","1688"
"st_investments","","","","","","","","","","","","","","","","","","","","","","","","",""
"receivables","2996","2962","1972","1902","2554","3655","3873","4708","4297","3924","4718","5011","4338","3525","2073","1159","1026","1024","1001","1170","860","1211","1162","1330","1330"
"inventories","401","550","492","579","596","855","1005","1250","1308","1438","1452","1423","1259","954","527","399","323","232","245","261","378","223","217","304","304"
"other_current_assets","406","397","95","187","308","465","587","361","819","1263","1002","1554","2148","2306","1269","130","195","54","519","180","104","199","66","108","108"
"total_current_assets","4115","3946","2756","3186","4335","5290","5848","6926","7332","7987","8780","8339","8387","8599","6313","4404","4276","6157","4459","3156","3081","4346","3931","3430","3430"
"equity_and_other_investments","1050","1636","1622","1095","1254","1389","1243","","1127","913","443","384","443","","","","","","","","","","","",""
"ppe_gross","11898","16627","16149","16100","17632","19464","21980","24831","27437","29871","35703","39710","45553","45950","46522","46826","46907","32504","33222","36566","31113","31674","33288","37599","37599"
"accumulated_depreciation","-7575","-8462","-9117","-8122","-9127","-9952","-9672","-10197","-11166","-13244","-14576","-14998","-16746","-17179","-19005","-20474","-23312","-16312","-17139","-19006","-16404","-16996","-17494","-19339","-19339"
"ppe_net","4323","8165","7032","7978","8505","9512","12308","14634","16271","16627","21127","24712","28807","28771","27517","26352","23595","16192","16083","17560","14709","14678","15794","18260","18260"
"intangible_assets","","","","","","","","","","","","","","","","","","","","","","","","",""
"goodwill","","982","977","977","977","977","1253","1225","1225","1225","2408","2305","2208","1869","1858","375","375","360","360","360","360","360","360","360","360"
"other_lt_assets","786","640","875","747","1241","1947","1790","3346","2634","2713","2638","3396","3596","3515","2719","3026","375","403","531","706","671","1131","1610","1957","1957"
